Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 September 2021,knedb,5," I enjoyed season 1 &2
","I like the premise of the show. In season 3, however, Murphy is just extremely obnoxious and stubborn. I mean she's annoying in the first 2 seasons, but in season 3 she is at a whole new level. She's so stupid to treat other people like crap when she needs their help throughout the show. It makes it very frustrating to watch at times. Other than that, the show is fun to watch.",/review/rw4763921/?ref_=tt_urv
5 April 2019,MiketheWhistle,8," such hate, and guess what, RENEWED for 2nd season
","Guess what, disabled people are just like everyone else. They have casual sex, drink, smoke, have messed up lives. The people saying how badly it portrays blind/disabled people, watch Daredevil.
There are also disabled people that have great lives, don't have causal sex, drink, smoke, etc. So to hate this show because it shows the former is ridiculous.
And who can't love a show with a dog??? I have to wonder what the dog, Pretzel, thinks having to be there while she has sex. Is the dog thinking, I wish it were me, or enough already???
The season 1 finale was great and brought so many points together.",/review/rw4763921/?ref_=tt_urv
12 April 2020,POIguy,5," Starts decent but 3rd and 4th seasons are awful
","The first season of this show had a somewhat comedic and lighthearted tone given the subject matter. It was a decent watch with a flawed protagonist, fun supporting cast, and interesting story. I thought this was a good start. Season 2 upped the stakes with an interesting story, a darker tone, and overall more mature show. I felt like the characters were learning and growing this season, and season 2 was In the Dark at its best. I really cared about the In the Dark gang and wanted them to succeed in taking down Nia Bailey. Ideally, the show would have stopped at season 2 with the ending being with Nia Bailey's death and the gang getting out of dodge.",/review/rw4763921/?ref_=tt_urv
20 July 2019,kirbie-34481,7," It's actually pretty decent for a CW show
","The lead character is likable, as is the rest of the cast. They're adults instead of annoying teenagers, by adults I mean in their 20's, which is refreshing for a CW show. Now that it's on Netflix it will reach a wider audience, and while I admit I gave up on it a few times while attempting to binge watch it, I always managed to come back to see what happened, and i'm Glad I did. Nothing groundbreaking here, but it's a decent mystery, with some twists, while also managing to be comedy/drama with likable characters.",/review/rw4763921/?ref_=tt_urv
5 April 2019,trademarcdesigns,7," Good start - hope it follows through
","I was expecting to hate this show - I wanted to hate it. I fought all my life to be treated as an equal, and then some idiot decides to portray a blind woman as a drunken, self-pitying mess who sleeps with married strangers and exploits her disability to cut the line at the drug store? Gee, thanks...",/review/rw4763921/?ref_=tt_urv
1 October 2021,surfisfun,5," Season 3 dropped the ball.
",1 n 2 okish.,/review/rw4763921/?ref_=tt_urv
7 October 2021,gfarrell0,2," How to destroy a good show
",Season 1: Was very entertaining. The characters were well written and interesting. The tone was good balance.,/review/rw4763921/?ref_=tt_urv
7 October 2021,cdeanroane,5," Season 3 was totally not believable
",From the start this show always was on the out edge of believably. However season 3 had nothing believable in. From how easily thay crossed the border into Canada with forged papers. To Jess being kidnapped and then working in a pet store. I am not sure why the plot for this show went to topsy-turvy. However it no long a must see show for me.,/review/rw4763921/?ref_=tt_urv
16 September 2021,catrin5507,5," First season drew me in, 3rd is killing me.
","Yes, I got over the fact that Murphy is a horrible, no-good person. Yes, I got over the fact that half the time it's unbelievable that she is even blind. Yes, I enjoyed Season 1-mostly for Pretzel and Max.",/review/rw4763921/?ref_=tt_urv
7 October 2021,studiopashnada,4," Why do I keep watching this show?
","Murphy is a horrible human being. The plot is often beyond ridiculous (making a rookie police chief? Everyone falling for Murphy's b.s.?) And yet, I keep watching. I guess cuz I like Jess and other characters enough that I want to see how things turn out for them.",/review/rw4763921/?ref_=tt_urv
14 August 2020,mattkratz,8," Good show
","I am glad I started watching this show about a blind lady who assists in solving her friend's murder. Her character is understandably a bit flawed, but is still a good and fleshed character. I like each episode as each is good to watch.",/review/rw4763921/?ref_=tt_urv
28 August 2019,dgangleton-70570,10," Curious. How many negative reviews are from sighted folks?
","Murphy, the blind, drunken character, has altered my view of myself, others and the world.",/review/rw4763921/?ref_=tt_urv
5 April 2019,fahmida-querida,8," Surprisingly great.
",Really like this so far. Main character is likeable and it has an original plotline. Nothing like what you'd expect from CW but I like the refreshingly different outlook. Didn't have to skip any parts which I normally do when a show isn't that great. Deffo recommend checking this out!,/review/rw4763921/?ref_=tt_urv
24 August 2020,tb4now,2," Main Character is soooo annoying
","I really tried to like this show, but the main character is soooo annoying. She is rude, self centered, and inconsiderate...and yet everyone goes out of their way for her. And still, she is a jerk to them all.",/review/rw4763921/?ref_=tt_urv
4 May 2019,boggie4758,5," pretty but not likeable
","I have watched 5 episodes and was hoping the main character would began to grow on me but no such luck. The story line is good and the show being about a blind girl trying to solve her friends murder is good but, they made the main character so unlikable. I think she is such a snot that it gets in the way of good story telling. I gave it the 5 episode smell test and nope it still kind of stinks. I am not going to invest any more of my time on this one. Murphy is pretty but I don't like her.",/review/rw4763921/?ref_=tt_urv
