Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 March 2019,adrien_ngoc_1701,10," A one-of-a-kind mind-blowing masterpiece!
","My 3rd time watching this movie! Yet, it still stunned my mind, kept me enjoyed its every moment and left me with many thoughts afterward.",/review/rw2286063/?ref_=tt_urv
22 December 2020,srcooper-756-646671,10," Is it possible the makers understand how incredible this film is?
","You only get to watch this for the first time once, so choose your state of mind carefully.
It is a film about movies and dreams and reality, and what sort of life it is best to find when you leave the cinema and return to whatever you left to enter.
It is spectacular, and brutal, and enigmatic and disturbing.
It is beautiful and absorbing.
It is about one of my favourite characters ever to grace the screen.
I don't see it often, in case it's not as good as I like to remember it.
That is my secret, that I lock away in my safe in the basement.
That somewhere there is a perfect world for us all.
For some, perhaps it is in the cinema watching this.",/review/rw2286063/?ref_=tt_urv
9 August 2021,mrmocun,10," Inception was only less shocking to me than the Matrix
","When you wake up from a good dream, you feel the reality is harsh. When you wake up after a bad dream, you will be sentimentally attached to the beauty of reality. But as long as life is good, reality and dreams don't matter.",/review/rw2286063/?ref_=tt_urv
10 July 2010,naman-avastol,10," Insanely Brilliant ! Nolan has outdone himself !!
","What is the most resilient parasite? An Idea! Yes, Nolan has created something with his unbelievably, incredibly and god- gifted mind which will blow the minds of the audience away. The world premiere of the movie, directed by Hollywood's most inventive dreamers, was shown in London and has already got top notch reviews worldwide and has scored maximum points! Now the question arises what the movie has that it deserve all this?",/review/rw2286063/?ref_=tt_urv
13 July 2010,D_Burke,10," In a Decade, ""Inception"" May Be A Religion
","Films about dreams and the subconscious are usually not very straightforward and almost always weird. ""Inception"" is no exception to that rule, but like its cinematic predecessors who have explored the contrast between and the questions of what is real and what is illusion (i.e. ""The Matrix"" (1999), ""The Cell"" (2000), ""Abre Los Ojos"" (1997) & its American remake ""Vanilla Sky"" (2001)), you really can't look away, nor should you.",/review/rw2286063/?ref_=tt_urv
2 December 2010,planktonrules,8," Amazingly original...but also a bit overwhelming.
","This review is being written by a 46 year-old guy. I mention this because clearly this is a film where age is important, as younger folks probably will enjoy the movie more--and can take the fast-paced action and frenetic pace. I assume older audiences probably will be a little less amazed and a bit overwhelmed with the film. Just something to consider as you read this.",/review/rw2286063/?ref_=tt_urv
15 November 2021,forzosky,10," Generation defining.
","The 20th Century had Casablanca, Star Wars, the Godfather, Blade Runner, and others - this is the first of the 21st Century masterpieces. Truly in awe at how amazing this movie is, an astounding show of all aspects of films. Amazing story and cinematography accompanied with actors worthy of telling the tale. Remarkable and breathtaking.",/review/rw2286063/?ref_=tt_urv
8 February 2020,Ch4ndler_B1ng,10," Didn't win Best Picture? WHAT?
","Inception is as original as you can get with a sci-fi movie. I feel like it's kind of pointless to compare this to Blade Runner, Aliens, Terminator 2, 2001: A Space Odyssey or any other sci-fi blockbusters, for they're completely different. What Nolan crafted is genius, in my mind he is still yet to make a bad movie, it is now time to get into spoiler territory.",/review/rw2286063/?ref_=tt_urv
1 February 2021,konradbuczak,8," Wait
","Wait, did i just watch this or is it just a dream?",/review/rw2286063/?ref_=tt_urv
4 June 2021,lhbaker-28783,10," My number one favorite movie
","Inception is my number one favorite movie off my twelve years on earth! It's absolutely impossible to explain the incredible that Inception has. Inception is Sooooooooo dang exciting, edge of seat, mind blower, and I wish there were more movies like it and more Christopher Nolans out there. Congratulations to the well deserved best director, writer, and producer of films (in my opinion). Also the acting is fabulous, everyone did an amazing job, and Leonardo was fabulous at explaining the dream concept. Also the CGI and effects are amazing. Go watch Inception because it is incredibly amazing in every aspect, and is my number one film of my twelve years on earth. Bravo to the Inception crew and wow at this fabulous movie!",/review/rw2286063/?ref_=tt_urv
