Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 September 2020,EPMD57,6," Frustratingly disorganized and drawn out
","There is a lot of good footage, audio recordings, and interviews that help tell the story. The subject matter is fairly interesting, and I do think it's a story worth telling. The problem is that it's disorganized and could use a heavy edit.",/review/rw7750826/?ref_=tt_urv
6 September 2020,helenahandbasket-93734,8," A Beginners Guide To Grooming
","This is precisely how skilled manipulators groom their victims- they'll prey on your weaknesses, pump you full of confidence to rip it out from under you, tell you you're special/outstanding then do a 180 and proclaim you to be stupid/weak/a follower.",/review/rw7750826/?ref_=tt_urv
8 September 2020,bogus-bogus-one,6," Too much filler
","Painfully slow to watch due to all the repetition and ""filler"" scenes.
I'm convinced that the series should edited down to two or three episodes at most.
It's is definitely an interesting topic so my advice.. record everything, fast forward as needed.",/review/rw7750826/?ref_=tt_urv
23 October 2020,theknownames,8," Current events
","This was necessary, I am on episode 8 and I can see why some people feel this has been dragged out , but is it ? No; the point is that these people are still in this and it's all about the how , how they got there happen.
How can this happen to sophisticated people with resources. I don't feel it's been stretched out , in fact, the issue for me is binge watching which creates tedium ( it's probably why it's been released weekly)
Anyone who walks away thinking it can't happen to them had missed the point imo. This is happening now the fallout is current events , it's no tiger king this involves thousands of people across the globe and i am not expecting resolution by episode 9. I am hopeful but I believe this was meant to take us in the journey of how they got to where that are and the frustrations and obstacles of getting out . There are still people in right now .
I",/review/rw7750826/?ref_=tt_urv
28 September 2020,ajae-54401,5," Should have been a four-episode series
","Too many episodes... They made 10 ""ok"" episodes instead of making four really good episodes that had just enough coverage and length.. Instead, it kind of drags on and doesn't really grab me as much due to the repetitiveness of it. It's still pretty good, mainly due to the large collection of recorded calls, but it could have benefited from more brevity.",/review/rw7750826/?ref_=tt_urv
24 August 2020,paul-allaer,7," New documentary series examines cult-like organization NXIVM
","As Episodes 1 of ""The Vow"" (2020 release; 9 episodes of about 60 min. each) opens, we get to know Keith Raniere, who talks about ""optimizing people's experience and behavior"". We go to ""2017"" as a guy named Mark confesses that""I was afraid to be attacked if I left the organization"", and then the shocking headline as we go to ""2019"" where Keith Raniere is convicted of sex trafficking. We then go back in time as we get to know Sarah, who meets Mark on a cruise and they hit it off, big time. Mark convinces Sarah to take the organization's (called NXIVM) initiation program (called Executive Success Program). Sarah is skeptical at first but soon finds herself fully on board... At this point we are 10 min. into Episode 1.",/review/rw7750826/?ref_=tt_urv
22 November 2022,Klaaatu,10," Second season way better than the first season
","Although I found the first season interesting, I agree with most of the reviewers that it was way too long and drawn out - and very repetitive. They should redo that season and rerelease it to live up to the second season.",/review/rw7750826/?ref_=tt_urv
4 June 2021,chron,5," Interesting Story, but an Editing Failure
","The story is compelling. Not only is the story of NXIVM interesting, but the story of how to get justice through media was interesting, too.",/review/rw7750826/?ref_=tt_urv
15 September 2020,tylerwoodrownichols,5," Squandered potential, bogged down by tedium
","As usual, too many people on here are leaving ratings based on a.) how interesting the source material is, or b.) their personal feelings about the cult and people who participated in it. Those feelings are valid, but not really what IMDB is for. Instead, I prefer to focus on the quality of the documentary itself and HOW the story is delivered.",/review/rw7750826/?ref_=tt_urv
21 September 2020,carlos_carpio,3," Unbearably stretched out
",It's a solid good story but it would have been best to tell it in a more dynamic way in 90 minutes or 2 hours max. The desire to turn this into 9 episodes Is poor storytelling and just makes it unbearable to watch after the third episode.,/review/rw7750826/?ref_=tt_urv
12 November 2020,brewcorp,10," Fascinating
",I read a lot of the NDA reviews complaining how this series was drawn out into 9 episodes and should've been much less but I disagree.,/review/rw7750826/?ref_=tt_urv
