Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 August 2022,cliftonofun,7," If it bleeds...
","Confession: I'm the guy who watched the original Predator way too many times thanks to the magic of VHS...but then never watched a single sequel afterwards. As far as I'm concerned ""Predator"" = jungles and body butter. So I fully admit that I have limited context here. That said, this movie kicked butt. I cared way more about Naru and her brother (not to mention her dog) than I did about anybody in the original. I found the cinematagrophy breathtaking, I found the characters compelling, and I'm kind of all in on seeing what happens when we transport modern franchises into different historical/cultural contexts. Plus, the callbacks were delightful. Nobody's going to give this movie an Oscar, but I'd rather watch a story like this than most movies with capes and poorly staged action sequences. I was sucked in from moment one, and Amber Midthunder completely captivated me for the whole runtime. It's nice to know that movies like this can still surprise me, not to mention make me stand up and cheer.",/review/rw8402457/?ref_=tt_urv
8 August 2022,gogoschka-1,," Review Of 'Prey'
","I didn't hate this movie but I thought the writing was very sloppy, considering the fantastic premise offered so much potential. Sorry if I start to ramble, but it really bugs me when I believe a film could have been greatly improved with a few tweaks of the script. So my problems are as follows (please hear me out - and excuse such a terribly long review, but I just can't help myself, lol):",/review/rw8402457/?ref_=tt_urv
27 July 2022,tresm87,8," Prey is a back to basics return to form with tremendous atmosphere and suspense that unfortunately won't be experienced in theater.
","As a lifelong fan of this franchise I am admittedly biased. Since the revolutionary classic first film, Fox/hollywood have made 4 sequels all of which I have thoroughly enjoyed/ still critiqued. A perfect sequel hasn't been made imo and may never be, but I can say this new film has the closest effective wilderness ambience/suspense to the first film and that warrants great praise.",/review/rw8402457/?ref_=tt_urv
25 August 2022,cyguration,3," Could Have Been Great Had They Kept It Realistic
","There are a lot of reviews here defending this film, calling it the ""Second best Predator film!"" in the franchise, and throwing around a lot of buzzwords for anyone who doesn't like the film. There are also an incalculable amount of individuals defending the main character, Naru, saying she relied on her wits and tactics to win fights, and that's what makes her believable. That's only partially true.",/review/rw8402457/?ref_=tt_urv
5 August 2022,jaimemedina-36288,8," A worthy prequel to the classic
","I think Prey did an excellent job at crafting a fresh new story. Let's face it, predictor sequels and spin-offs have felt more like a money grab. But here there's a real story that cleverly weaves a number of story lines together to spin up this intriguing edition.",/review/rw8402457/?ref_=tt_urv
5 August 2022,ericfield-53542,8," Who's the Prey and who's the Predator??
","I was only going to rate this until I decided to read some of the comments. This was easily the best one since the original. Not even close to me. I was hopefully when Shane Black did a ""reboot"" in 2018 I believe. I was disappointed. This was taking the franchise back to the basics and that was a good think! If you liked what Rogue One meant to Star Wars then this story will connect with you. I loved the cinematography. It was beautiful. The acting was really good. Don't worry that the lead actors aren't more well known. I was really not expecting much to be honest. The sequels since The Predator have been let downs. I only watched because the trailer had me with taking it so far back in time. At an hour and forty min it wasn't too short or too long. It was the perfect run time. I hope that you like Prey as much as me and that you rate and leave a comment. Happy hunting!",/review/rw8402457/?ref_=tt_urv
7 August 2022,mhorg2018,5," Just so-so (one spoiler)
","People really need to think when they write a screenplay. What could have been a great movie, perhaps as good as 1 and 2, rather than the pablum that followed, is just a foot note in predator history. The cast was ok, but the story fit the plot, not the other way around. The girl was a great tracker, ever yet fell right into a mud puddle. Why didn't the trap break her ankle? The movie was slow, too. Until the middle when it sped up. If I never watch this again, and, unlike 1 and 2 which I have and do watch I won't be sad. The unbelievable part was a 7 foot tall predator going toe to toe with a 5 foot tall woman. I know, empowerment, but believability on this was zero.",/review/rw8402457/?ref_=tt_urv
9 August 2022,halfxbreed23,5," Please don't believe the hype
","Its a good movie, HOWEVER when you've had a string of losses in the franchise, mediocrity can appear to be a masterpiece.",/review/rw8402457/?ref_=tt_urv
13 November 2022,nansjune,4," How does this get almost the same imdb score as the Arnie original?
","Watching the Hollywood machine take your favourite childhood movies, TV shows and books and butcher them over and over and over again. It's growing tiresome.",/review/rw8402457/?ref_=tt_urv
6 August 2022,IonicBreezeMachine,8," Prey marks a return to form for the Predator franchise with a unique take on the material and solid lead in Midthunder.
","Set in 1719 in The Great Northern Plains, Naru (Amber Midthunder) is a young Comanche woman who while trained as a healer has aspirations of being a hunter like her brother Taabe (Dakota Beavers). When Naru sees what she thinks is the ""thunderbird"" in the sky, she takes this as a sign she is ready to prove herself a hunter. As she joins a group lead by her brother set on taking down a mountain lion, they soon come across a creature more dangerous than they've encountered before.",/review/rw8402457/?ref_=tt_urv
