Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 September 2016,BA_Harrison,9," First class all the way.
","Train To Busan can be summed up in four words: zombies on a train. But what director Sang-ho Yeon does with this simple premise is extremely impressive, giving the somewhat tired zombie genre another jolt of life.",/review/rw3516092/?ref_=tt_urv
14 July 2020,ThomDerd,9," Unforgettable experience! One of the best zombie films ever made.
","Forget about the ordinary and immerse yourself into this amazing zombie thriller experience. If you love thrillers and zombie flicks, then you are in for a ride with this one.
This film has it all: the hero arc, character development, insane action, relentless tension, drama, tear jerk, comedy, special effects, great cinematography and most of all excellent pace!
Well done to the Korean cinema. Excellent film. 9/10",/review/rw3516092/?ref_=tt_urv
5 September 2016,3xHCCH,10," More Than Just a Zombie Film
","This new Korean film ""Train to Busan"" is certainly earning a lot of positive word of mouth and box office success since its debut in the Midnight Screenings section of this year's Cannes Film Festival.",/review/rw3516092/?ref_=tt_urv
12 August 2016,Troy_Campbell,8," Adds a lot of spark to the zombie genre.
","This lively South Korean zombie flick arrives in Oz with a limited release, which is a pity as it's a riotous adventure filled to the brim with action, gore and damn interesting story beats. Like all good films within this subgenre, the narrative is rife with metaphors about modern day issues (parent-child connections, corporate greed, human interaction, etc) but it also provides a compelling survival plot when taken at face value. The core relationship between Yoo Gong's self-centred businessman and his quiet, emotionally-neglected 9-year-old daughter (Soo-an Kim – a tour de force) is riveting as it gets put through the wringer, never feeling anything less than authentic. There are spurts of melodrama, however, that induce the odd unintentional chuckle, whilst a select few from the supporting cast play up their stereotypes – love-struck school girl, despicable scaremonger, muttering homeless man – a little too much. Sang-ho Yeon directs with unabashed gusto, pumping up tension and thrills though a string of adrenaline-pumping set pieces, an amazing train-station sequence that turns from hopeful to deadly being a particular high point. The undead are suitably grotesque and enjoyably expendable, their physical movements a mix between the 28 Days Later mode of rapid flesh-eaters and the herky-jerky twitches of J-horror ghosts, although the rules for how quickly someone becomes ""infected"" seems to vary depending on plot requirement. It doesn't necessarily bring anything new to the zombie genre, but with a bunch of exhilarating set pieces and a willingness to kill off anyone at anytime, Train to Busan certainly adds a whole lot of spark.",/review/rw3516092/?ref_=tt_urv
4 August 2016,ctowyi,8," Board this train!
","This is one fantastic train ride. I love the creative ideas and the economical character setups. No need for too much heavy top-down moralization. This is a straight-up disaster flick with zombies coming in swarms from all directions. So we already know the archetypal characters - the coward, the brave one, the pregnant one, the youth in love, the heroic one and so on. The fun is in seeing which one will die first and who will live. This train is loaded with some colorful characters. ",/review/rw3516092/?ref_=tt_urv
14 September 2016,claudio_carvalho,8," One of the Best Zombie Films ever Made
","The investment manager Seok Woo (Yoo Gong) is a divorced man that lives in Seoul, with his daughter a Soo-an (Soo-an Kim) and his mother. Seok Woo is a selfish man and neglects Soo-an that misses her mother that lives in Busan. On Soo-an's birthday, she asks to visit her mother and Seok Woo travels with her with the intention of returning after lunch. They board the fast train KTX and a sick woman also boards another wagon. During the journey, the woman attacks a train staff and soon all the passenger in the wagon are attacked turning into zombies. Soon Seok Woo realizes that there is a zombie outbreak in South Korea and together with the passenger Sang Hwa (Dong-seok Ma), who is traveling with his pregnant wife Sung Gyeong (Yu-mi Jeong), they isolate the safe front wagons from the infected ones. Along their journey, the non-infected passengers have to fight the zombies and the selfishness of the human being. ",/review/rw3516092/?ref_=tt_urv
24 October 2017,Platypuschow,10," Train to Busan: A contender for the greatest zombie movie ever made
","There are rare events in our world, solar eclipses, tsunami's, the UK chart having a decent song at no.1. Another is me giving a film 10/10, it simply doesn't happen.",/review/rw3516092/?ref_=tt_urv
31 July 2016,subxerogravity,7," Zombies on a train!? Boss!
",We're leaving (leaving) on that Zombie Train to Busan (leaving on the undead train).,/review/rw3516092/?ref_=tt_urv
16 October 2016,gregsrants,8," Great Thrill Ride
","No genre has suffered from volume overload as the zombie genre. Zombie television shows, zombie movies both theatrical and straight to video, city zombie walks.zombies are everywhere. Because of the glut of flesh eating walking dead, no genre has suffered so much with overkill. Zombies themselves are not particularly interesting beasts. They don't have any character. They just run (or slow walk) bite and run (or slow walk) again. You won't find many reviews on the thousands of zombie films that will go into detail about the complex layers of the zombie's inner mind.",/review/rw3516092/?ref_=tt_urv
1 August 2017,mpaulso,8," Zombie Revival
",Train to Busan was a treat. ,/review/rw3516092/?ref_=tt_urv
23 August 2016,davelowen,10," The best zombie movie I have ever seen
","The best zombie film I have ever seen (outside of the comedy Shaun of the Dead). Such a great film. It starts exactly like a train ride gathering momentum and gaining speed. The only difference with this train ride is I didn't want it to stop. It has a brilliant script, fantastic effects plus a very good choice of cast and acting. It also has a 'credible' plot (as credible as you can get with the zombie genre). Many of the scenes will stay with me for a long time. I hear that Hollywood want to do a remake of it. It will be interesting if it will be done as well as this. I thoroughly recommend this very refreshing and fast paced film. Get a ticket and enjoy the ride!",/review/rw3516092/?ref_=tt_urv
17 March 2020,falcondj,10," The Best Zombie Movie To Date
","This movie did what I have not seen many, if any, American or British-made zombie movies even try, and that's tell a believable, frightening, and tear-jerking story that will keep you interested all the way to the end. The only other zombie movie I enjoyed as much as this one is of a completely different genre, and that's Shaun of the Dead (a British comedy).",/review/rw3516092/?ref_=tt_urv
17 September 2018,Fella_shibby,10," Tensed, brutal/gory n very engaging. This is how zombie genre shud be.
","I am writing this review again.
I don't know how n y my earlier review of this film got deleted. I am a big fan of Korean thrillers n a bit bias but this film doesn't deserve anything below 9 from horror n thriller fans.",/review/rw3516092/?ref_=tt_urv
22 August 2016,tom_saint,10," best modern zombies movie
","Hello,",/review/rw3516092/?ref_=tt_urv
