Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 September 2019,UniqueParticle,9," I love this movie a lot being a guy with ASD!
","Johnny Knoxville and Brian Cox are spectacular! Hilarious while being entirely calming and at the same time quite awkward. I've known a lot of unique beings and been through a lot so I have a lot of sympathy for people that are different. Also this is my 480th review which I am very proud of, my passion is films and to be famous so maybe someone important could see my opinions. I don't know if someone quirky can even gain success especially since I am 27 but I still have high faith.",/review/rw1494386/?ref_=tt_urv
22 March 2007,ccthemovieman-1,9," Underneath, This Has A Sweet Tone To It
","A typical modern-day comedy so some of its crudeness with sexual innuendos or remarks, but overall this is a full notch or two above most because underneath it is a soft, good- hearted feel to it. It's also a nice vehicle for a positive image to be presented for mentally- challenged people (formerl called ""retards""). Those guys are as much of stars in this film as actors Johnny Knoxville and Katherine Heigl. ",/review/rw1494386/?ref_=tt_urv
3 January 2006,ScottDMenzel,8," Wow this movie is really underrated!
","A long time ago when I first saw the trailer for ""The Ringer"" my reaction to it was what the hell? Why would someone make a whole movie based on a ""South Park"" episode? Then the trailer for ""The Ringer"" disappeared for a while and then resurfaced completely re-edited. The new trailer for the film didn't really increase my interest in the film but out of curiosity (and the fact there really isn't much out I haven't seen) I decided to give the movie a chance and did so this afternoon.",/review/rw1494386/?ref_=tt_urv
18 June 2007,cosmorados,8," what a shame for those who didn't get it
","I like many people saw the trailer for this film and instantly felt angry at the Farrelly's for crossing the line and taking the rip out of the disabled, after seeing it the only person having the rip taken out of him was johnny Knoxville who is brilliantly cast as the stooge of his addicted gambler uncle, Brian Cox.",/review/rw1494386/?ref_=tt_urv
29 May 2008,jotix100,7," A day at the races
","We watched this film with trepidation. The Farrelly brothers don't actually believe in subtlety. ""The Ringer"" has a cast of mentally challenged players; frankly one feared the worst. Well, as it turned out, this is not your typical movie by the masters of grossness. The direction was entrusted to Barry Blaustein and the writing to Ricky Blitt. While there is some grossness, as was perhaps expected, the makers are actually quite respectful of the people involved in the Special Olympics.",/review/rw1494386/?ref_=tt_urv
28 December 2008,dbborroughs,6," Way better then you think it is
",Johnnie Knoxville tries to fix the Special Olympics by pretending to be handicapped. The idea is that he'll pretend to be mentally handicapped so money can be won to help a friend with no insurance and his dad who's in debt to the mob.,/review/rw1494386/?ref_=tt_urv
16 December 2005,margielord,," This Movie Is Great For Special Olympic Athletes!
","As Head of Delegation for a Special Olympic Texas team who has athletes featured in this movie, I have to take exception with the concept of assuming the athletes are being teased and made fun of in this movie. I spent most of 3 months on the set watching the filming 2 years ago and I know how very carefully Special Olympics International has watched the development of this movie. They have been involved in every aspect of this movie, from script development to final product. I also know how very careful Special Olympics is with putting their seal of approval on projects. They simply do not endorse ANYTHING, yet they are completely and 100% behind this movie.",/review/rw1494386/?ref_=tt_urv
20 December 2005,elf_107,9," This movie has so much heart!
","I got 2 free passes to see this film... I had very low expectations since it starred Johnny Knoxville who I, until today, only associated with really grotesque behavior on Jackass. The combination of that and Special Olympics smelled like it could be a cheap joke at the expense of Special Olympians but in fact it turned out to be just the opposite! It totally surpassed my expectations! It was a truly sweet, laugh out loud funny feel-good movie with big big heart. It portrayed the Olympians in a really caring way and those characters totally made the movie. I didn't have any trouble swallowing Johnny as a naive guy with a big heart, but people who've seen him in Jackass might find the contrast startling at first. It might be too sweet, or too predictably Hollywood for some people... But the physical comedy and naive sweetness really won me over in the end. I look forward to watching this film again.",/review/rw1494386/?ref_=tt_urv
30 July 2009,insomniac_rod,7," Decent underrated black comedy.
","I really didn't expect much from this movie because to be honest, I didn't her about it until a few weeks ago.",/review/rw1494386/?ref_=tt_urv
28 September 2013,chickswim,10," All Athletes should see this
","I am a Special Olympics athlete in Indiana and love this movie. It's the only movie that was cleared to go from Special Olympics Inc. Unlike ""Tropic Thunder"" which made fun of blacks and though with disabilities. I rented it from the library, which I would not pay to see at all. In one scene they used the r-word 10 to 15 times. It's ""respect"" not ""retarded"". I and others might be slower than you. But that only means others need to change their way of thinking around with intellectual disabilities. Those are real athletes playing in the movie too. For those like me it takes real guts to even do something like this. If I had the chance to I would take it. I want to write a book about those like us someday. I have been writing poems, though. Thank You.",/review/rw1494386/?ref_=tt_urv
24 December 2005,asam3122,10," ""When did we get ice cream?""
","""The Ringer"" is the story of Steve Barker, who, one day, is sent to fire his friend, the janitor, Stavi. When Stavi explains that he has five kids and that his wife died, Steve decides not to fire him, and to give him a job at his apartment complex mowing the lawn. When the mower malfunctions, Stavi loses some fingers. The surgery to give him his fingers back costs 28,000 dollars. Steve doesn't have that kind of money, and there's no way he can get it on time.",/review/rw1494386/?ref_=tt_urv
23 February 2009,vampyrecowboy,8," A great supporting cast
","While I liked the movie, I liked the story and the cast...it was the supporting cast that was better than the lead Johnny Knoxville.",/review/rw1494386/?ref_=tt_urv
3 June 2006,mayofam-1,10," This Movie Is Terrific Fun With a Great Heart
","As the mom of a real Special Olympian, it is great to see S.O. treated as an integral part of a big picture like this. I am sorry other people did not enjoy it as much as I did. Having a special child is something most people think is a tragedy; we parents of Special Olympians know that in many ways it is a great gift. It does make many people uncomfortable as a topic, but this film handles all these issues beautifully and was made with the support and guidance of Special Olympics with real mentally challenged athletes in pivotal roles. NOT a ""heavy"" message film at all, just a comedy for everyone who loves to laugh, regardless of their abilities. Give it a chance and you will love it! A+",/review/rw1494386/?ref_=tt_urv
4 January 2006,Sportscam20-1,9," ""The Ringer"", True Equality for All or a Step Backwards?
","What would you say if a person would try to enter the Special Olympics and make people think he was actually Developmentally Disabled? Horrible Right? Well, this is what happens in the new film ""The Ringer."" Steve Barker (Johnny Knoxville) is an average office worker looking for some new challenges to his job. Barker must fire a janitor of long-time status to the company, but he feels sorry for him and rehires him for a new job. In the process the janitor, Stavi, is hurt and must be taken to the hospital. Now Steve Barker must find a way to earn a huge sum of money in one week! Gary (Brian Cox), Steve's uncle, tells him that he should ""rig the Special Olympics"" by pretending to be a Special Olympics athlete.",/review/rw1494386/?ref_=tt_urv
16 March 2021,rhino-94279,9," Vastly underrated. Hilarious with lots of heart
",Not much to say except watch it. Hilarious and heart warming. It would do everyone good to watch this movie once.,/review/rw1494386/?ref_=tt_urv
1 January 2006,Sprstrddawg,10," A Really Great Movie
","The Ringer, a story about a man who rigs the Special Olympics to gain money for him and his uncle, is a surprisingly good movie. Reading the premise and seeing the commercials for this movie probably won't give you much reason to see it. It comes across as an insensitive, politically incorrect film that degrades mentally challenged people and pokes fun at the Special Olymics when it is actually not like that at all. There is a great message behind the film. Johnny Knoxville as Jeffy is great, not the insensitive jerk he may seem to be from Jackass. Brian Cox plays a great Uncle Gary, and Katherine Heigl is wonderfully sweet as Lynn. Besides a little language, this is a film for all ages. This New Year, check out The Ringer if you want a laugh and a heartwarming story.",/review/rw1494386/?ref_=tt_urv
