Review_Date,Author,Rating,Review_Title,Review,Review_Url
27 July 2005,Sulla-2,," Dalziel may not be real but this is how a senior Policeman should be
","This is easily one of my favourite UK Police series. Although it is called Dalziel & Pascoe, Superintendent Andy Dalziel, played effortlessly by the experienced Warren Clarke is easily the star of the show. He may not be real, but he is how senior Detectives should be. Hard drinking, perhaps a bit uncouth/crude, but also clever and someone who really does care. He is also a bit of a comedian, who has an habit of calling his staff by well known Nicknames. DC Harris is Bomber, DS Milligan is Spike, DC Novello is Ivor and WPC Jackson is Janet. The programme is set is Yorshire but because it is produced by the Birmingham studios a lot a scenes are shot in the West Midlands. There are now over 30 episodes and the early episodes also chronicle the progress of DS Pascoe's ( Later Detectective Inspector) family. An other regular, who has been absent for the past few episodes is DS Edgar Wield. The rugged Sergeant Wield is gay, but this is only occasionally referred to.",/review/rw1660796/?ref_=tt_urv
7 September 2010,TheLittleSongbird,9," Edgy, well acted and well written show
","I love detective shows and have done for as long as I can remember. Dalziel and Pascoe is no exception. I agree to some extent it is not quite as good as it was, with the introduction with the somewhat bland Kim Spicer, but on the whole it is well acted and well written, and while it has lost its edge a bit it is quite intense still. The photography and locations are excellent and the music is haunting(courtesy of genius Barrington Pheloung), while the writing is both humorous and intelligent and the stories and episode ideas gritty, edgy, complex and incredibly engrossing. The characters in general are likable and interesting, with Dalziel unorthodox but clever and quite funny sometimes and Pascoe loyal but sticks to the book. The acting is great, with Warren Clarke easily stealing the show, then again I don't know about you but Dalziel is for me the better character of the two but they're both great. Overall, great show. 9/10 Bethany Cox",/review/rw1660796/?ref_=tt_urv
20 March 2011,pensman,9," Solid stories with great actors
","A great series. Warren Clarke is great as DS Andy Dalziel (literally DL);his character is tough, hard as nails, earthy, and brilliant. He is the show. Obviously a self-made detective who without an ""education"" has been promoted up the ranks to superintendent and somehow missed the refinements he might have been expected to pick up. He is paired with Colin Buchanan as DI Peter Pascoe, a well educated college man who I find a bit of a prat and a snob who believes he is better than his boss. He is paired with a wife, Susannah Corbett, who really dislikes Dalziel. To be honest, I hoped her character would be murdered at some point during the series as I find her totally obnoxious which might be a tribute to her acting. ",/review/rw1660796/?ref_=tt_urv
19 May 2010,b_clerkin,," Not Quite Like the Novels, But Worth Watching
","I love Reginald Hill's novels upon which these shows were based and having read the lot, I have to agree with others in saying that the cast is less than accurate, though Warren Clarke and David Royle come closer in spirit to their book counterparts, if not physically. Colin Buchanan is too insubstantial to make Pascoe as strong as he is in the books and Susannah Corbett, while getting Ellie's smug self-satisfied know-it-allness down pat, looks and acts too hard - she fails to relay the bits of vulnerable sweetness of the book Ellie that makes it clear why Pascoe adores her. That being said, the stories remain fairly true to the novels, if far less bawdy and they retain much of the dark Northern humor that makes the books so enjoyable. With Clarke lacking the sheer bulk and crudity of the book Fat Andy, the scenes demonstrating his brilliance as a detective and perspicacity about the human condition are far less surprising than when they emerge in the novels. Even after you've read several of the stories, Hill makes Dalziel so obnoxious and primitive, you can visualize the scrapes on his knuckles from dragging them on the ground, when his genius and sensitivity lead to the truth - and that is what Dalziel is all about, getting to the truth - it still startles. However, judging the TV versions without considering the novel versions, the series is a cut above the standard fare in the UK, let alone the US, and is literate, funny, intriguing and thoroughly enjoyable. The acting, direction, pacing and scenery are completely credible and it is a treat to suspend reality to watch this - and the other UK coppers like Barnaby, Frost, Morse, et al.",/review/rw1660796/?ref_=tt_urv
29 January 2022,tomsview,9," Absent friends
","Something happened to those fabulous British crime and cop shows. Most of them finished and other than repeats, nothing much has taken their place.",/review/rw1660796/?ref_=tt_urv
1 September 2007,korvexe,10," Better than Midsomer Murders
","We are in the middle of season 7 at the moment in Sweden, and I've been watching it since season 4. And I must say that I've liked what I've seen so far. Every summer they show Midsomer Murders on Swedish television, and I USED to enjoy that show until I found this masterpiece. Here the characters and environments are more realistic, the plots are more complex and interesting, and the endings are not alway crystal clear, which, for the thriller-interested viewer, is quite satisfying. The ongoing Dalziel-Pascoe relationship is probably the best in its genre, and Dalziel's one-liners sometimes make you laugh your head off! I hope they will continue to show Dalziel and Pascoe in Sweden, although I don't think it's well known here. It's as good as Frost, and much better than the latest seasons of Midsomer Murders. UK can certainly make my evenings a lot more fun.",/review/rw1660796/?ref_=tt_urv
15 June 2018,qui_j,8," Brilliant cast but shoddy editing and writing
","Finally got around to watching the first 7 seasons on Britbox here in the US. Love the cast and hope that the channel will have all the seasons at some point as I hated to let go of the characters. My only complaint was to do with the editing, which seemed to stick scenes together in an unrelated manner that was very confusing at times. The endings of a few of the episodes were also not very defined as there did not seem to be a proper explanation given throughout each episode as how it all fitted together! Left me wondering what the point of the story was. Even with its not so positive points, it's a great series to watch, especially if you know the Yorkshire area well.",/review/rw1660796/?ref_=tt_urv
4 February 2005,roberts-alex,," A truly classic detective drama
","'Dalziel and Pascoe' is one of the greatest television programmes of all time. Based on the books by Reginald Hill, the show follows the work of Superintendent Andy Dalziel (Warren Clarke) and DI Peter Pascoe(Colin Buchanan), as they investigate and solve murders. Despite their obvious differences in personality and outlook, Dalziel and Pascoe soon become an effective partnership, and good friends. The show has certainly evolved over the many years it's been on our screens, with most of the early episodes being close adaptations of the books, whereas recently the writers have thought up original, and often superior story lines for the show. What really sets this series apart from other modern detective dramas is its gritty realism and complex plotting. With every episode of 'Dalziel and Pascoe' you are guaranteed an unpredictable and intelligent mystery, played out by excellent actors in atmospheric and realistic locations.",/review/rw1660796/?ref_=tt_urv
14 December 2014,candidcamel,10," Adore! *In My Top 5 Crime Series (New Tricks is First, this 2nd.)
","RIP Warren Clarke November 2014. I am finishing watching this series this Holiday Season in a tribute to Warren's recent passing. Warren Clarke is absolutely BRILLIANT in this series. I first found it via Masterpiece Mysteries on my US PBS channel back in the 90's. After that, it was hard to find, until nice folkes uploaded episodes. I have watched Series 1-11 at least once a year for the past 5 years. I have waited for it to be available in the US and now you can order via Walmart.com...wonderful site. Will be purchasing for my birthday in January 2015. This, New Tricks and my other favourite UK Series will be added as $ allows. Back to Dalziel & Pascoe. I am 62, a film/TV buff since a wee child. Soupy Sales comes to mind when thinking of Andy Dalziel. Out of thousands of TV Characters seen over the years. Andy is truly in my Top 10. His thick Gaelic Brogue and his ""true-to-reality"" male behaviour are EPIC. You must watch a few episodes to realize Andy's HEART...some may be appalled with his ""nose-picking"", ball-scratching, lip-smacking"" humouristic, characteristics. This is perhaps THE MOST REAL CHARACTER ever seen on TV. He is not your typical ""Lovable Barnaby"" DI, and not for fans of ""Nicely Nice"" DIs, calmly moving toward the obvious suspects. Dalziel will venture wild accusations, then apologize if he's wrong, and ""gloat"" as Peter Pascoe chides him, when he is found to be right. Dalziel is not a Politically Correct PC, he is unapologetically irreverent and brash. However, if you watch long enough, you will see Dalziel CRY soft sobbing tears in the face of loss and tragedy. I have never seen Barnaby cry. I guess the best way to put it, is...(Midsomer Murders which I love, finds an Adorable 1 Dimensional Barnaby) ANDY DALZIEL, is a MULTI-faceted character, a 3F man with flaws, failures & foibles. I have found him to be an admirable character. He is WISE, LOYAL, ""A Dog With A Bone (me too)"" and KIND with consideration. The Dalziel & Pascoe Series teaches that some crimes are resolved with ""FATE"" and lives lived with melancholy, instead of ""booty"". I love the supporting characters as well, although I hated ""Ellie"", Peter's wife...She was stunning to watch, beautiful and acted well, however, sad to watch her belittle Peter. Wieldy, the big silent softy, is a joy to watch and he provides a great supporting character to the mix. The female supporting cast members were fairly great as well...currently watching Posh Spicer, and she is good in her part and plays in 20 episodes. I haven't said much about Peter, sometimes I love Peter and sometimes, I simply want to smack him...His character is much more flawed than Andy's...While Andy loyalty is constant, Peter vasillates and has periods of doubt and suspicions. He is a brooding character, quite melancholy, but no Dalziel & Pascoe without Pascoe. There have been several characters that I have hated they killed off. Well enough...A QUITE WORTHY WELCOME Series and again, Andy stands alone with Alum Armstrong as Brian Lane in New Tricks as the MOST OUTSTANDING UK characters EVER! and to the person dissing this for A Touch Of Frost...I love that show as well...and the character FROST...he might be my 3rd., 4th or 5th. favourite DI.. WATCH IF YOU DARE! Not a sugar cookie, but a MACAROON!",/review/rw1660796/?ref_=tt_urv
24 June 2007,gtbarker,4," Oh dear what have the BBC done?
","This used to be a great TV series, until the 'reformers' got their PC focus group mits on it. Regular viewers will know what I'm talking about: when they changed the excellent original theme music (moody saxophone solo from the pen of Barrington Pheloung) and that accompanied a change in line-up. Out went the brilliantly under-played character of DS Edgar 'Wieldy' Wield (played by the excellent David Royle) and in came the 'I can't act for toffee and I've even got an annoyingly grating accent' Jennifer James in the role of WPC Kim Spicer and the inconsequential Wayne Perrey as DC Parvez Lateef. The show started out broodingly edgy and is now a faint shadow of its former self with the team now seeming more like the Scooby Gang than the hard-bitten original version. So come on BBC - less of the Kim Scrappy-Doo Spicer and let's get back to the original idea I used to love. The old show would get an 8 from me, but this incarnation struggles to get a 4.",/review/rw1660796/?ref_=tt_urv
