Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 April 2006,garrard,," A show that deserves a larger audience
","Airing on UPN, Chris Rock's ""autobiographical"" sitcom doesn't get the viewers that it so richly deserves. Besides being one of the best acted series in production today, the show has a stellar writing staff that supplies not only laughs but biting commentary about society, the mark of a good production team.",/review/rw1956129/?ref_=tt_urv
22 September 2005,SonicStuart,10," A show about Chris Rock's childhood
","""Everybody Hates Chris"" is another one of the best new comedies of 2005! The show is about Chris Rock's life as 13 year old and how he thought being a teenager was going to be fun when it turns out that it wasn't what he expected it to be and it shows on how he grew up in Brooklyn, New York with his younger brother and sister and his strict, hard-working parents. At first when I heard about this show I thought it was going to be a show where Chris Rock was playing a TV sitcom dad or something. It's really funny! Chris Rock is in the show but he is narrating the show while Tyler James Williams plays the 13 year old version of Chris Rock. Looks like UPN could have hit with this one. This is a hilarious show about most of Chris Rock's childhood life. At first when I read about this show before I saw ads for the show, I thought it was going to be a typical sitcom where it's based on a comedian who's a family man or something similar to any other sitcom that revolves around a comedian, but this is more original.",/review/rw1956129/?ref_=tt_urv
4 May 2007,KUAlum26,," No,Chris,everyone DOESN'T hate you...
","...in fact,I'd say that most people who get to know Chris Rock should end up loving him. Or at the very least,liking him.",/review/rw1956129/?ref_=tt_urv
3 January 2006,imdb-8212,," Almost EXACTLY like the real thing!
","This show had me laughing out loud in several spots throughout the season so far. It's set in Brooklyn in 1982 and follows Chris Rock and his Stingy penny pinching dad, his nickle millionaire mom, his younger ""better looking"" brother, and his bratty little sister as they try to fit in in a better neighborhood. It's not The Jeffersons, but more Good Times with most episodes covering conflicts within school or kid social interaction.",/review/rw1956129/?ref_=tt_urv
10 July 2020,nilsonsc,10," One of the most popular comedies in Brazil
","I really love this show. The characters are really well developed and memorable. It's quite funny how famous this show is in Brazil. I've asked a lot of people from other countries, and it's mostly unknown by them, while here most people know their catchphrases by heart. I think this is explained by three factors:
1. It was broadcasted by an open channel several times per day for years, and we don't have many good content available on TV;
2. Brazilians can really relate to the situations lived by Chris and his family. A lower middle class family trying to survive lack of money, prejudice and other adversities of life in a very positive way.
3. The dubbing of this show is REALLY good.",/review/rw1956129/?ref_=tt_urv
19 December 2018,tomfsloan,9," Extremely Creative
","Lots of shows are funny, but few are as creative as Everybody Hates Chris. There are countless segways, not unlike Family Guy, but these are live action. Not easy to produce in a weekly series. And thank you Chris Rock for using one camera as opposed to three cameras in front of a live audience. And also for your witty narrations. Especially when he refers to himself as now being famous. Every actor and character is full of personality. I wish the show ran longer.",/review/rw1956129/?ref_=tt_urv
6 April 2006,bookertkilla,10," Everyone loves Chris
",This show should be called Everyone Loves Chris because Chris Rock is the funniest comedian alive.This show is what was missing on our TV's. We needed a family comedy sitcom that is a bit offensive and racial.When I first saw this show I thought it was so hilarious but as it goes on it keeps getting funnier and better.Chris Rock is the only guy that can find something funny out of his old horrible past.E.g. He make jokes about racism and him getting beat up when it actually happened to him.If he turned this show into a drama it will be just as good it will be full with emotion and pain.But this sitcom doesn't focus on the pain.It makes us look at the funnier side of life.,/review/rw1956129/?ref_=tt_urv
2 October 2005,General_G,," Better then I Thought.
","Finally, Chris Rock came out with something funny and finally UPN has a great show! I love Everybody Hates Chris. I'd say its better then Everybody Loves Raymond. Classic black comedy. Its a good thing Chris didn't take this to Fox or they would have canceled after two or three episodes because they don't know what there doing. So far the second episode is my favorite. That crazy guy who kept saying fool was funny and that guy that was on fire, literally! I love stuff like that. Comedy you don't have to think about. Just some guy running down the street thats on fire and you cry laughing because its so funny. I hope they have plenty of that in this show. Way to go Chris Rock!",/review/rw1956129/?ref_=tt_urv
18 April 2010,dee.reid,10," ""Everybody Hates Chris,"" except me, that is...
","I'm just going to get this out of the way: comedian Chris Rock is probably my favorite comedian of all time. When I was 14 in 1999 and although my mother was initially against it, she eventually caved and let me buy Chris Rock's hit comedy album ""Bigger & Blacker,"" and it's probably my favorite spoken-word/comedy album. When I heard that Rock was going to be behind a semi-autobiographical show about his early life growing up in Brooklyn, New York, I got all giddy with excitement.",/review/rw1956129/?ref_=tt_urv
22 September 2005,flex498,," I LOVE Chris
","Tonight I saw the first episode of ""Everybody Hates Chris"". It is the first time I have seen a ""situation comedy"" in years that made me laugh aloud. I do not recall there being any laugh tracks which can be so annoying, especially when the track is the only laughter.",/review/rw1956129/?ref_=tt_urv
