Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 April 2016,Tweekums,7," Atmospheric if somewhat clichéd chiller
","This chiller in centred on hospice assistant Caroline Ellis; she has become somewhat disenchanted with the place she works to replies to an advert for a live-in carer at an old plantation house deep in the bayous. When she gets there she meets Violet Devereaux and her husband Benjamin; he has suffered a stroke and can't care for himself it will be Caroline's job to look after him for his remaining days. Shortly after arriving she is given a skeleton key that opens every door in the house. She finds a door in the attic that it won't open; Mrs Devereaux explains that the room hasn't been entered since she and her husband moved in several decades ago. Caroline manages to get into the room and discovers various spells, potions and other hoodoo paraphernalia. It turns out the room originally belonged to Mama Cecile and Papa Justify; two servants who had been lynched ninety years before. She investigates further and starts to believe that Mrs Devereaux is responsible for what happened to her husband and that she too is in real danger.",/review/rw3330368/?ref_=tt_urv
22 October 2020,filipemanuelneto,7," It doesn't scare, but it entertains.
","I am an avowed fan of horror films but I must confess that films with haunted houses are so common that it gradually became uninteresting. Still, there's nothing like giving new material a chance. That's what I did here. And I was reasonably satisfied: its a film that knows how to build atmosphere and tension and a pleasant mystery, even if its not capable of frightening.",/review/rw3330368/?ref_=tt_urv
14 August 2005,WriterDave,7," They Do that Hoodoo that they Do so...eh, Relatively Well
","Horror movies have become a dime a dozen in the past few years. The watchable ones seem to fall into two categories of late: misguided psychological thrillers headlined by a consummate actress (witness Naomi Watts in ""The Ring 2"" or Jennifer Connelly in ""Dark Water"") or over the top slasher/gore-fests with serious kitsch value (witness Romero's enjoyable zombie flick ""Land of the Dead"" or Rob Zombie's sadistic ""Devil's Rejects""). All of the rest have pretty much been unbearable cliché-ridden hack jobs (""White Noise,"" ""Darkness Falls,"" etc...) ",/review/rw3330368/?ref_=tt_urv
3 October 2005,Coventry,7," Hoodoo!! Whodunit!!
","In case you haven't seen ""The Skeleton Key"" yet, be very careful when reading any reviews... The less you hear, read or even know about this film the better, because I assure that you don't want to pick up any spoilers about this surprisingly original and ingenious horror-story. ""The Skeleton Key"" is an old-fashioned, powerful and  above all  well written haunted house thriller with great acting, macabre scenery and a shocking twist-ending that stands as one of the best I've ever seen in modern cinema. Beautifully set in the swampy region of New Orleans (morbidly enough, I saw this film shortly after the hurricane Katrina disaster), the story introduces a young nurse who moves into the ominous Deveraux mansion to look after its dying owner Ben. He had a nearly-fatal stroke in the dark attic of the house and, even though it looks like it was because of his old age, Caroline soon starts to suspect that something (or someone) nearly frightened him to death. Ben's wife Violet behaves very strangely and the old house's vicious history forces Caroline to investigate what could have happened. She discovers that the earliest occupants of the house practiced Hoodoo, which is a more spiritual variant of Voodoo... That's really all you can say about the story without giving away essential clues but, trust me, the rest of the film is definitely worth checking out yourself. Fans of atmospheric ghost stories (such as ""The Others"" or ""Angel Heart"") will particularly enjoy this film as it contains almost no graphic violence or gory monsters. Instead of blood, there's a wide collection of truly eerie set-pieces and subtle frights. Kate Hudson delivers a great performance, especially because she's not really familiar with the horror genre. She receives good feedback from Gena Rowlands, Peter Sarsgaard and  of course  John Hurt. The latter is always genius, even when he hardly has any lines. Highly recommended!",/review/rw3330368/?ref_=tt_urv
12 August 2005,aharmas,9," still spooked by the ending
","Part of the success of this type of movie is setting up and making sure its resolution lives up to its expectations. I must say that in this film everything seems to work, and yet... I'm not sure what spooked more: its ending or the nature of its ending.",/review/rw3330368/?ref_=tt_urv
20 September 2021,Chance_Boudreaux19,8," Great setting, great atmsophere and an all-time great horror movie ending
","The ending to this movie which I won't spoil is truly one of the best I've encountered in a horror movie. Throughout the runtime I was trying to figure out what the inevitable twist will be but there is no way I could've predicted the wild turn of events that unfolds. The conclusion is what made me raise my rating from a 7 to and 8. Ending notwithstanding it is still a very decent and atmospheric horror movie. I love movies set in New Orleans/Louisiana and am always on the lookout for more and this was a major reason why I watched this. I love it when a Louisiana movie embraces the swampy setting so that you can feel the humidity radiating from the screen. Skeleton Key has a lot of great scenes that establish the setting and showcase the culture and myths of the area. Some say the movie is a bit tame but that's not a problem for me. There are some horror movies that are let down by a PG-13 rating but this is not really a movie that needed an R rating as I can't think of many things that it would have changed apart from adding some unnecessary gore. Additionally, the performances are good but the direction could've maybe been improved to give it more of a creepy vibe as there weren't many actual scenes that had me scared. All in all it doesn't matter too much as Skeleton Key is a very decent and rather underrated horror movie that relies on atmosphere and setting rather than cheap thrills and gore.",/review/rw3330368/?ref_=tt_urv
3 December 2021,fuad_tarin_58,10," Insane movie
","When i see that this movie has a rating of 6,5 i get so dissapointed by ppl.",/review/rw3330368/?ref_=tt_urv
23 April 2006,drownsoda90,10," Well Spun Southern-Gothic Horror Tale.
","I saw ""The Skeleton Key"" back in August 2005 during it's theatrical run, and I can say it was one of the better horror/thrillers of the year. ",/review/rw3330368/?ref_=tt_urv
4 March 2006,claudio_carvalho,8," Finally I Was Able to See an Original and Recent American Horror Movie That Is not a Remake of a Successful Japanese Film!
","The nurse Caroline Ellis (Kate Hudson) decides to quit her job in a hospital and work for a family in the swamps of Terrebone Parish, Louisiana, one hour far from New Orleans. The family lawyer Luke (Peter Sarsgaard) hires her for US$ 1,000.00 per week to take care of Ben Devereaux (John Hurt), the beloved husband of Violet Devereaux (Gena Howlands), who had a stroke and is totally paralyzed. Violet gives a skeleton key of the huge house to Caroline, and the curious young woman finds a secret creepy hoodoo room in a scary attic that belonged to a couple of sorcerers that worked in the house. Caroline, who does not believe in magic, decides to learn about hoodoo, and believes Violet put an evil spell on Ben. She decides to help the invalid man, and asks for help to Luke.",/review/rw3330368/?ref_=tt_urv
31 December 2005,Nightman85,10," A twist that will leave your head spinning!
","Intelligent, stylish, and compelling all the way, The Skeleton Key is one of the best supernatural thrillers in years!",/review/rw3330368/?ref_=tt_urv
