Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 September 2022,tenealesharman,5," Loved the books
","Just finished episode 6 and I'll keep watching it til the end. I just honestly can't get over rose and her mums accent; why add an Aussie and kiwi accent? It's so distracting. Rose has been miscast, her Turkish roots play a role in the story. And I'm sorry but she's quite a weak actress. I feel like I'm casting they've gone down a run sheet and ticked a whole heap of boxes. The thing is, this story and the nationality of key characters are part of the story
Unfortunately the costumes are worse then the casting....like where do you even start. A complete disaster
Don't compare it to the books and it's ok.",/review/rw8573666/?ref_=tt_urv
17 September 2022,stehartley,7," this dosn't suck (no pun intended)
",If you use the books as a guide rather than a script you get a pretty decent vampire show. Ignore all the 10/10s and 1/10s and read the inbetween reviews and you will get a more honest feel of how good or bad the show is. I for one quite enjoyed it. It wasnt quite as good as the movie but it came pretty darn close. Script is pretty solid and decent performances from most of the characters. Special effects are on point. Given the state of streaming platforms and how fast they seem to cancel shows whether good or bad. I could see this show running for 3 or 4 seasons if it picks up the pace and with legacies finishing its a good way to get your vampire fix.,/review/rw8573666/?ref_=tt_urv
21 September 2022,AfricanBro,5," Had low expectations and it met them
","They make the most of it, production is a little underwhelming and budgeted but the premise is pretty decent. The ideology of the series is really the only thing that kept me watching past the first episode otherwise it's really nothing special. It starts off already in the middle of things with no introductions to the character or world the show's based in; howbeit, it isn't complex so you catch on pretty quickly on what's what. The story is close to ""A discovery of witches"" calibre, everything else however, the writing, acting, budget, plot and production, isn't anything to behold. A couple episodes in I let myself get invested in the characters and I'm enjoying it better. I never heard of the books until now and a lot of the reviews go on about how this is nothing like them and not as good; and I get it because in the proper hands or even just a bigger studio this really could be something better. I didn't really go in with high expectations. So from what others have said if you're a fan of the books you might not enjoy it, but as someone who hasn't read them, despite this being subpar compared to others in the genre like 'The Originals' or 'discovery of witches' etcetera, I'm still interested enough to keep on watching.",/review/rw8573666/?ref_=tt_urv
15 September 2022,torrescindy-01009,7," Different from the Book but giving it a Chance
","As a fan of the books since I was in high school I was highly anticipating this show. But you have to know before going into this tv series that it is not like the books. At first while I was watching the series I admit I was annoyed by how much they changed, but as time went on after episode 4 I learned to appreciate it. Don't get me wrong I am a huge fan of the book series and am little disappointment that they didn't follow the books. BUT this series DOES NOT DESERVE THE ONE STAR people are giving it. Reading the reviews you can tell that they are not fans of the series. Also you have to remember that Julie Plec is having a hand in Producing the show. If you watched Vampire Diaries you have to know Julie Plec's style. She is definitely changing the books to fit this modern 'Bridgerton age.'
Now onto what I appreciate about the series: I love the diversity and representation that was included. Yes, I know Rose is supposed to be Turkish and Dimitri Russian, but I would like to believe they have a plan to incorporate these cultures. Remember people can be mixed race and even we did not know Rose was Turkish until later in the books. Another thing I love is the opening scene, we got a glimpse of the car crash and meet Lissa's family for ourselves. By the way I did not like Andre.",/review/rw8573666/?ref_=tt_urv
16 September 2022,meltingmel,9," Much Better Than I Hoped
","I was definitely on the bandwagon that this show was going to suck and I had ALL the reasons why. NOPE ! I was so wrong and I'm really happy about that. It's done SO WELL! Do I love some of the changes? I'm not happy about them but they smooth over them very well. I think the reason why I'm so happy is that the acting is really good, and the chemistry between key romantic characters is spot on. So because of that... I'm loving it. I also can very much see the polished work of Julie Plec.",/review/rw8573666/?ref_=tt_urv
17 September 2022,pooya-932-558893,," Just wrong
","Vampires that can't move fast or disappear like any vampire movie or series, they are too ordinary and teflon to call them vampires. Just fangs? Are you kidding me? Elder vampires and kids are the same in powers? The vampires do parkour only that's hilarious instead of interesting. This series is a bad joke pretending to be serious with creators had no concept or clue on what vampires are...
Then it comes to elemental magic and thats another disappointment, weak vampires, weak story, weak philosophy and the whole series will lease a bad taste, with fights that looks like very bad johnwick copy fights in a vampire series thats hilarious. I should say WTF.",/review/rw8573666/?ref_=tt_urv
28 October 2022,paulalbrecht,7," surprisingly pretty good
",7.2/10,/review/rw8573666/?ref_=tt_urv
16 September 2022,India_Ana,3," Excuse Me While I Grieve . . .
","I can't believe I subscribed to Peacock TV for this. I'm glad I got a discount for the year. It doesn't look like I'll be subscribing for a second year though. I will never understand why someone takes a book and reworks the characters, world, and story to create something different from the original form. The whole point of watching a book come to life as a movie or show is to see it play out on the screen like it did in my head. To see this world with my own eyes, and to see the characters in the flesh. I DO NOT want changes.",/review/rw8573666/?ref_=tt_urv
14 October 2022,willandtruly,8," They should have said ""loosely based on"" and not adaptation.
","The subject matter is similar and most of the characters have the same names, but that is where the majority of the similarities to the book series disappear. The story in the show bounces all over all of the books picking and twisting the different events. These books were also for young adults and the content of the show is definitely not for young adults. I wish I had not read the books prior to seeing the show, maybe than I wouldn't be as disappointed. I read all of the Vampire Academy series books and then continued on the the Bloodlines series. I genuinely hope they do not attempt to convert those books as well.",/review/rw8573666/?ref_=tt_urv
1 November 2022,lilred0130,7," It was not bad... as a stand-alone
","I've never read the books (I did see the movie... it wasn't Oscar material, but I thought it was cute), but from what other people say, it seems to vary too much as an adaptation. So my review is from the perspective of not having read them.",/review/rw8573666/?ref_=tt_urv
