Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 April 2021,patrickezewuzie,6," Became a current affairs show
",I understand touch a bit on Covid and Floyd but a whole episode or episodes dedicated to what's going on in the world has made it quite boring.,/review/rw3575238/?ref_=tt_urv
15 September 2016,turnerdelores-09139,10," I love this new show!
","I have already sent out a message to friends that this is a show to watch. If you missed the first 3 episodes, then spend some time binge watching them. You'll be glad that you did. I like it much better than ""Greenleaf"" which is also on the Oprah network. I give it 2 thumbs up!",/review/rw3575238/?ref_=tt_urv
7 September 2016,jenniferscott-madison,10," Infuriating and Righteous
","""Queen Sugar"" examines the intricate dynamic of familial relationships, race, culture and heritage. If you're interested in another predictable array of characters and plot twists, then you will likely be disappointed. Should your soul require retouching, or should the transcendence of blackness be something you dare allow handle you, then Ava DuVernay and Oprah Winfrey's collaboration is well worth your attention. ",/review/rw3575238/?ref_=tt_urv
9 December 2019,roxmewild,2," Very slow paced drama
",Supposed Main basis of the story is of a black family trying to revive the family business of sugar cane farming after the father died however after 4 seasons more of the story is the racial inequalities of families living in the southern area of USA .,/review/rw3575238/?ref_=tt_urv
10 August 2020,joywingfield,2," Great in the beginning, but...
","Sigh -- I really wished the writers would have stayed true to the characters instead of try to please the audience with the ""who's popular and who's not"" B.S. of television writing. The series started off strong, building well-liked yet seriously flawed characters that gave the show a backbone and grit that was refreshing to watch. But as the story played out, we start to see the writers MANIPULATE plots and MANIPULATE dialogue to suit their purposes. This character is popular, so let's give her overwritten scenes and keep her the center of the universe. Unrealistic and completely untrue to the characters, especially as we get into Season 4 when it becomes painfully obvious that Ava and her team idolize Nova, the character who seems to get away with murder yet walks away the victim, the fixer, the smartest person in the room. Really??! And Ralph Angel -- who, if the writers stood their ground and gave us something believable, would have grown emotionally by now, instead keeps pushing aside his own happiness, potentially with a beautiful, intelligent and supportive woman who could have given him the stability he wanted, instead plays the co-dependent schlup who keeps going back to a woman who has lied to him and manipulated her way back into his life. All because the viewers ""like Darla"" and want her to be with Ralph Angel. Never mind that it's unreal and makes no sense. Who wants sense? Let's keep infuriating the audience are rooting for these characters. Let's keep give them HUGE mountains to overcome -- because that's ""drama."" Yeah Right. I've studied screenwriting and I swear, this goes against the grain of genuine storytelling. I will say that I appreciate the acting for the most part (with one unfortunate exception -- Rutina. Completely fake with her one-tear shots.) but overall, the first 3 Seasons were good. I was just hoping -- for once -- that Ava and her writers would let go of themselves (and their alter egos) and let go of the viewers ""favorite characters"" lists and allow the story to Be. Allow the characters to grow. WRITERS, YOU'RE NOT HURTING ANYTHING BY MOVING THE STORY FORWARD. But instead, you choose to be repetitive and stuck. In Season 1, Charley struggles. By Season 4, Charley still struggles. Come on. So disappointing. I will not continue to watch...",/review/rw3575238/?ref_=tt_urv
10 September 2016,Amari-Sali,9," With a patriarch becoming ill, his family comes together to support one another and in some cases reconnect.
","OWN is a slept on channel. Granted, starting things off with a slew of Tyler Perry productions didn't begin its scripted foray with the best reputation. However, since branching out to different visionaries OWN arguably has gained the type of programming you'd have expected the decades old BET to have had years ago. So with their newest addition, Queen Sugar, arguably Oprah Winfrey and her team have created a solid launch pad for new talent, seasoned talent who deserve steady work, and those in between who may be familiar faces but never got the roles they deserved.",/review/rw3575238/?ref_=tt_urv
14 September 2019,coljam21,10," Keeps getting better
","My gosh! Every season. Every episode is so complex and so relevant. This show draws you in and deals with issues that you can relate to in such a human way.
I don't know how they do it but each season has been better than the last.",/review/rw3575238/?ref_=tt_urv
29 June 2017,pgooden,3," One dimensional characters
","We have the cosseted wife of a star athlete, the firebrand sister, the "" I gotta be a man"" brother and the all knowing auntie.",/review/rw3575238/?ref_=tt_urv
10 September 2019,lashonda_kellem,10," It's a 10 for me
",I love this show. It's authentic. It draws you in these characters lives and keeps you there. I'm on the current season and I have yet to be disappointed,/review/rw3575238/?ref_=tt_urv
15 October 2016,a-mmerchant,2," Not the same as the book.
","I guess if you have not read the book you will love the show. I had to watch the first episode several times because it was so different. In the book Charlie's husband is dead and she has a daughter not a son. Hollywood was Creole and looked almost white, he does not have a wife but stays on the family's old plantation, Blues mother died from a drug over dose, there is no sister named Nova, this is what really threw me! There are only 2 siblings and Charley is Ralph Angel's half sister. The father has already died so there is no family gathering for a funeral, also Remy is white. And where the hell is Miss Honey, Violets mother, because she is the one that raised Ralph Angel and when Charle and Micah return to Louisiana it's at her house they stay, not Violet's. I am watching the show, and each time I have to remind myself to put the book out of my mind! I just don't understand why so many changes were made! I don't think there are any spoilers here but how can it be when the show is so much more different than book. I was and am really disappointed.",/review/rw3575238/?ref_=tt_urv
