Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 November 2016,Mr-Fusion,6," An imperfect joke
","When ""The Killing Joke"" is actually about the source material, it's a decent adaptation. It's dialogue-faithful, the tone is good, and really, if they've gotten Conroy and Hamill as the two leads, you know they're taking this seriously. And that infamous scene is incredibly effective.",/review/rw5904193/?ref_=tt_urv
25 July 2016,Rendanlovell,4," A bland retelling of a powerful novel
","One of the most acclaimed graphic novels of all time has now come to the big screen. Not only is this one of the most acclaimed novels ever but it's one of the most controversial. The story is basically an origin tale for the infamous Batman villain, The Joker. When this movie was initially announced back at the beginning of 2016 there was some serious hype surrounding it. Especially when it received an R rating. One thing that really made me nervous though was how quickly this actually released. Obviously, it could've been in production long before it was announced back at the beginning of the year, but after seeing the film, I don't think that's the case.",/review/rw5904193/?ref_=tt_urv
28 July 2016,Quinoa1984,5," the mixed bag joke
","It may seem like this is a high rating given the backlash DC animated The Killing Joke has received, however this is an averaged out rating.  In honesty this isn't a very good movie, despite the fact that when the filmmakers and adapter Brian Azzarello (do I hasten to call him a 'screenwriter' after this one credit?) stick to the original Alan Moore source it's a dark and involving delight. It's what comes before it, how they make it into a ""full movie"" that things fall apart.  This is a schizophrenic experience full of high highs, generic lows and some what the almighty Jesus bloody hell for good measure.",/review/rw5904193/?ref_=tt_urv
3 December 2016,timdalton007,7," Something That Could Have Been Among The Best Comic Adaptations...
","The Killing Joke (that is the graphic novel written by Alan Moore and illustrated by Brian Bolland) is considered one of the definitive Batman/Joker stories ever told. It's a controversial one to be sure as well with what Moore chose to do to one of its supporting characters. So when it was announced that it was, at last, receiving a screen adaptation, fans couldn't help but be excited. When the news came that one of the definitive Batman/Joker performance teams (Kevin Conroy and Mark Hamill) were playing those roles, it was even harder to be excited. So much so that despite being slated to go straight to DVD, it received a successful yet brief cinema run as well. Was it to prove to be as successful as its original comic counterpart? ",/review/rw5904193/?ref_=tt_urv
10 February 2018,matthewssilverhammer,3," Why So Stupid?
","I'm a fan of the book, and about half of this is an exact copy of it. However, the tacked-on prologue with the weird, borderline-statutory bat-sex? No thanks.",/review/rw5904193/?ref_=tt_urv
18 September 2016,Michael_Elliott,," Great Animation and Darkness
",Batman: The Killing Joke (2016) ,/review/rw5904193/?ref_=tt_urv
26 July 2016,MackMonMay87,4," DC Animated's Killing Joke Absolutely Not For Fans of Novel
","(Warning: This review contains spoilers about the story, especially for those who haven't read the source material.)",/review/rw5904193/?ref_=tt_urv
22 July 2016,Smarmelade,7," Good, not great
",I've always thought that The Killing Joke is actually not long enough and not quite suitable enough for big screen. This just proves it.,/review/rw5904193/?ref_=tt_urv
9 August 2016,Oneirosophos,1," Killing The Joke
","The ogn material this adaptation was based on, was released on 1988, by Alan Moore & Bryan Bolland. It was one of the most disturbing, nightmarish made in UK stories, that gave an even more psychish tone to Joker as a character and turned (unfortunately) eventually Batgirl into Oracle.",/review/rw5904193/?ref_=tt_urv
23 October 2016,bob the moo,," Roundly poor
","I have read the graphic novel from which this film comes, but it has been years and I did not bring anything to this film version other than the hope that it would be a good film. I also didn't care that it got an R-rating in the US; I cannot think of a film that was 'good' simply because it was graphic, and those excited that a franchise got such a rating are really missing the point. Anyway, watching the film was a serious disappointment. The first half was dull and lacking anything that really linked to the second half in a satisfying manner. I really do not care whether or not it is in the source material, for me it was more that it was dull and disconnected. The second half I the film proper and to be fair it is better, but not as good as it needed to be.",/review/rw5904193/?ref_=tt_urv
17 October 2016,happy_hangman,4," A Missed Opportunity
","First off, it's great to hear Kevin Conroy, Mark Hamill, Tara Strong and others from the '90s Animated Series reprising their roles. Pity it wasn't with better material.",/review/rw5904193/?ref_=tt_urv
26 July 2016,straightace,5," Rehashed Work
","I'm not sure how to approach this movie. I wanted to like this movie I really did. I wanted to like everything about it. From its revival of the good old' Batman TAS to the voice actors to the sweeping soundtrack, the polished animation reflecting a dark Art Deco Gothic – whatever the hell you call it – STYLE. Maybe I was asking for too much but perhaps a little story on the side too. Pretty please? ",/review/rw5904193/?ref_=tt_urv
15 April 2017,Hellspawn92,4," One of DC's worst blunders.
","This movie is awful. As a stand alone movie, it's weak and ineffective. As an adaptation, it's a travesty. ",/review/rw5904193/?ref_=tt_urv
31 July 2016,siderite,6," What the hell was this?
","I am not much into Batman, but I wanted to watch this because of all the hype of it being R-rated and because I liked the trailer. It is a bit longer than an hour and in it there are only defective people. The R-ratedness was not really something that I noticed, really. Maybe because I am from Europe. It just seemed a normal violent hero movie.",/review/rw5904193/?ref_=tt_urv
15 July 2018,the_doofy,1," ??
","What exactly does the first 30 minutes have to do with the last 50 minutes of this movie, outside of getting batman laid.",/review/rw5904193/?ref_=tt_urv
24 February 2019,neil-476,7," Good, and yet...
","Batman warns off his young protege Batgirl for getting too close to and complacent about the case they are involved on. Initially defiant, Batgirl subsequently reacts by having sudden impulsive sex with Batman, then by quitting as Batgirl. The Joker, looking to prove that takes merely a single bad experience to push someone into madness (as evidenced by the tragedy of his own origin), shoots Barbara Gordon (Batgirl) and pralyses, then kidnaps her father Commissioner Gordon and taunts him with pictures of his daughter, naked and damaged. But Gordon does not break, and directs Batman to bring The Joker in by the book.",/review/rw5904193/?ref_=tt_urv
12 April 2020,CinemaClown,," A Piss-Poor Adaptation That's As Insipid As It Is Forgettable
","While Alan Moore's graphic novel is notable for providing a tragic origin story for the Clown Prince of Crime, it's just as controversial for its barbarous treatment of another one of its characters. This film had a rare opportunity to right the wrong but it instead takes the controversial elements and makes it even worse.",/review/rw5904193/?ref_=tt_urv
28 March 2017,kronoase,3," They wasted good material and awesome actors...on this?
","I was a fan of the graphic novel, so I will admit that already set a high bar to please me. I would never have considered watching it but for the voice talents of Hamill and Conroy. ",/review/rw5904193/?ref_=tt_urv
