Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 October 2015,luke-a-mcgowan,9," Brilliantly authentic and deeply touching
","There are about four films that can overcome the ""seen it"" cynicism I have, unlock my heart and make me feel genuine feelings. In other films I can appreciate that the film is beautiful and emotional, but there are only four that can really get to me. The first was Crash, the second was The Green Mile and the third was Boyhood. Me and Earl and the Dying Girl just scored the fourth slot on that extremely small list. Alfonso Gomez-Rejon's film is a beautiful cocktail of wonderful things. Its quirky and charming and witty and touching and somber and delicate and completely beautiful. Its got elements of about six of my favourite films of all time, and the fact that it slam dunked Sundance doesn't even surprise me a bit. ",/review/rw3279435/?ref_=tt_urv
11 May 2015,somf,9," Enjoyed every moment of this film
","I have to start my review with discussing the inevitable comparisons with ""The Fault in Our Stars"". John Green fans would find it blasphemous to say this is a superior film but it certainly is. I don't think that I can argue that the characters in TFIOS are more realistic, but the whole unique style and quirkiness of MAEATDG make it a true classic of the teen genre like ""The Breakfast Club"" or ""Breaking Away"". It as important as many of the films to which Earl and Greg pay homage with their own hilarious versions.",/review/rw3279435/?ref_=tt_urv
8 July 2015,Hellmant,9," Who wouldn't love that title?!
",'ME AND EARL AND THE DYING GIRL': Four and a Half Stars (Out of Five),/review/rw3279435/?ref_=tt_urv
25 September 2015,cosmo_tiger,8," A movie teens should watch. If you liked Fault in our Stars you will love this movie.
","""We're not even friends."" Greg (Mann) is finally a senior. He as survived high school by trying to be invisible to everyone and not causing any drama. When his mother tells him that a classmate (Cooke) has been diagnosed with cancer and that he should hang out with her he hesitates. What starts off as something he is forced to do actually helps him to become who he truly is. If you have teenagers this is a movie they should watch. The movie is a mix of Fault in our Stars and Perks of Being a Wallflower. There is humor and drama in this but the best part about it is that it feels real and nothing about it is forced. The movie could have easily been cheesy and almost after-school-special-like but it stays away from that and becomes something that is truly special. It isn't anything all that original but the writing and acting really make this one of the better movies of this genre and I recommend it. Overall, a movie that could have been very hokey but instead turned out to be very real and heartfelt. A movie teens should watch. If you liked Fault in our Stars you will love this movie. I give it a high B+.",/review/rw3279435/?ref_=tt_urv
8 July 2015,jbroc62,8," Me and Earl and the Dying Girl: Proof That Laughter Can Help Ease the Pain of Dying
","Me and Earl and the Dying Girl offers a very accessible, honest, and humorous look at not only how someone deals with being diagnosed with cancer, but it also turns the clichés of the coming-of-age story on its nose, and the people behind this film are able to do that by finding the perfect balance between drama and comedy within this unfortunate tragedy. ",/review/rw3279435/?ref_=tt_urv
9 October 2015,A_Different_Drummer,10," Oh Wow (Ferris Bueller eat your heart out)
","According to the IMDb TOS, they are not currently accepting 2-word reviews -- OH WOW -- so I am going to flesh this out a tiny bit: ",/review/rw3279435/?ref_=tt_urv
10 November 2015,Hitchcoc,10," A Gem of a Movie About Why Life Is So Precious
","I saw this film on a four hour flight. I had it on my list of films to see, but I never got around to seeing it. What we have here is a classically gifted child who tries to hide in the bushes. His friend is a down-to-earth black kid who comes from humble roots. His contributions are more basic. He has a seemingly dangerous brother. The star is a filmmaker, taking classics like ""Apocalypse Now"" and ""Breathless"" and turning them into truncated parodies. The titles are probably better than the movies. One day, his somewhat overbearing mother, lets him know that a classmate of his, a young woman, has leukemia, and that it would be nice to for him to visit her. He reluctantly goes to see her, and it is only his explanation that his mother will make it hell for him if he doesn't spend time with her. What develops is a fascinating connection between the two and love at arm's length. Earl is only a part time player and not a great factor, other than being a refreshing distraction. What makes this movie so wonderful is the natural development of love and friendship, the realities of the illness, and a slow revealing of truths between the two characters. The movie is funny at times and never maudlin, although it has its dark moments as well. I'd not heard of the kids playing the roles, but they are strikingly poignant in their delivery. Nick Offerman, who is only in a couple scenes, plays the father of the boy. He steals every scene he is in. He is an experimenter with life where the young man experiments with film. See this.",/review/rw3279435/?ref_=tt_urv
30 January 2015,SLUGMagazineFilms,," Not Just Marketable, But Good Too
","It would be easy to criticize the fact that Me & Earl & the Dying Girl appears to have been genetically engineered to be a summer box office moneymaker (Fox Searchlight and Indian Paintbrush have already snatched up the rights for a record- breaking $12 million). It's an adaptation of a young adult novel about adolescent friendship in the midst of terminal illness, which is hot in Hollywood right now thanks to The Fault in Our Stars. Basically, I went in to this film wanting to despise it for its utter marketability. Upon seeing it, however, I was reminded that movies can be commercially successful and good at the same time—and that's okay. The film chronicles the senior year of Greg (Thomas Mann), his friend Earl (R.J. Cyler), and Rachel (Olivia Cooke), who has been diagnosed with leukemia. Though all of the teen dramedy tropes are present—awkward parents, the teacher who gets it, the exploration of high school cliques—the excellent supporting cast keeps the narrative fresh. Greg's parents (Connie Britton and Nick Offerman) add an eccentric jolt of parental weirdness to their scenes, and The Walking Dead's Jon Bernthal takes archetypal cool teacher role into some original territory with his tattoos and battle- scholar vibe. While I found myself wanting more in regards to Rachel's character, the film's treatment of her friendship with Greg is both darkly funny and realistically somber. This is one movie that it's safe to see regardless of its soon-to-be huge commercial appeal. –Alex Springer",/review/rw3279435/?ref_=tt_urv
27 December 2019,yusufpiskin,10," ""No one has done more to make me smile than he has. And no one ever could.""
","All I'm going to say is that I was not crying, but sobbing, throughout the entire second half of this film.",/review/rw3279435/?ref_=tt_urv
28 October 2016,kosmasp,9," Spoiler in the title?
","Or maybe not. But then again, you have to watch the movie to really know. One thing is for sure: the movie is funny if you like weird humor that is out there. That is really strange and has a strong script (the dialog is amazing, maybe you may think it's too much for some teenagers to talk like that). If you actually thought the fault in our stars movie was good, wait until you get a load of this. And just to be clear, I'm talking about the other movie, not the novel that it was based on, that I never read.",/review/rw3279435/?ref_=tt_urv
3 February 2015,tomtobias-230-837004,10," Super w Long Shelf Life
","I saw Me & Earl last week at Sundance and have not stopped thinking about it. That is a long (6 day) shelf life. What more can one ask from a film? The writing and execution is elite quality. All scenes seem necessary. Parent/child relationships, peer relationships, teacher/student relationships all are captured in humorous and touching ways. Life and death realities are also visited through the lens of ""kids"" who make as much sense as possible when facing the grim possibilities of severe illness.",/review/rw3279435/?ref_=tt_urv
1 May 2019,robertemerald,10," Genuinely moving and funny blend of humour and teenage animation
","You'll be enchanted by this movie. It has a wit that easily makes you smile, and that wit continues through most of the movie. The dying girl is the same actress as the girlfriend in Bates Motel tv series, playing a similar role, and is the anchor against which the drama rocks. The characters here are really likeable. The two lead protagonists are humble and yet a source of fantastic creativity, their works bouncing around the film and adding heart and colour to proceedings. It's a highly unusual story, with unexpected rays of sunshine around every corner. I highly recommend Me and Earl and the Dying Girl. It's an easy watch for sure as it is so inspiring, and will be remembered as a classic.",/review/rw3279435/?ref_=tt_urv
9 July 2015,ross-bob,7," An indie well worth seeing
","I saw it three times. Yes,it was painful because we were all that kid -- geek, awkward, nowhere with girls.",/review/rw3279435/?ref_=tt_urv
5 September 2015,bartonj2410,8," Quirky little gem from Sundance that just has to be seen
","It's easy to dismiss such a quirky film as Me and Earl and the Dying Girl, the latest independent film to get a release after making quite an impression at the Sundance Film Festival, where it won both the Audience Award and Grand Jury Prize in the drama category.",/review/rw3279435/?ref_=tt_urv
