Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 February 2022,moviebender,10," Absolute Masterpiece
","Absolute Masterpiece of storytelling, gameplay and graphics! As a big fan of the first HZD game and the stellar actually very possible story of mankind I was worried how the development team would translate and link the story into the second game. Now after couple of hours into it I absolutely can tell you they did another masterpiece of game and story here. Well done Guerrilla and Sony! Absolute must have and play for this season. And let the non-gamers be jealous they will never experience this kind of story and graphics pleasure.",/review/rw8237713/?ref_=tt_urv
26 February 2022,fuad_tarin_58,10," 10/10
",Played this game now 50houers and its crazy good. Its one of the best games ever made.,/review/rw8237713/?ref_=tt_urv
23 February 2022,Honodi,7," A good game that i just didn't really enjoy as much as zero dawn.
","Let's be very clear here, H:FW is a very beautiful game, the landscape is amazing, the character animations are great, and i could not point to something in the game that was at odds with itself (everything was coherent and made sense in the Horizon World).",/review/rw8237713/?ref_=tt_urv
17 September 2022,ilpo-surokivi,10," Amazing
","This game is just amazing! I would leave it at that but I just want to tell you more. Even if I don't agree with the policies of the developer and I don't support fascism that wants to make people silent based on their political opinions just because someone's emotions are hurt, I have to say that Guerrilla Games knows how to make games and amazing storytelling.",/review/rw8237713/?ref_=tt_urv
31 March 2022,missraziel,10," A work of art
",Game of 2021 hands down.,/review/rw8237713/?ref_=tt_urv
11 March 2022,bakerstreetdozen,8," Great sequel, but suffers from unnecessary additions
","I really enjoyed the first game and this was my most anticipated game in awhile. I can't say I'm exactly disappointed, it's extremely fun. But there are certain changes that they made that just...didn't need to be made. Like fixing a problem that didn't exist.",/review/rw8237713/?ref_=tt_urv
26 March 2022,KalKenobi83,10," A Fantastic Sequel Expands The Lore Of Horizon
","Played Horizon: Forbidden West very excellent game also great graphics and voice work By Ashly Burch (Marvels's Avengers, Valorant) as Aloy, John Macmillian(Amenisia: Rebirth) as Varl, John Hopkins(Hitman 3) as Erend, Noshir Dalal(Star Wars: The Bad Batch) as Kotallo, Erica Luttrell(Westworld)as Zo, Freya Parker(The Void) as Talanah, Alison Jaye(Shameless) as Alva, Lance Reddick(John Wick Chapter 3:Parabelleum) as Sylens, Lesley Ewen(Arrow) as GAIA, Stefan Ashton Frank(Cyberpunk 2077 ) as HAEPHESTUS, Geno Segers(Yellowstone) as Chief Hekarro, Marc Kudisch(Mindhunter) as Erik Visser, Dan Donohue(Star Wars: Battlefront II) as Gerard Bieri/POSEIDON, Angela Bassett(Mission: Impossible-Fallout) As Regalla, Josh Keaton(Voltron) as Sun-King Avad And Carrie Anne-Moss(The Matrix, Mass Effect Trilogy ) as Tilda Van de Meer.",/review/rw8237713/?ref_=tt_urv
19 February 2022,namyers-31561,10," Worth every drop of hype
","Holy heck. This game is STUNNING. Easily the most beautiful looking game I've ever played. Brilliant story, well written and intriguing characters, challenging combat, tons of side activities, easy and fun to get lost just exploring/hunting, and just purely phenomenal. Aloy's return is glorious.",/review/rw8237713/?ref_=tt_urv
22 February 2022,krismancini,9," An example.
",An example of how you nail a sequel. Great game. Didn't love playing the first one. But loved this one. I don't even consider myself a single-player gamer. I just historically always play Multiplayer. But this game sucked me in!,/review/rw8237713/?ref_=tt_urv
23 February 2022,ruippfonseca,10," Amazing!!
","One of the best games ever! Must play to understand, unbelievable!! Love it, took 30 hours to get to the end, but it's certain I will play much more than that!! Congratulations to the studio who have made this masterpiece!!",/review/rw8237713/?ref_=tt_urv
1 August 2022,andreichirita1,10," One of the best epic sci-fi series, continued
","Waiting five long years to roam again with Aloy in one of the most original post-apocalyptic worlds ever created was certainly worth it. Just about everything is now better, and, while it was obvious that nothing could compare with Aloy's anagnorisis from the first game, the story is still a delight for the sci-fi fan.",/review/rw8237713/?ref_=tt_urv
23 February 2022,mbornastier,9," A stunningly beautiful sequel
","Aloy is back to try to figure how to reboot GAIA, new friends, new enemies, and lots of machines to destroy. The scenery is beautiful, the soundtrack is amazing, and the world even more expansive. I'm not even half way through the game yet, but I am in awe of this masterpiece. If you loved Zero Dawn, you'll definitely love Forbidden West. Oh, and Aloy is still my spirit animal. Now, I must go, there's a cauldron I need to make my way into.",/review/rw8237713/?ref_=tt_urv
18 February 2022,VeronikaWolfQueen,10," It got better, but I hated the ending
","Since this review turned out to be so incredibly long, I've gotten rid of the original review, it's not important. I've got it saved to my notes for posterity.",/review/rw8237713/?ref_=tt_urv
16 March 2022,saaiakani-822-89518,10," A Powerful Entry in Horizon: Zero Dawn
","With upgrades to every aspect of the game- gameplay, AI, upgrade systems, skill trees, and graphics, Horizon Forbidden West was an absolute triumph. Cauldrons are no longer wash-rinse-repeat; stories you encounter and engage in require real choices; the decisions you make will affect the way the ending plays out. In over 30 years of experience in gaming, I cannot recall any other sequel being as strong a follow up as this. I cannot recommend it enough.",/review/rw8237713/?ref_=tt_urv
1 May 2022,parrot007,6," Extremely Overrated and Undeniably Formuleic
","This game isnt bad but its been super overrated because we're in a drought for good triple A games right now. There is nothing here that you haven't already seen in a open world game. Graphics are a 10/10, world design is beautiful. Combat and progession are fun, but still virtually identical to the first game.",/review/rw8237713/?ref_=tt_urv
