Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 November 2019,Gordon-11,," Engaging and convincing
",This film tells the story of a woman who seeks revenge in Australia two hundred years ago.,/review/rw5096364/?ref_=tt_urv
2 August 2019,ferguson-6,8," Vengeance is thy name
","Greetings again from the darkness. With only her second feature film, Jennifer Kent (THE BABADOOK) has created a near cinematic masterpiece. The only thing holding it back is the historical subject matter and the no-holds-barred approach that will surely limit its audience. From an emotional aspect, the film is extraordinarily uncomfortable and disturbing to watch; however, from a filmmaking perspective, it's a thing of beauty. The two sides of my brain were at war the entire time.",/review/rw5096364/?ref_=tt_urv
16 August 2020,kosmasp,9," Not a sing a long
","After Babadook, you'd be excused to expect another horror movie. But this filmmaker has other plans. And what intriguing and complicated plans they are. The story is really interesting and it does keep it real. With all the ugly faces it brings up. I am not sure about the evil character being ""humanized"", but I get what she is trying to say there too.",/review/rw5096364/?ref_=tt_urv
24 November 2019,Avwillfan89,8," A cruel punishment
","Two hours is a hell of a long time to sit through what is essentially, quite possibly one of the most disturbing movies of all time.",/review/rw5096364/?ref_=tt_urv
12 March 2021,searchanddestroy-1,10," A true masterpiece.
","When I saw this feature I thought about BRIMSTONE, made five years ago, also a western starring a strong female character seeking vengeance in a bloodthirsty odyssey, a rampage into hell. Yes, I could not prevent myself to compare both movies, a kind of dive into madness and brutality. And so powerfully acted. That's a million times better than all those action packed thrillers starring female fighters, sort of NIKITA rip offs, all lousier one than the other. No, don't miss this one. You would regret it. A real hit in the face, in the guts. In the soul.",/review/rw5096364/?ref_=tt_urv
17 November 2021,lee_eisenberg,10," Australia has an ugly history
","Knowing that ""The Nightingale"" is from the director of ""The Babadook"" and seeing the poster, you might think that it's a horror movie. Well, the horror is the sheer cruelty of the British towards the Irish and Aborigines. Set in 1825 Tasmania, it focuses on an Irish woman working as a servant. After a British official murders her husband and baby, she enlists the help of an Aboriginal tracker to find the officer.",/review/rw5096364/?ref_=tt_urv
1 November 2020,SnoopyStyle,8," brutal
","It's 1825 present-day Tasmania. Clare is a young Irish convict forced to follow colonial British soldier Lieutenant Hawkins despite his brutality. She and her husband have a baby daughter. As convicts, they need to be released from service but Hawkins refuses to release the beauty. Hawkins has been stuck leading an outpost for the last three years and is desperate to get a promotion to Captain in a town a few days north. When he does not get the expected recommendation, the situation spirals into darkness.",/review/rw5096364/?ref_=tt_urv
13 December 2019,yusufpiskin,8," ""What's wrong, soldier boy? Did your mommy not love you?""
",The most brutal and intense movie i've ever seen in my life.,/review/rw5096364/?ref_=tt_urv
26 March 2021,morrison-dylan-fan,10," The Nightingale Sings.
","After finishing my viewings at the online 2021 WOW Film Festival with the magical Scales (2019-also reviewed) I started making plans for my 100th watched film in 2021. Having had the title on my watch list since seeing reviewer Ross Miller mention it on Twitter, I decided it was time to look up at the sky,for the nightingale.",/review/rw5096364/?ref_=tt_urv
27 October 2019,pietclausen,7," The Dark Past of Australia
","A very good movie of Australia's past history how the settlers treated the aboriginals and the convicts deported from England. Not too much is known of these happenings, but this film shows the stark realities of those days, almost two hundred years ago.",/review/rw5096364/?ref_=tt_urv
