Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 September 2007,blanbrn,7," It pushes the envelope for cable TV. Not your typical angel certainly no ""Highway to Heaven""
","Just recently over the last month I started to watch TNT's new cable drama series ""Saving Grace"", because I had read so much about it in the entertainment magazines and tabloids that it was racy and pushed the limits for cable and I agree, but it's highly enjoyable and I like it's theme and the acting is great from Holly Hunter. Holly Hunter the fine veteran actress that she is stars wonderfully as Grace a hard living, hard working, down on her luck, cigarette smoking, beer drinking, bed hopping, redneck Oklahoma City detective that does her best to solve crime and have fun while being sexy as ever. Now talk about a lot of adjectives to describe her character! Aside from the drama and characterization of her the shows theme is around an angel who appears to Grace he's named Earl played brilliant by Leon Rippy he's so caring and he often scolds Grace and he guides her in the right direction and Earl always makes Grace feel guilty about her sinful deeds. Yes the program pushes the envelope it's not ""Highway to Heaven"" the sex and loving making scenes are racy and raunchy showing plenty of skin really to much bump and grind for cable yet in today's modern age it passes. Also Holly Hunter flashes plenty of skin and she has been shown many times in scenes wearing sexy colored bras that makes it another reason to watch great sex appeal Holly is very sexy for a middle aged woman, and her characters accent has such a nice southern twang. Really one of the better new cable series another winner for TNT this is something an average person can relate to the drama of hard work and hard living with hope from an angel.",/review/rw1731515/?ref_=tt_urv
24 July 2007,sfbearcop,8," TNT has a winner, here
","It's obvious Ms. Hunter wanted to do this role. She's listed as one of the producers, so she either moved things forward or she's saving the production some money by taking some of her salary as back-end. I can certainly understand her desire to play Grace. Few women these days get to play tough, problem ridden cops who are struggling for some form of redemption. I guess if no one wants to write material like this for the big screen, we'll be seeing more high-value actresses on the small screen. Ms. Hunter follows Kyra Sedgwick in her series, and Glenn Close in her role on the Shield and in her new series.",/review/rw1731515/?ref_=tt_urv
30 March 2011,pontram,," The Pope may not be amused
","This was a great show with wonderful actors, mainly good story lines and smart dialogs. It has a lot of cool lines especially for main actress Holly Hunter, who is really adorable as the center of all things in the show. After some time a solo that big would become a bit dull, but luckily there are a lot of great supporting actors, first of all Leon Rippy, who gives some Kind of Oklahoma-Style Angel, a really nice invention with all his southern accent and cowboy behavior.",/review/rw1731515/?ref_=tt_urv
9 September 2013,SnoopyStyle,7," Dark, Poetic, Funny, Tough
","Grace Hanadarko (Holly Hunter) is an Oklahoma City police detective, a hopeless drunk, a slut, and a mess. She is given a chance to redeem herself by an angel named Earl (Leon Rippy). Police tech Rhetta Rodriguez (Laura San Giacomo) is her best friend.",/review/rw1731515/?ref_=tt_urv
20 April 2008,insomniac_rod,8," Great but misunderstood.
","Cheesy premise that shouldn't fool viewers. This is a really interesting, complete, intense, and sensual t.v. series.",/review/rw1731515/?ref_=tt_urv
17 September 2007,elizabuff72,10," An excellent, original show - a wild ride!
","What a cast! Holly Hunter, Leon Rippy, Laura San Giacomo, Lorraine Roussaint, etc.! Each show gets successively better as the writing gets tighter. No dumbing down here which is much appreciated. I hope this show goes on forever - seriously! Every episode is a an enexpected treat. You may not want to face some of the rougher issues the show raises about life, conscience, fear, God, and human nature. It's made me think about may past incidents in my personal life and how I chose to deal with them or chose not to. The writing is snappy and funny at times and at other times very touching. The chemistry between the cast members is palpable and every single character is original and interesting. What a true joy to know as a viewer I'm being asked to think and consider what I'm watching and make up my own mind rather than be spoon fed someone else's definition of good and evil. This is the only show I make sure I never miss!",/review/rw1731515/?ref_=tt_urv
8 June 2008,nailahjordan,8," Wonderfully Real
","I first started watching ""Saving Grace"" because of Holly Hunter. She is one of my favorite actors, and I don't miss anything she's in.",/review/rw1731515/?ref_=tt_urv
24 October 2008,michealhise,9," Smart, funny, feeling and real
","There's been a lot of talk that this show is vulgar, that Holly Hunter's character is repulsive and doesn't deserve saving. Through her constant struggles to find herself and her peace of mind after the tragic death of her sister from the OK bombings, her abuse from childhood, and a job that makes her question the common decency of human beings, Grace is portrayed in a way I think most people can relate to.",/review/rw1731515/?ref_=tt_urv
2 October 2007,mirwais-orbit,8," Amazing
","I think that Saving Grace is a part of that current successful plot (bad ass woman working to put everything in order) chosen by TNT to be massive produced and follow the success of The Closer. That's so that way that the creator and the main writer is the same for both series: Nancy Miller. But that's OK, the show stills being a little original, and that's what matters to me.",/review/rw1731515/?ref_=tt_urv
22 August 2010,someofusarebrave,9," star actress
",Holly Hunter's the best white lady actress on television.,/review/rw1731515/?ref_=tt_urv
