Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 February 2019,plargreg,1," do you like butt kissing?
",Jimmy fallon isnt fun or funny HES SO FAKE! also he was the weakest link on snl when he was there how did he get his own talk show? because on weekend update tina carried him 100% GARBAGE SHOW,/review/rw2974044/?ref_=tt_urv
1 November 2019,chiguy17,1," Just not funny
","I never understood how Fallon got the gig. When he was on SNL, he was the least talented of the cast, and couldn't even stay in character for a full skit. I've accidentally tuned into his version of the Tonight Show just because I was already watching NBC, and just shocked at how unfunny he is. The only thing I can think of is that they're going for a super young audience (which doesn't make sense in the late night crowd).",/review/rw2974044/?ref_=tt_urv
16 February 2019,plargreg,1," Jimmy isn't funny
",HOW CAN JIMMY FALLON CANCEL NORM MACDONALD WHAT A WIMP! way to defend yer fellow snl comedy roots you dork instead lets watch two b list celebrities try and make each other laugh over some lame party games instead of having an actual funny person on,/review/rw2974044/?ref_=tt_urv
26 May 2019,Sober-Friend,1," Fire Higgins and get rid of the games
",I have given this show plenty of chances to improve and it doesn't it get s worse. From the increasing annoying Steve (Greasy) Higgins and his stupid games its a chore to finish and most of the time when it goes into a commercial breaks in the 2nd half I fall asleep. If you watch the 2nd half there is a real long string of commercials. There is 5 minutes then a quick promo from Jimmy then another 5 minutes.,/review/rw2974044/?ref_=tt_urv
18 February 2015,jmcd2007,3," ""The Tonight Show"" without class
","To sum it all into perspective, I cannot stand Fallon. I tried watching a couple of episodes of his version of ""The Tonight Show"" but just couldn't go on. Carson would be rolling in his grave. Whatever class ""The Tonight Show"" once had is now gone and has been replaced by immature tomfoolery. What probably annoys me the most about Fallon is his over-emphasized laughter over the littlest things and the worshiping of his guests, which is absolutely atrocious and unnecessary. These things make him look immature, fake, and desperate for the attention and ratings. Although some of his games aren't bad, his monologues are weak...but nowhere near as bad as Letterman's, whose monologues and humor are about as dry as a desert. Anyhow, Fallon's house band, The Roots, also look like they were picked out of an alley from the 1970s. The set and furniture are bland, and so is Fallon's brand of humor. If you like toilet humor and other jokes that you'd probably hear in a middle school hallway, then this show is for you. Furthermore, if you like a ""host"" that lollygags around the set while barely giving his guests enough time to talk during an ""interview,"" then this show is for you. Many of the once great hosts of late-night have either retired or are starting to wear out their welcome. For instance, although I was glad to hear that Letterman finally decided to retire, I cringe at the fact that someone like Stephen Colbert will be taking over for him come May 2015. Kimmel isn't bad, but could be better. Late night is dead, folks, and NBC just helped put another nail in the coffin here.",/review/rw2974044/?ref_=tt_urv
8 January 2015,duraflex,3," No longer watching the TONIGHT SHOW
",Jimmy Fallon has a modicum of talent and can pull off some funny bits but hosting the 60 minute TONIGHT SHOW 5 nights a week is obviously more than he can handle. He seems like an okay guy but he's an example of The Peter Principle in play.,/review/rw2974044/?ref_=tt_urv
15 June 2017,stanheckjr,1," Steve Higgins Is Too Weird
",The Tonight Show needs an overhaul! The shows host acts like a drunk frat boy and his sidekick (Steve Higgins) is weird & not funny. Jimmy Fallan also has these stupid games he plays with his guest and they are boring to watch.,/review/rw2974044/?ref_=tt_urv
1 August 2016,ShadeofMisery,1," He would be great if he can just stop talking all the time.
","Fallon is that kind of a friend who always needs to have the last word on everything. Like, if a topic comes up he just happens to know something about it or has to say something because he wants people to know that he's so smart and worldly and funny even though his facts are wrong. He's an okay, decent human being but I don't want to be around him for ten minutes.",/review/rw2974044/?ref_=tt_urv
5 June 2015,futurechange,1," Jimmy Fallon is annoying and childish
","I use to watch Letterman just because he was calm and grown up even if boring. I find Jimmy Fallon and his false sounding,extremely worded appreciation of every guest and their talent as about untruthful as I have ever seen. Most guests look so uncomfortable. His laughter is forced and false as if him laughing will make things that are not funny magically become so to the audience. ",/review/rw2974044/?ref_=tt_urv
1 June 2014,mohancraig,1," Dumbest host ever
","Even worse than Leno, is NBC allergic to real late night comedy? Who's funny? Craig Ferguson, Jimmy Kimmel, David Letterman, Stephen Colbert... even the watered down version of Conan Obrien on TBS is still funnier than the comedy bereft Fallon.",/review/rw2974044/?ref_=tt_urv
17 June 2019,brianyru,1," So much for maturity!
","Letterman was entertainment. Fallon is an immature child. He acts like a 12 year old. He has no business trying to entertain adults. He sounds insincere, disinterested, and forced when interviewing guests. The only time that he seems genuine is when he is doing stupid immature jokes or games that aren't any better than fart jokes. He is a child.",/review/rw2974044/?ref_=tt_urv
