Review_Date,Author,Rating,Review_Title,Review,Review_Url
29 July 2019,HotToastyRag,6," Unfairly criticized
","I'll never forget reading about the making of 1492: Conquest of Paradise in my beloved biography Depardieu. Gérard, set to play Christopher Columbus in Ridley Scott's epic, studied English with a private tutor for months before filming, to try and wean him away from his famous accent. Then, during the scene when he learns of his voyage's destination, he storms through the room and declares, ""My God! We leave in two weeks!"" When you watch that scene, you'll find it hard to believe he worked so hard to take away his accent, since he sounds exactly like he always does. But, since I love him, I don't really care. To any critics, I offer the challenge to them to try and become fluent in a foreign language without any trace of an American accent, all in front of a movie camera.",/review/rw0302536/?ref_=tt_urv
18 September 2002,OttoVonB,7," On Creating Worlds
","1492 casts a long shadow over my filmgoing life. It is one of the first films I remember seeing where I started thinking of all the activity that went into making a film. My young mind did not process a lot of the plot - and in retrospect I can partly blame the makers of this film - but I did notice shots, sounds, music. Perhaps the music more than anything.",/review/rw0302536/?ref_=tt_urv
11 September 2007,mid-levels,2," Ridiculously inaccurate
","The real story of Columbus is an adventure story with plenty of plot twists and interesting characters. So there was no need to fabricate history in this film. We have Columbus' journals that tell us what happened when he landed in the new world and the events that followed. This film set an agenda to make Columbus out to be a visionary who against the odds made good and the only problem was that everyone else didn't have his insight. Ridiculous! Columbus did something quite amazing in sailing to the new world but that doesn't mean that he didn't have serious flaws. For one, in the film he speaks about a ""New World"" but Columbus died believing he actually had found a passage to Asia so for him there was nothing new about it. The first encounter with the natives is also ridiculous in the film. In Columbus' journal we see that naked villagers came out onto the beach and that Columbus claimed the land for Spain and then took out his sword and tested the natives' knowledge of weapons. They had none and Columbus actually cut them. In the movie, Columbus is just walking through the jungle and he is approached by hostile natives ready to fire their arrows at him. He tells his men who are about to open fire to stop and that they must act peacefully. So Columbus becomes the peacemaker when in reality the natives were peaceful and he drew his sword on them. There are tons of these moments in the movie that make this movie a joke in terms of history. If directors are going to use real historical figures they need to represent them accurately. If they want to imagine or reimagine the colonial experience then they should use fictional characters.",/review/rw0302536/?ref_=tt_urv
10 October 2019,arthur_tafero,6," Better Than Average Epic - 1492: Conquest of Paradise
","This film is not completely historically accurate, although it is fairly true to events. Some omissions are Columbus' mistress by which he had a second son, which is not even mentioned in the film, which tends to paint Columbus almost as a saintly figure. He was far from that. In addition to his infidelity, he was an advocate of Indian slavery, which is not mentioned in the film as well. Those miscues aside, the film is gorgeously shot, well-directed and acted, and the sense of the realities of the royal court appear to be fairly accurate. The film also fails to mention that Columbus took Indian prisoners away from their homes back to Spain against their will. The film is quite engaging, otherwise.",/review/rw0302536/?ref_=tt_urv
8 February 2017,filipemanuelneto,4," Historically inaccurate, despite the cinematographic grandeur.
","This film seeks to show the journey in which Christopher Columbus allegedly discovered America. About this there is a lot of historical controversy and its very difficult to be sure if the true discoverer was him, Amerigo Vespucci or the Portuguese João Vaz Corte-Real (who seems to have explored the Canadian coast twenty years before Columbus's voyage). There are also doubts about the origins of Columbus. Some think he was Castilian and not Italian, others think he was from Sardinia, others claim that he was born in Portugal. But the film does not explore these controversies, remaining faithful to the canonical version of the facts: a Genoese navigator who discovers America to Castile. But even so the film makes mistakes. Columbus was an adventurer and not a man in search of a dream, and the Castilian kings only allowed themselves to finance him because they had information that already had given as probable the existence of new lands in the region that Columbus wanted to explore. Thus, the navigator died believing that he had arrived in Asia and only later navigation's determined to be a new continent. Everything I've said here throws out some ideas of the film and proves that the writer made a serious mistake by completely ignoring the navigator's travel diaries and basic facts of his biography, not restraining himself from inventing when he pleased, under the argument of creative freedom that, even in a movie, should not justify all that the screenwriter invents. Okay, it's a movie and not a documentary, but if it's a historical fact there should still be some rigor in the way it's portrayed. The interpretation of Depardieu is not bad, but the accent was something that he messed up a bit. The way the Indians were portrayed also seems incorrect and stereotyped. Even so, the film is worth it because its cinematically beautiful, has almost epic scenes and depicts very well the effort and daring of those who ventured across the seas. One thing I cannot fail to point out: the extraordinary soundtrack of Vangelis, which has become an icon of music for cinema.",/review/rw0302536/?ref_=tt_urv
20 August 2011,hitchcockthelegend,6," ""Life has more imagination than we carry in our dreams.""
","1492: Conquest of Paradise is directed by Ridley Scott and written by Roselyne Bosch. It stars Gerard Depardieu, Armand Assante, Fernando Rey, Sigourney Weaver, Michael Wincott and Tcheky Karyo. Music is scored by Vangelis and cinematography by Adrian Biddle. ",/review/rw0302536/?ref_=tt_urv
4 February 2020,davidmvining,7," A visionary struggles to make the vision a reality
","This would make a really interesting lower half of a double bill with Terrence Malick's The New World. They're pretty explicitly about the same theme, finding paradise on Earth only for it to slip through the characters' fingers as they reach out to reclaim it, but the idea is approached very differently across the two films. The New World is the poetic version, and 1492: Conquest of Paradise is the more literal minded (but still visually sumptuous) take by Ridley Scott. It's not nearly as successful as The New World, but I do think there's quite a bit to like in Scott's take on Christopher Columbus.",/review/rw0302536/?ref_=tt_urv
17 August 2021,jack_o_hasanov_imdb,7," Vangelis did a great job
",One of the most important events in the world.,/review/rw0302536/?ref_=tt_urv
27 November 2005,damienmuldoon,10," probably my favourite movie ever
","In 1992, the 500th anniversary of Columbus's arrival in the New World was marked with a deluge of movies, documentaries and T.V. dramas. Not only is this the best of those commemorative re-tellings, it is also a lesson in how good historical movies should be made. Ridley Scott's direction and Gerard Depardu's leading performance gives us a genuine feeling of what must have faced Columbus and his crew as they set off on a voyage that, in their time, was more dangerous than space travel. This movie does more than tell their story however. It recreates an epoch in a way that few other historical dramas ever have. Fifteenth century Spain is every bit as vivid as the unchartered jungles of Latin America. And it is a testament to Scott's skill as a director that he beautifully contrasts the splendor of Queen Isabella's court with the insect infested, monsoon ridden ""New World"". And yet we also see that while the hand of civilization has made Isabella's Spain so resplendent, it has also tainted it with corruption. No such corruption exists in the virgin forests of San Slavador. Not until the European's arrive that is.",/review/rw0302536/?ref_=tt_urv
16 October 2005,dentonsfarm,10," The Best Columbus Film Ever Made
","Ridley Scott's masterpiece, 1492: A Conquest of Paradise, is a visually compelling film and well acted. Those who gave low viewer ratings in the viewer comments obviously do not see the beauty of epic films. Epics are supposed to be kind of lengthy. It is, to me, the best depiction of Columbus I have ever seen. True, the lead actor is a Frenchman, but if you set that aside you can see that he looks and acts like what one would picture Columbus to be. Durring the sailing scenes it almost made you feel as though you were sailing along with Columbus. I think that the people who are down on the historical accuracies and ""inaccuracies"" of this film do not cease to realize that Columbus was out for more than spices from India but also a conquest to spread the Gospel to the people of the Far East. The other inaccuracies of the film have only been brought to light years after the films release. They discovered that Columbus was probably not from Genova.",/review/rw0302536/?ref_=tt_urv
