Review_Date,Author,Rating,Review_Title,Review,Review_Url
27 April 2018,heibeinh,10," Brilliant
","This is an absolutely brilliant series with superb acting! We are fans of British crime shows & are ecstatic that there will be a season 3. I have been a Nicola Walker fan since MI5, and to see how she has perfected her craft is quite amazing. Bravo!",/review/rw6757696/?ref_=tt_urv
3 November 2015,jonnithomas,9," This is really very well watching. It's captivating
","yes, it's a murder and a 'whodunit' but it is so much more than that.",/review/rw6757696/?ref_=tt_urv
15 October 2015,ianlouisiana,10," Nice and easy does it......
","There are two ways the first episode of a new cop show can go. Bull at a gate - like the excellent ""No Offence"" or nice and easy. ""Unforgotten"" goes the second route.Introducing the characters,apparently disparate but clearly in some way connected.Then providing the catalyst - in this case the body of a young man murdered over thirty five years ago that sparks the action. The excellent Miss N.Walker is the CID officer who decides to investigate this cold case and her team quickly discovers the identity of the victim thanks to a car key found with the body. This is for a hand - made sports model which they eventually track down to a scrap yard.The car looks suspiciously like an MGB roadster to me but I guess you could hardly expect the BBC to custom build one just to scrap it. The police find a diary in the car and the story is off and running at just the right stage - the end of the first episode. Interestingly we know more about the suspects' personal lives that we do about the detective's.She is living with that nice Mr P Egan;and that's about it so far. Contrastingly we know Mr T.Courtenay is wheelchair - bound with a wife suffering from Dementia and Mr T Eve is a menacing figure(what else?) with a dodgy past. There is a nice middle - aged couple whose son tragically died that are so lovely they must be guilty of something by the first rule of TV cop shows. All these people are about to have their lives blown apart as the redoubtable Miss Walker investigates. I shall look forward to seeing what she finds out about them and what we find out about her.",/review/rw6757696/?ref_=tt_urv
30 October 2015,gmorgan51-158-682165,9," Touching and honest
","I am really blown away by this series. The writing is excellent, and, as a lover of mysteries, the plot is riveting. Each episode builds on the previous episode. The chronology of events and the characters make sense. Notwithstanding dramatic license, the people seem real, with strengths and weaknesses we can all recognize and relate to. The acting is phenomenal.",/review/rw6757696/?ref_=tt_urv
2 May 2018,thegulls1,9," Nicola Walker rocks!
","We enjoyed Ms. Walker in Spooks (Mi5) and River. She seems ageless. In some of her roles, she look like your aunt, while sometimes being very pretty (I mean that in a good way). In this entry, she leads a homicide team checking out, in the first two seasons, 2 separate cold cases. We get to know Nicola's character, and most others quite well (a Hallmark of Brit cinema).",/review/rw6757696/?ref_=tt_urv
13 November 2015,Tweekums,9," A very different murder mystery
",When a body is discovered in the basement of a building that is being demolished the police are called in. Investigators DCI Cassie Stuart and DS Sunil 'Sunny' Khan are initially unsure if the case is worth investigating as they have no idea how old the body is and no obvious way of identifying it. The only clue is a rusting car key amazingly this leads to the car which leads to the identity of the victim and a book containing a list of names. The body belonged to a young black man who went missing in the seventies and the names belong to a variety of people; all of whose lives are about to be thrown into turmoil along with the lives of those around them.,/review/rw6757696/?ref_=tt_urv
30 March 2021,nezbitkn2,8," Slow burning drama. Excellent.
",Wow. What a few years I've enjoyed watching this series. I guess after the last episode we won't be seeing Unforgotten again. Very sad ending and had me choke up a little. Did feel a tad rushed but still had the desired effect on fans of the show. Shame it has to end. Will miss it. Meh.,/review/rw6757696/?ref_=tt_urv
21 August 2018,FIoret,9," Nicola Walker is a gift
",Excellent series but it wouldnt be the same without Nicola Walker. Her compassion and sympathy isnt just seen its felt. Each season gets better and better.,/review/rw6757696/?ref_=tt_urv
1 October 2017,Sleepin_Dragon,9," Unforgotten, literally.
","Unforgotten has really struck a chord with me, as a huge fan of Waking the Dead, the cold crime genre has had a void for several years. This show has more then filled the void, the stories are very well written and engaging. Production values are particularly strong, even more so in the second series. Nicola Walker and Sanjeev Bhaskar make for a great duo, her character has a great back story, Peter Egan is delightful as her father. More is needed from Sunny, his character is still a little undiscovered. Superb performances throughout, notably Tom Courtenay and Ruth sheen from the first series, and Mark Bonnar from the second. Six part runs somehow seem so short for this great show, but Nicola Walker seems in huge demand. Unforgotten manages to be engaging, mentally and emotional, I trigging enough to keep you guessing, and paced in such a way that you don't lose any interest. This is a great show. 9/10",/review/rw6757696/?ref_=tt_urv
30 March 2021,SunnyDaise,8," Different cop series
","Because of personal experiences, I usually avoid brutal/graphic shows and movies, but Unforgotten handles these issues better than most so I always watch. Exploring just one case per season works well. It's such a multi-faceted show, covering a much wider range of topics and isn't stereotypical, so comes across more realistically to me. If you want something similar but real-life, watch The Pembrokeshire Murders.",/review/rw6757696/?ref_=tt_urv
