Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 March 2007,michaelRokeefe,7," On the racetrack, he has all the right moves.
","A very good Tom Cruise action flick; and talk about action...he has the right moves on and off the track. Cruise plays Cole Trickle, an arrogant hotshot with minimum experience driving a stock car, but an uncanny ability to hold his own on the track. He impresses a two-faced Randy Quaid enough to get a car and veteran driver Robert Duvall to build it. Trickle enters a rivalry with the top driver(Michael Rooker), but tragedy introduces him to self-discovery and a beautiful neurosurgeon(Nicole Kidman). Trickle takes on the toughest odds and becomes an even better driver. Also in the cast: Cary Elwes, Fred Dalton Thompson and John C. Reilly. The racing scenes will bring back that feeling evoked by TOP GUN. A hard thumping soundtrack features the likes of: Joan Jett, Elton John, Chicago, Tina Turner and Maria McKee. And yes, it is hard not to notice the Cruise/Kidman chemistry.",/review/rw4067441/?ref_=tt_urv
26 July 2015,Quinoa1984,6," some good Towne-script moments and a superb cast, but...
","Yeah, Top Gun is the one that made all the very BIG bucks back in 1986 and put Tony Scott and Tom Cruise on the map in bigger ways then they had been before (not to mention producers Don Simpson and Jerry Bruckheimer), but somehow, much as with De Palma/Pacino with Scarface and Carlito's Way, the follow-up seemed to probably be the actual better film of the two. Does this mean that Days of Thunder, following the travails of an up-and-comer racecar star (Cruise), is a really good movie? Well, in some ways yes, and in other ways not so much.",/review/rw4067441/?ref_=tt_urv
12 February 2007,LuboLarsson,6," I feel the need, the need for Speed
","The producers, director and star of Top Gun get together again for this above average racing drama. Its nowhere near as good as Top Gun of course but its no disaster. Tom Cruise is good as the daftly named racing driver Cole Trickle and the ever reliable Robert Duvall offers classy support. Michael Rooker is excellent as Toms rival and Randy Quaid shows a more serious side to those who only know him from the Vacation movies. Surprisingly the usually good Nicole Kidman is rather bland as the love interest although to be fair she's not given a heck of a lot to work with. The music is of course all important in a movie like this and it has a pretty good soundtrack including Maria McKee's Number One hit Show Me Heaven, but again Top Gun had a much better soundtrack with Hans Zimmmer no match for Harold Faltermeyer. Tony Scott directs with his usual style, if you have seen Top Gun or Beverly Hills Cop 2 you'll no what to expect, very flashy and VERY LOUD. With a slightly less predictable story this could have been a lot better but as it is its a pretty enjoyable way to pass a couple of hours.",/review/rw4067441/?ref_=tt_urv
7 September 1998,Bryan-15,7," Cruise goes with what works
",This movie is basically paying homage to Top Gun.  The same team that made that movie a success got together to create another pumped up movie. ,/review/rw4067441/?ref_=tt_urv
6 January 2008,bkoganbing,8," The Need For More Speed
","If I had to guess the genesis for Days of Thunder had its place in two areas. First the fact that Top Gun proved to be such a mega-hit for Tom Cruise that a similar film was almost dictated to be made by Paramount. But secondly it was reported that on the set of The Color of Money, co-star Paul Newman got Cruise interested in auto racing so you put those two things together, Days of Thunder was almost a film that had to be made.",/review/rw4067441/?ref_=tt_urv
25 January 2002,obidiah182,," Feels like a Sunday afternoon
",-SMALL SPOILERS-,/review/rw4067441/?ref_=tt_urv
2 November 1999,MrKearns-2,8," Say what you will, but this is a great movie for guys.
","Regardless of your opinion of NASCAR racing, this is an incredibly fun movie for guys.",/review/rw4067441/?ref_=tt_urv
24 March 2009,barundash_123,7," Cruise Blasts as Cole Trickle
","Tom Cruise cruises like thunder as Cole Trickle in Jerry Bruckheimer's, Days of Thunder. Cole Trickle, a name that became an icon, an inspiration and a hero for auto racing drivers way back in early 90's. An enthralling and roller coaster ride jammed with high octane racing action, enough to blast you off the seat. Days of Thunder gave birth to the sparkling chemistry between once upon a time two of the most memorable on-screen and off-screen couples Tom Cruise and Nicole Kidman.",/review/rw4067441/?ref_=tt_urv
16 September 2007,ccthemovieman-1,6," 'Top Gun' Tom On The Ground
","Boy, Tom Cruise had that obnoxious character down pat for quite some time, didn't he? Here is yet another film in which he plays that type of annoying character you want to slap in the face (or something else). Yeah, if you liked Top Gun and his other ""pretty-boy"" films of this period - and some were pretty good, actually - you might like this. In fact, this film might be more popular now since NASCAR is televised so much more these days. This movie may get a new audience. Frankly, I could care less about auto racing, back then and now, but I don't hate it, I love most other sports and I like a good movie. This was only fair in all categories. Not bad; not good.",/review/rw4067441/?ref_=tt_urv
1 October 2018,Leofwine_draca,5," Slick but shallow
","DAYS OF THUNDER is a typically slick car racing thriller from Tony Scott, the kind of film which looks flashy and expensive but has little actual depth or insight into the sport or those who participate as it. It's one of those films starring a youthful Tom Cruise whom the camera loves so much that he positively radiates throughout. He's also a little too good to be true. The film mainly charts the rivalry between Cruise and a rival driver (the great Michael Rooker), but that kind of situation was done more realistically in the likes of RUSH. The car scenes are appropriately shot and Scott knows how to make the chrome look good. Cast-wise, Robert Duvall does well as the spiky manager, but Nicola Kidman is way out of her depth as the unnecessary love interest.",/review/rw4067441/?ref_=tt_urv
