Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 August 2022,Sleepin_Dragon,7," It's a good, action packed film.
","Having been refused several times for The Army, Steve Rogers is finally successful, once there he takes part in a project and becomes Captain America.",/review/rw2462773/?ref_=tt_urv
29 July 2011,DICK STEEL,," A Nutshell Review: Captain America: The First Avenger
","Essentially an origin story, this was exactly how I remembered reading the Captain America comic books when I was younger, mostly sticking around how the sickly Steve Rogers (a CG- ed Chris Evans) became the beefcake he was through a top secret military experiment, and his constant battles with his arch nemesis standing for all things Axis powered personified by the Red Skull, played to perfection by Hugo Weaving with a German accented voice as the Johann Schmidt version. At its heart it's a clear cut battle between good and evil, although in this Marvel augmented reality, Evil is aided by the powers of the Cosmic Cube and the megalomaniacal ambitions of Red Skull and his Hydra shock troops, threatening to conquer the globe unless someone can do something about it.",/review/rw2462773/?ref_=tt_urv
23 July 2020,reddiemurf81,8," 6.9?!? 8.5 all the way at the very least!!!
","At the time it came out, this was my favorite MCU film. I don't know how this one could've been done much better.",/review/rw2462773/?ref_=tt_urv
27 July 2011,pyrocitor,9," ""I've knocked out Adolf Hitler over 200 times.""
","Considering how fundamentally 'safe' the superhero action film has become in terms of box office and reasonable standards of entertainment, selling Captain America, age-old icon of American propaganda on cinema screens in cynical and economically unstable times could hardly have been a more difficult endeavor – tellingly, the film was marketed simply as The First Avenger in Russia, the Ukraine and South Korea. Indeed, skepticism and uncertainty have riddled the development of the project, which was first pitched as a Jon Favreau ""action comedy"" and later as a brutal, gritty, self-critical postmodern war epic. Such tonal fluctuation mirroring the social/political climate demonstrated that having a successful film with such a politically entwined protagonist, was anything but 'safe' – it's hard to imagine Peter Parker being subjected to the scrutiny of ""military propaganda"" or ""patriotic cheese"" that beset Steve Rogers. ",/review/rw2462773/?ref_=tt_urv
22 February 2020,MR-ODIN,," The First Avenger
","It wasn't that bad of a movie, but undoubtedly it had a few flaws in terms of screenplay. The story itself was fine, and I'm personally a big fan of Captain America's origin story so this movie was a nice watch for me. Maybe not so much if you don't care at all about superheroes such as CA.",/review/rw2462773/?ref_=tt_urv
22 March 2018,nogodnomasters,9," Do you fondue?
","The movie starts at its WWII origins. Chris Evans plays Steve Rogers a puny 4F man who has lied his way into a military science experiment. Tommy Lee Jones plays an excellent Colonel. Meanwhile evil Nazi Hugo Weaving believing he is Darth Maul, has his own plans for world conquest using sharks with frickin' laser beams. (Just kidding about the sharks.) Rogers is a 90 pound weakling who displays intellect, courage, and guts. He is selected for the military's secret program and is transformed into a muscular super hero. The special effects were very good, although we do know from ""Last Action Hero"" you can't really jump around car roofs. After Rogers is transformed he becomes Captain America to be used as a recruiting tool, as Tommy Lee still has his doubts about the 90 pound weakling.",/review/rw2462773/?ref_=tt_urv
8 August 2011,Al_The_Strange,8," ""A weak man knows the value of strength.""
","With the imminent ""Avengers"" movie coming next year, only one hero's origin story remains untolduntil now. Falling in line with ""Thor,"" ""Iron Man,"" and ""The Incredible Hulk,"" ""Captain America"" showcases the rise of Steve Rogers as the title character. Unlike the other films, which take place in modern times, this one goes way back to WWII, showing the Captain kicking Nazi butt! With a lot of ""Wolfenstein"" style occult mystique and a slight ""Indiana Jones"" sense of adventure, this movie has a number of solid action sequences, and plenty of imaginative special effects and setpieces. With its references to various characters and concepts of other Mavel movies, it fits into the franchise really well. It might take some stretch of the imagination to believe that Nazis could be this futuristic, but for a superhero movie, it's all good fun.",/review/rw2462773/?ref_=tt_urv
28 July 2011,ThomasMagnumPI,," THE best big budget movie of 2011
","All too infrequently, a much hyped blockbuster hits the mark right on the spot. Captain America First Avenger is such a movie. It's the best big budget movie that I've seen this year. It hits a high standard of excellence by combining a cool plot, breathtaking action sequences, a heavy dose of self discovery and realization, charisma, a dash of patriotism, love and puts it all together in one amazing package. This movie will surprise a lot of people with its heart while sacrificing none of the fun. The inner turmoil worked well, the beautiful thing is that we can relate to each character, especially that of underdog Steve Rogers. His never say die attitude and heart of a champion makes this hero more interesting then most. Captain America delivers on every level and does so with great emotional moments and it's a movie that lives up to all the hype it has generated.",/review/rw2462773/?ref_=tt_urv
6 April 2021,andreascaloni,8," VERY GOOD ORIGIN STORY
","During World War II, Steve Rogers, a frail man, is transformed into the super-soldier Captain America and must stop the Red Skull from using the Tesseract as an energy source for world domination. There is a plenty of good performances and pulpy action sequences. The movie has a very good CGI and a beautiful origin story. Captain America The First Avenger is an entertaining ride that doesn't take any significant and creative risks.",/review/rw2462773/?ref_=tt_urv
4 August 2011,webspinner128,," A Super-hero Rightly Interpreted for the Big Screen
","Like many comic-book fans I was expecting the worst from this movie. This is not because the character has any less depth than other super-heroes, but I knew that it would be extremely difficult to transition Steve Rogers to film in a serviceable way. The guy is called ""Captain America"" for heaven's sake.",/review/rw2462773/?ref_=tt_urv
