Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 September 2021,joachimokeefe,8," Mad Woman
","An intense, entertaining, nostalgic-comic epic, like Mad Men with a knowing wink or five to the people who remember exercise videos, Mercedes 123s and no internet.",/review/rw7299657/?ref_=tt_urv
19 June 2021,Acid_Reflex,8," Can't believe the low rating!
",I can't believe this has such a low imdb rating. I watched the first 3 episodes and am hooked. It's dark and twisted just enough so far. Hope it stays this good and earns a 2nd season.,/review/rw7299657/?ref_=tt_urv
10 July 2022,GoalDigs,," Amazing
","A couple of months ago, after 10 minutes of watching I turned it off as I was expecting something different. Last night, I wanted different and oh my word, this is brilliant!! I binge watched season one in one go and then season two.",/review/rw7299657/?ref_=tt_urv
1 November 2021,rolbyh2002,8," Something Different & Original
","Rose Byrne rocks. Is her character totally likeable? Maybe not initially, but you grow to love her as you come to understand that she struggles deeply with self-loathing and body image issues, and she feels stuck in her life. She's the woman who's smarter than the men in the room, but she doesn't have a place in the board room. A feminist tale that doesn't try to be sweet or inspiring, but somehow ends up being inspiring despite it's dark edge. Dramedy. Darkly funny but also serious.",/review/rw7299657/?ref_=tt_urv
19 June 2021,Opinate,8," Loving this original new series.
","It captures the heart of being a woman in the eighties so well. Split a dozen ways, trying to keep your head above water as you fulfill everyone else's needs. If only you are thin and pretty enough you will be happy. Nailed it. Byrne's character even has a bit of the snarky feminist attitude leftover from the seventies.",/review/rw7299657/?ref_=tt_urv
5 August 2021,kimkdg,9," Terribly misrepresenting trailer
","Whoever did the trailer and write up for this one scared a lot of people off-I almost didn't watch-it's really not about a woman making an exercise video or finding herself through exercise.....it's a dark and hard look at bulimia, the role/portrayal/treatment of women in the 80s, and abusive relationships. Rose Byrne and Deidre Friel are particularly excellent in this! Edgy and unexpected, a great watch.",/review/rw7299657/?ref_=tt_urv
20 June 2021,gabriella-71231,10," Freaking love it!
",Totally get it. If you're in this generation you'll definitely get it. Fan of Rose Byrne!,/review/rw7299657/?ref_=tt_urv
24 June 2021,jaimemedina-36288,8," New guilty pleasure
","Love everything about this show. The internal dialogue is dark, cutting, and hilarious. The 80's setting adds to the comedy and brings a note of nostalgia for those of us who loved it. Obsession, addiction, sex, and delusion are all in the menu.",/review/rw7299657/?ref_=tt_urv
19 June 2021,Russoguru,," Rose Byrne is once again, outstanding.
","Rose Byrne isn't just a great actress, she's also sexy as all hell and somehow pulls off the whole ""almost Jennifer Beals"" look in this charming and fun snapshot of my favorite decade. I'm serious, I love Rose Byrne, and she can ""get it"", as the young people say.",/review/rw7299657/?ref_=tt_urv
23 July 2021,Dragonborn64,8," Go for the Byrne
","I've liked Physical from the get go but I can't lie - at points I thought - what is this about? Rose Byrne as always is great as Sheila, a bulimic, self hating (with inner voice to prove it) lost soul in the early 80s. Her loving but deluded husband loses his job snd decides to run for office and she discovers aerobics and her own lack of morality. There's almost a Breaking Bad type of theme. Throughout the supporting characters are angry, unfulfilled women and selfish, childish men - with the exception of maybe Lou Taylor Pucci ( great name) For women to get things done, it often takes a lot of scheming to keep away the prying, critical make eye. All the women begin to discover their own strengths. Anyway, I ramble but it's very good. One of the better streaming offers of late IMHO.",/review/rw7299657/?ref_=tt_urv
