Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 November 2019,theenigma129,10," This was ok.
","I have a confession to make and please don't get me wrong when I say this. The only reason I watch this show is the same reason why I watch victorious in the first place: ariana grande and no one else. I still love cat, she's my most favorites (besides the other characters ariana did after Sam & cat) even though in the later seasons of her first show and coming onto this spinoff show, looks as if cat got way too high and scrambled from all the anti-bipolar meds she's been taken. But still love cat. I was very upset and mad that the show got cancelled on when cat has gone to jail for a week. Still happy that ariana loves & misses being on nickelodeon and I wish she can come back someday soon.",/review/rw2870780/?ref_=tt_urv
25 August 2021,AnnaPagrati,9," Love it!
",This show is honestly one of the most nostalgic shows there is for me!,/review/rw2870780/?ref_=tt_urv
1 July 2018,elizabeth-12994,7," Great
","It isn't as good as some other TV shows and if I'm honest, not every episode is great. Most are though. It is rather comical but when you look at the other two TV shows that kind of brings this one together, victorious and icarly, this one isn't as good. It is still funny and for everyone, even though it is aimed at younger audiences. It is definitely worth giving it a chance.",/review/rw2870780/?ref_=tt_urv
9 June 2013,NewOCFan,10," After watching the pilot
","Sam & Cat has gotten off to a good start. There were a couple of sweet moments and both came from Sam and Cat each. Sam is less of that girl that's getting into trouble with the law and a little more in trouble with the kids she and Cat will have to babysit. Towards the end of iCarly, after she and Freddie broke up and was suggested by him to be a little more normal, she's shown to take his advice and there are a few moments where it shows she's getting better as a person but without going 180 to the point where you don't know who this chick is that says she's Sam Puckett. I'm not sure how much Cat's going to develop as a character but considering this WAS originally going to be Jennette McCurdy's show (who is rising to fame gradually due to so much of the work she's done), I feel this show can definitely be watched for Sam. Granted, she's not the best with kids either. iCarly was proof of that in one episode (before the Seddie arc). What happens throughout the show I see will be due to how Sam and Cat are with their personalities or because the kids themselves are out of control. Considering Cat's Nona wanted to move to an elderly home after her last babysitting job, you can really see why babysitting these kids would be crazy, even for Sam & Cat. Towards the very end of the first episode do they actually babysit the kids that were visiting after saving a man's life. And even as a fan, I do admit how they saved him is pretty odd but then again, maybe they were still performing ""C-3P0"" as Cat said they should and weren't doing CPR like they thought. But the thing is, to not take what happens on the show so seriously. If Sam & Cat were amazing babysitters already, the show wouldn't be the same. It'd be boring actually, not even close to a comedy then. At this point, I have yet to see how good the character Dice is and Nona seems like a sweetheart and I'm glad she's apart of the show. The good part about the show is Sam and Cat, having already been loved in their respective shows and being wished by fans to have their own show, get to shine more as characters, as well as the actors. Unfortunately I've never seen Ariana Grande play another character. Interesting fact is she was on Broadway before television. Jennette McCurdy has had praise for her acting since she was really little, BEFORE iCarly so to see a show of hers (that was originally just hers) where she gets to be the star is a real treat to me. There's going to be a lot of crazy stories/episodes. And I mean crazy for sure. It's definitely far better than most of what's on Nickelodeon now, to me. Really, you'd have to see the first few episodes of the show yourself. With Dan Schneider's shows you see development in characters over time, and it may even be not so noticeable especially if you're really biased towards a show or the character. Kids and Ariana fans may really enjoy Cat, and Sam maybe watched by anyone who may not be fond of Cat's voice. There's nothing really to complain about with this show. It's not like some show I'm thinking of. It had a good beginning, building up the sweet friendship between Sam and Cat already (this is why I'm watching aside from the humour). Sam and Cat and their friendship are why I'll love this show.",/review/rw2870780/?ref_=tt_urv
6 March 2020,danieln-15525,," Brilliant and underrated
","Where to start? That's one of the best Dan Schneider's shows on Nick. Not many truly understand how brilliant this show is. Brilliant script and funny & creative writing. A homeless, Herb, who claims he is rich. A restaurant where the waiters are robots, Talented child-actors in almost every episode. And the unbelievable ending. BEST ending for children television. You CANNOT realize how absolutely brilliant this show is. Just watch it. :)",/review/rw2870780/?ref_=tt_urv
9 June 2013,j-jessie-weaver,10," Better Than I Expected it to Be
","I just saw the premiere of ""Sam and Cat"" last night, and when I saw the trailers and previews for it before it came out, I was afraid it was going to be as horrible as the disgrace to comedy that is ""Victorious."" I was really wrong. From what I saw in the pilot episode, ""Sam and Cat"" didn't disappoint me at all. This show is very funny with the most adorable moments. Jennette McCurdy shines again as Sam Puckett, Carly Shay's best friend, only this time, she meets Cat Valentine and they become roommates, while starting a babysitting service in Cat's grandmother's home in L.A.",/review/rw2870780/?ref_=tt_urv
8 April 2014,maxwelltron25,9," Great, but not perfect.
","Sam and Cat is an amazing show. Why? First of all, what is it about? Sam from iCarly and Cat from Victorious meeting each other, becoming roommates and starting a babysitting service. And why is this funny? Their personalities are so different, that they always bounce around and get tied in a knot of humor. The plot never gets old (okay, maybe SOMETIMES), and the kids they babysit are hilarious. But there are some bad things. Sometimes, the kids they babysit can be very annoying and naughty. Secondly, Cat's voice sometimes makes me want to never hear anything again. Yet that barely happens. Go on, watch, enjoy, and bring on season 2, Nick! Please note that this is just an opinion, so it's okay if you like it or not. I give it a 9/10.",/review/rw2870780/?ref_=tt_urv
9 July 2013,hblovesclemson,4," A weak Nickelodeon show through and through
","There are a few reasons why this double-spin off is a total miss: First of all, both Sam (from iCarly) and Cat (from Victorious) were foil characters on their respective shows, with the funny weird stuff to offset the more well-defined, balanced characters. Here we have two comic relief characters and no one to offset them. Look at 'Friends': The ill-advised spin off, 'Joey', was an absolute train wreck, because Joey as a character was not strong enough to occupy an entire show. Sam and Cat are just not strong enough as separates or together in this same way. Both Victorious and iCarly also had strong premises, whereas the premise of Sam & Cat is extremely weak. They're living together and they've started a baby-sitting service. That's pretty much it. There are a few throw-in characters, like a little black market-dealing kid, but none of them add anything to the already weak concept. Nickelodeon was grasping at straws trying to come up with a reason why these two girls would live together and what they would do. My biggest complaint, however, is that when you take Sam away from the iCarly cast and Cat from the Victorious cast, their characters are basically just annoying. Putting them together doesn't help anything. Sam is just a really bad person all the way around, and Cat is borderline mentally retarded. To sum it up, going from iCarly and Victorious, this is a huge step down from both. Not nearly as funny, or interesting, or relatable in any way shape or form.",/review/rw2870780/?ref_=tt_urv
19 December 2020,alexacaleigh,1," Seriously?
","My 6yrs old daughter watched it, she likes it and laughs all the time. But the hell ariannas voice its really annoying! Does it comes with her character ? Making her voice sounds awful when she talks? I cannot stand hearing it so I told my daughter to use her headphone and forbid her to watch it",/review/rw2870780/?ref_=tt_urv
9 June 2013,jagsports01,10," MUCH better than I had expected!
","For all of the haters, you are probably adults rating a TV show which is not fair. ",/review/rw2870780/?ref_=tt_urv
