Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 December 2018,cricketbat,7," I'm not smart enough to fully understand it.
","I appreciate that The Big Short tries to dumb down the housing crisis of 2008, but, apparently, I'm still not smart enough to fully understand it. A lot of this movie went over my head, but I grasped the generalities and it kept me entertained, so I applaud it for that. This film also featured some great performances by the cast, who lose themselves in their respective roles. This movie is a downer, but it's an educational downer.",/review/rw3355614/?ref_=tt_urv
17 September 2018,TheLittleSongbird,8," Betting against corruption
","'The Big Short' fascinated me into seeing it without hesitation, had always wanted to see it but it took me a while to get a chance to do so. Have a lot of respect for any film that takes on complex serious subjects that absolutely should be portrayed and the talented cast. While the awards attention (particularly for the script) and critical acclaim (almost universal) interested me further. Plus it looked good. ",/review/rw3355614/?ref_=tt_urv
24 December 2015,A_Different_Drummer,9," Two-Sided Look at a Great Film
","First for newbies, the events here took place prior to the Kevin Spacey film Margin Call (2011). So the Spacey film would have depicted events near the end of this film. Both are superb movies.",/review/rw3355614/?ref_=tt_urv
24 April 2016,Hitchcoc,9," So Much Greed/So Little Compassion
","I have to admit that I don't understand all the intricacies of the bond markets that were being manipulated here. Whether one is a Wall Street maven or not isn't the issue. The fact is that people sold mortgages to others who had no business getting into them. I recall a 60 Minutes report on the bubble before the crash took place. The expert had them drive through a desert area, filled with enormous houses, all of which were in default. If one looked in the windows of these, you could see that some of the tenants had stripped all kinds of fixtures and walked away. There were two types of buyers, it seemed. Those that were trying for the fast buck and those that really had no clue what they were getting into. The balloon mortgages took them from affordable to bankruptcy. This was unsustainable and it wasn't long before the banks found themselves with armloads of houses and buyers with hopeless debt. The guys in the movie are aware, but, for the most part, aren't all that sympathetic to these foibles. They go in to make money and they manage to do it. The whole thing that overrides this entire film is that all the evidence was right there, but the greed of most of the parties supersedes all of that. I thought this was a fine movie with a superb lesson. To the new generation. You may not be entitled to have whatever you want without paying your dues.",/review/rw3355614/?ref_=tt_urv
17 December 2018,Prismark10,10," Too big to fail
",The Big Short is simply an outstanding film. I wanted to go to the top of a cliff and shout that good intelligent films were still being made. The trouble is it is a long drive for me before I can get to a nice cliff.,/review/rw3355614/?ref_=tt_urv
21 September 2016,planktonrules,8," Good...but best to be watched with an economics professor.
","""The Big Short"" is a good film but also a film that would be tough for the average viewer to enjoy and understand. This is because although the housing bubble's burst was a mess and destroyed a lot of peoples' lives, few folks really understand it. Sure, folks know that the banks were foolish as were home buyers (since they couldn't possibly afford these homes)....but that's about as far as their understanding goes. And, with the film tossing around all sorts of insider jargon, it's sure to confuse more than entertain.",/review/rw3355614/?ref_=tt_urv
28 December 2015,texshelters,9," ""The Big Short"" is educational, relevant and entertaining.
","Nothing Small about ""The Big Short""",/review/rw3355614/?ref_=tt_urv
29 December 2015,StevePulaski,8," A delightful merging of information and comedy
","No subject in the world is inherently interesting or uninteresting, for it's always about the communicative method or channel used to promote or inform one about the subject that is either interesting or not. Having said that, some subjects are more alienating than others, and one of those subjects is economics/finance, largely because of its dependency upon a plethora of terminology and jargon that usually cannot be adequately defined without including other terminology or jargon. Before you know it, searching the definition of something like a ""Roth IRA"" leads you to Google searches about embezzlement and quantitative easing in efforts to try and circumvent and define what you were originally looking for.",/review/rw3355614/?ref_=tt_urv
5 January 2016,Hellmant,9," It almost has you rooting for the U.S. economy to fail!
",'THE BIG SHORT': Four and a Half Stars (Out of Five),/review/rw3355614/?ref_=tt_urv
7 August 2016,bementar,10," Everyone hates poetry
",Great drama moves you. It excites you. Scares you. Makes you sing. Makes you cry.,/review/rw3355614/?ref_=tt_urv
23 February 2017,RossRivero99,9," One of 2015's best films
","Adam McKay's ""The Big Short"" is the best financial movie I have seen since watching Oliver Stone's ""Wall Street"" (1987), but the only difference between these two movies is that this movie was based on true events. The film takes place before and during the recession of 2008 in which some aspects of this movie are pretty funny if you ask me. The movie was adapted from the book by Michael Lewis and it basically starts off with Dr. Michael J. Burry (Christian Bale) who was the first person to predict the housing market crash by actually betting against the housing market before it actually happened despite everyone else thinking that he was a crazy person. Then 20 minutes into the film we see a banker named Jared Vennett (Ryan Gosling) talk to a Morgan Stanley employee named Mark Baum (Steve Carell) and his coworkers and Vennett tells them that not long from now the economy is going to collapse and that nobody was even talking about it. also during the movie and in between all of the financial conversations Baum is going through a personal tragedy that I will not reveal in this review for those people that haven't seen the movie, and Baum is getting comforted between phone calls and at home by his wife (Marisa Tomei). The screenplay for this movie by McKay along with Charles Randolph took home the Oscar last year for best adapted screenplay and I had a few minor gripes with it here and there but then again it was directed by a man who normally does comedies. Then later in this movie we see 2 other men in the finance world (John Magaro and Finn Wittrock) end contacting a retired trader by the name of Ben Rickert (Brad Pitt) who is the fourth person to predict the collapse of the housing market. the only major problem I had with this movie was the shaky camera angles which could have been improved on, and also I think that Adam McKay could have been more impartial instead of openly mocking the corporations but then again that is just my opinion, but otherwise the performances from Bale (who got an Oscar nomination), Gosling, Carell, and Pitt are top notch, as well as Marisa Tomei's. This is one of last year's greatest achievements in film, and I stand by this review.",/review/rw3355614/?ref_=tt_urv
28 December 2015,JackCerf,8," Smart Greed
","Harry Knowles once wrote a review of Das Boot that said the movie was so well made that you'd find yourself rooting for Nazi sailors trying to sink American ships. So here. You find yourself rooting for clever ""outsiders and weirdos,"" as one of them puts it, who saw what nobody else wanted to see -- that an immense structure of mortgage based securities was doomed to collapse because it rested on the backs of subprime borrowers who couldn't support the weight and should never have been loaned the money. We have been taught by generations of fiction to identify with characters who are outsiders and rebels. Because these guys are smart, because they are antisocial and because they were laughed at by smug fools who believed the conventional wisdom, you identify with them, and you wait anxiously for their vindication. Then you realize that their vindication means the collapse of the American economy. They were the guys on the Titanic who knew what the iceberg meant and booked reserved seats in the lifeboats.",/review/rw3355614/?ref_=tt_urv
16 March 2016,bkoganbing,7," People Always Pay Their Mortgages
","The Big Short is a good if not entirely successful attempt to explain the economic collapse of the housing market. Banks lend money to people for mortgages, issue bonds based on the money that gets paid like clock work from hard working people who pay their mortgages to own their own home. I remember in the late 80s my mom paid off the final installment on a house my parents bought in 1955.",/review/rw3355614/?ref_=tt_urv
30 March 2016,851222,9," Superbly involving movie mostly because of amazing acting and electrifying script
",Greetings from Lithuania.,/review/rw3355614/?ref_=tt_urv
30 December 2015,maurice_yacowar,9," Reconstruction of the 2008 banking meltdown.
",I can't think of another film like The Big Short. It explains the economic meltdown of 2008 with a rage at the fraudulent banking system and the government that coddles it. But this — in effect — lecture is presented as a satiric montage of cultural references woven through the stories of the five principals who bet on the mortgage bubble collapsing and taking the economy down with it. They bet their success on the economy's failure. ,/review/rw3355614/?ref_=tt_urv
3 January 2016,howard.schumann,9," A fast-paced ride filled with fascinating personalities
","When everything in your life is looking rosy, there is always someone who will tell you that your happiness is on shaky ground. Though most of the time these nay-sayers will not profit from your misfortune, such is not the case in The Big Short, Adam McKay's (""Anchorman 2: The Legend Continues"") hard-hitting comedy/drama about the collapse of the housing market in 2008. Based on the book ""The Big Short: Inside the Doomsday Machine"" (2010) by Michael Lewis with a screenplay by McKay and Charles Randolph (""Love and Other Drugs""), the film centers on a group of Wall Street functionaries who, despite the industry, government, and media telling them otherwise, discover that the market for bonds based on subprime mortgages is on shaky grounds and is doomed to collapse.",/review/rw3355614/?ref_=tt_urv
13 December 2015,jakob13,10," Right on the Money and on the Fraud
","'The Big Short' is a winner. Based on Michael Lewis book of the same title, it tells the sorry story of the fraud and deceit practiced on the American people, nay, on the world by Wall Streets finance capitalism. We know the culprits: Goldman Sachs, JP Morgan, Lehman Bros., Morgan Stanley, Citibank, Wachovia, Crdit Suisse, UBS and on and on who invented financial instruments such as CDO, credit swaps and other fancy unintelligible names, based on mortgages, with the connivance of the credit agencies--Dow Jone, Standard and Poors and Fitch. 'The Big Short' with a light seriousness is a crash course on the duplicity of Wall Street investment bankers who earned large fees on junk bonds with triple A ratings; who bundled junk to palm off on an unsuspecting public looking for big gains by pandering to the snake oil exilir of getting rich quickly; and who feed on the niavety of the broad American have-nots with the dream of owning a home of their own. And so with some humor but much sadness are we lead through the byways of four different groups of bankers who saw the hoax for what it was and its impending implosion that would bring down the deck of cards of capitalism. And the took out bets on the market, by buying short. And they won big time! But the banks are still around, and the ratepayers footed the bailout, but at what cost! And we see this in the turmoil of the Republican party: for the discontent abroad in the US has thrown more than 25 percent of the population into poverty, loss of jobs, home, into heavy debt and no future for their children. And these banks have not reformed their ways...now they've come up with the same of gimmicks with a fancy name--something like beneficial financial tranche--as the play the same old mug's game. And like the Bourbons, t The cast is stellar--especially Christian Bale and Steve Carell and Ryan Gosling as well as the minor players. And like the Bourbons, in the words of Talleyrand, 'they learned nothing and forgot nothing', but the contempt they have for all of us. And to make the case stronger, the fools on the Supreme Court have strengthened the hands of big money and the oligopoly and the fat cats of Wall Street and the coupon clippers and the devil take the rest of us!",/review/rw3355614/?ref_=tt_urv
14 November 2015,tkn10015,9," The rich get rich and the poor get evicted. Ain't we got Fun
","Don't know how Adam McKay made deplorable humans, blinding fear, gut-boiling outrage and gleeful shaming so much fun to watch. He brought along his bag o' laffs but planted them in such rich soil so we had to hack our way through the thick underbrush of tainted greenbacks and marked decks.",/review/rw3355614/?ref_=tt_urv
