Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 September 2012,BA_Harrison,7," Karl Urban IS Dredd.
","I've been a Dredd fan for thirty years now, but I'm not about to give this movie adaptation of my favourite comic character a ridiculously high rating purely from some misguided sense of loyalty. Instead, I'm going to give it a deservingly high score because, quite simply, it is a very good film, one that successfully captures the essence of the 2000AD strip, delivering brutal action by the bucket-load, excellent central performances, and inspired direction, all enhanced by breathtaking state-of-the-art 3D special effects.",/review/rw7788519/?ref_=tt_urv
7 November 2015,ivo-cobra8,10," The Best Comic Action Adaptation movie of the year! It's Judgment Time!
","Dredd (2012 is one of the best science fiction action film adapted by comic book 2000 AD. It is one of my personal favorite movies. This is the character that kicks ass! This movie is so much better than original Stallone film. Stallone's Judge Dredd did not kicks ass, Karl Urban's Dredd did! I love this film to death I love it so much and it is better than Judge Dredd (1995) and it always will be! Dredd kills like 50 people in here, there are 100 of bodies everywhere I love this action film to death! ",/review/rw7788519/?ref_=tt_urv
11 August 2013,SnoopyStyle,8," Perfect Dredd
","In a dystopian future, the world is devastated. Judge Dredd (Karl Urban) is the last word in Law & Order within Mega-City One. Judge Cassandra Anderson (Olivia Thirlby) is his junior partner. They are battling drug lord Ma-Ma (Lena Headey) who is operating out of a massive apartment block.",/review/rw7788519/?ref_=tt_urv
25 September 2013,ben-798-604758,8," Straight to The Point, Well Directed, Really Violent
","This definitely isn't one of those movies with a lot of character development, but its not your typical action flick either. This is a beautiful work of art with a lot of stylized violence, desolate alleys with shady characters and ill intentions. The grungy neon lights of a dystopian future, the scarlet blood and glimmering glass, the hauntingly beautiful slow motion, what makes this movie great is definitely the visual aspects.",/review/rw7788519/?ref_=tt_urv
7 September 2012,Lugodoc,10," Perfect Dredd
","I'm a huge fan of the comic 2000AD and the character Judge Dredd since 1979, and this film completely satisfied me. They changed all the right things and kept all the right things. Director Pete Travis tackled the problem of filming a comic book by making something that looks nothing like a comic book and more like an action movie shot on location, with a simple linear plot that keeps rolling and never slows down.",/review/rw7788519/?ref_=tt_urv
20 February 2020,MR-ODIN,," I really liked this movie.
","Graphic, gripping, and very well developed. This is exactly what we should see from a comic of this subject matter. The performances are outstanding; everyone plays their role to absolute perfection. Completely loaded with entertaining action and blood to keep you interested. The directing, editing, sound design, and effects, terrific. A criminally underrated movie that I'm glad got the cult following and recognition it deserves.",/review/rw7788519/?ref_=tt_urv
29 September 2018,garciarichard,9," Criminally underappreciated
","Dredd is a simple action film with a simple premise that suffers from the legacy of a horrid 1995 Hollywood film adaptation to a British cult comic (2000 AD). It's a shame a sequel never saw the light of day, since Karl Urban was superb in his portrayal of Judge Dredd.",/review/rw7788519/?ref_=tt_urv
7 September 2012,axlrhodes,8," Relax 2000AD fans, he keeps his helmet on and there's no Rob Schneider.
","Seventeen years ago, a Sylvester Stallone sci-fi action vehicle was released into the world under the title 'Judge Dredd'. Based on the character from the popular 2000AD comic book series, the film was a huge disappointment with critics and a source of much heartache for Dredd devotees in the way it seemed to blatantly disregard crucial aspects of the source mythology both in look and tone. Fast forward to present day, a world in which comic book characters mean big money for film studios, surely enough time has passed to give the old Judge another crack of the whip right? I'm happy to say fans of the comic book should be able to relax and enjoy this much darker and tougher representation of their much loved character. Although the film, and it's (permanently) helmeted protagonist is a straightforward and simple beast, it actually works all the better for it. Dredd isn't given a back story or imbued with much in the way of humanity, he's instead portrayed more as the mysterious 'man with no name' whose dialogue is limited to one-liners that usually precedes some serious ass kicking. Where the 1995 Judge film was light and comedic, this version is hardcore and extremely violent with some surprising explosions of brutality meted out in a world that's long since gone to hell. As is pleasingly more and more the case in mainstream action cinema, we have strong female representation in Olvia Thirlby as Dredd's rookie sidekick and a nasty Lena Headey on form and fresh from bad girl duties in the celebrated TV series Game Of Thrones. Dredd 3D can't and won't be considered a classic of the genre, but it's a huge step-up from the Stallone version and should satisfy any and all sci-fi action fans looking for a fun Friday night thrill. Visually arresting and with a sensible running time, Dredd rocks. 3.5/5",/review/rw7788519/?ref_=tt_urv
7 September 2012,alan_holloway_2,8," A Superior Action Movie
","The basic aim of Dredd is simple – it needs to be bold, true to the source material and full of juicy violence, enough to wipe out the memories of the notoriously poor Stallone attempt of 1995 that threw plenty of money at the screen without bothering to work on anything resembling a decent script.",/review/rw7788519/?ref_=tt_urv
22 October 2013,Leofwine_draca,7," A noisy and satisfying piece of entertainment
","DREDD is the second adaptation of the cult comic book series Judge Dredd, following on from a poorly-received Stallone flick in the '90s (for the record, I thought that version was passable but weak in places, as is the case with a lot of mid-'90s cinema). This one's a lot more gutsy and compelling, thanks to the lean script and emphasis throughout on bloody action and adult entertainment. No pandering to the teenage crowd here.",/review/rw7788519/?ref_=tt_urv
