Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 May 2019,Hitchcoc,9," Heartbreaking but That's the Real World
","I know that a lot of the criticism is that this movie didn't get down and dirty enough. Alzheimers is a horrible thing for the survivors to deal with. Perhaps it can only truly by dealt with in documentary form. Julianne Moore is utterly amazing and anyone who says this film isn't well researched did not read about her approach. Yes, there are things that could have been shown to make it even more frightening. We could have seen specific bodily functions affected. We could have seen more irrationality and pain. But it needs to be accessible. I believe if we are watching a fictional account, this is very well done.",/review/rw3169408/?ref_=tt_urv
21 April 2015,dhainline1,10," What Would You Do If You Began to Show Signs of Alzheimer's Disease?
","Julianne Moore's character of Alice Howland has to face that eventuality in the wonderful, heart-breaking movie ""Still Alice."". Alice is a 50-year-old woman with a charmed life. She is happily married to Dr. John Howland, played by Alec Baldwin. Their son, Tom is training to be a doctor, daughter, Anna is married, pregnant with twins, and a lawyer, youngest daughter, Lydia played by Kristen Stewart who has matured as an actress since the ""Twilight"" series, is an aspiring actress. All of the performers are great, but Kristen Stewart surprised me the most and she broke the Bella Swan type-cast trap. In her job as a language professor, Alice needs her brain in order to give lectures and write books. When her brain basically craps out on her during a lecture at the college, Alice is confused by why her sharp mind has suddenly failed her. Alice's memory lapses have her confused and upset. She goes to a neurologist who tests her memory. After much testing, the doctor says Alice has an inherited form of Alzheimer's disease she got from her late father. He tells her to have her children tested to see if their late grandfather gave them the faulty gene. Anna tests positive for the gene, Tom tests negative, and stubborn Lydia refuses to take the test. In the end, Alice gets worse and worse. Her twin grandson and granddaughter are healthy, but it is heart-breaking their grandmother won't remember them. Lydia takes up the reins as her mother's caregiver and the most heart-wrenching thing about the movie is how much this horrible disease takes away so much from its victims.",/review/rw3169408/?ref_=tt_urv
19 September 2019,sueelaine,9," Spot on
","I have a sister in law at age 66 with end stage ALZ and I myself have stage 4 terminal brain cancer at age 62. I haven't been able to adequately and satisfactorily articulate the effect of loss of memory as well as this movie did. I have lost everything, but I have memories that bubble to the surface that keep me going. Life is not about stuff. Life is animating memories.",/review/rw3169408/?ref_=tt_urv
30 November 2014,namashi_1,9," A Well-Made Film with Strong Performances!
","Based on Lisa Genova's 2007 bestselling novel of the same name, 'Still Alice' is a saddening, but beautifully made film, that stays on your mind even after it concludes. Its A Well-Made Film with Strong Performances! ",/review/rw3169408/?ref_=tt_urv
13 December 2014,estebangonzalez10,7," Julianne Moore should receive her fifth Oscar nomination for her authentic portrayal of a character suffering from mental illness
","""So live in the moment I tell myself, it really is all I can do, live in the moment.""",/review/rw3169408/?ref_=tt_urv
9 November 2014,ClaytonDavis,7," Julianne Moore and Kristen Stewart are nothing short of magnificent in this emotional drama...
",Read more @ The Awards Circuit (http://www.awardscircuit.com),/review/rw3169408/?ref_=tt_urv
10 December 2014,drakula2005,9," Still Alice - a Delicate, Heartbreaking, Intimate and Ultimately Powerful Story, That Is Sadly a Part of Our Everyday Life
","It probably goes without saying, but in my opinion ""Still Alice"" is right up there among this year's best pictures.",/review/rw3169408/?ref_=tt_urv
7 December 2014,richard-1967,9," I didn't want to see this film, but I'm glad I did
","I had already marked this movie down as a ""no"" when the cinema preview club we attend showed it this morning. And I'm very glad they did.",/review/rw3169408/?ref_=tt_urv
2 April 2015,ketgup83,8," Julianne Moore is electrifying which is enough to make you watch the film
","Best part of watching a Oscar nominated film is that some unique constraint is always attached to it - be it direction , screenplay , story or acting. Now acting is what make Still Alice immensely watchable and Julianne Moore gives the performance of her life time.",/review/rw3169408/?ref_=tt_urv
2 December 2014,potter98,8," Still Alice
","Still Alice is a realistic and emotional story of a woman living with Alzheimer's disease. Julianne Moore successfully shows the struggle, confusion, anger, pain and isolation of having such a disease through her incredible performance. She allows the audience to see what having Alzheimer's could possibly be like. This film also has an amazing screenplay, a screenplay that is raw and honest. There is also a great ensemble performance from the cast, featuring Alec Baldwin as the supportive and loving husband. The movie definitely makes the viewer think deeply about aspects of life such as memories, family, loss and bewilderment which are all addressed in Still Alice. See this film for a moving story, but mostly for Moore's miraculous performance. It wouldn't be a surprise if she won Best Actress in the upcoming Academy Awards.",/review/rw3169408/?ref_=tt_urv
