Review_Date,Author,Rating,Review_Title,Review,Review_Url
28 June 2013,Fluke_Skywalker,6," Statham always a 'Safe' bet
","After a decade of indifference, I've started to come around a bit on Jason Statham. He's like the McDonald's of actors. Let me explain. ",/review/rw2809087/?ref_=tt_urv
15 May 2012,Hellmant,7," 'SAFE' is a safe bet for Jason Statham fans!
",'SAFE': Three and a Half Stars (Out of Five) ,/review/rw2809087/?ref_=tt_urv
3 February 2013,Leofwine_draca,8," Grunts its way to the end with thuggish abandon
","SAFE marks another step up the career ladder for action star Jason Statham, who also made 2012's above-average KILLER ELITE with Clive Owen and Robert De Niro. SAFE steps away from the teen-friendly hijinks of THE TRANSPORTER and DEATH RACE in favour of a more focused and realistic storyline which sees Statham and his young charge (newcomer Catherine Chan, and very good she is too) on the run in New York from not only the Russian and Chinese mafia but the city's police force, too! ",/review/rw2809087/?ref_=tt_urv
6 October 2012,claudio_carvalho,6," Great Brainless Action Movie with a Messy Lead Character
","In China, the girl Mei (Catherine Chan) is a genius that looks like a computer in numbers. She is abducted by the Chinese Triads and the boss Han Jiao (James Hong) sends Mei to Chinatown, in New York, to help him in the control of his activities.",/review/rw2809087/?ref_=tt_urv
23 February 2020,MR-ODIN,," Not bad. Kept me entertained
","Safe - Quick Review: Safe is a very interesting movie starring Jason Statham who gives a very good performance.Also this movie has good directing with not-so-well shot action but the sound effects are awesome nonetheless.The story while a bit cliche,is still very interesting until the very end.I really enjoyed this movie it's certainly one of the better Statham action flicks overall.",/review/rw2809087/?ref_=tt_urv
29 April 2012,jon.h.ochiai,8," Safe Works
","Ironically, the most frustrating aspect of ""Safe"" is reading the streaming subtitles for Russian and Chinese. Being that I speak neither I'm straining to absorb the detailed dialogue and narrative threads. Yes, Director and Writer Boaz Yakin's story is far from complex, but you forget that the words really don't matter here. Jason Statham is the badass with a big heart protecting a young Chinese girl prodigy played by Catherine Chan from the Russian mob and the Triad, because she memorized a series of numbers that accesses dire information. Much of ""Safe"" is sheer brute force. Statham's signature strike to the bad guy's trachea punctuates this. Statham's fighting sequences are high impact and resonate with awesome speed and power.",/review/rw2809087/?ref_=tt_urv
3 May 2012,Pycs,6," Entertaining yet forgettable
","'Safe' is the latest vehicle to showcase Jason Statham's ability to punch, kick, and shoot various henchmen. The plot here plays more of a role than compared to past JS films, as this one involves a young Chinese girl with a brilliant memory who's wanted by both the Russian and Chinese mob, aided by corrupt cops, and it's just to a down-on-his-luck Jason Statham to save the day.",/review/rw2809087/?ref_=tt_urv
24 April 2012,chrisvales,6," 'Safe' Review - Jason Statham, enough said.
","After watching the trailer when it was first released, I didn't feel what I always feel when I see Jason Statham in an action movie, which is giddy. There was something missing, but how can I say no to Jason Statham in an action packed movie? I just can't. 'Safe' ended up being good. Not great, just good. The beginning was a little slow, but the way they told the story, was a bit of bouncing back between Luke Wright (Jason Statham) and Mei (Caroline Chan), so it didn't really come out running, but I guess I can't complain too much about it because it definitely picked up after. As I stated earlier, how can I say no to Jason Statham in an action movie. The action was amazing. It's that kind of action where the audience is either clapping or yelling, ""Ooooohhhh snap!!!"" followed by some laughing. The storyline was decent, I mean, it didn't really stand out and there are a few scenes where you can probably figure out what's going to happen, but it got the job done. The acting was sub-par once you take out Jason Statham and Catherine Chan (Mei), who I thought did a really good job for her first Hollywood movie. There were a few cheesy lines, some epic quotes, one of which I put in the subject title and I'm sure you'll enjoy it too when you hear it and some funny moments; more than you usually expect from an action movie, which wasn't so bad. ",/review/rw2809087/?ref_=tt_urv
29 April 2012,johnnymacbest,8," Jason Statham at his absolute best.
","This film is the most fun I had at the theaters along with ""Haywire"" and The Hunger Games; films that have thrilled me while at the same time giving me food for thought. Safe doesn't exactly fit the above criteria, but what it does is deliver a well-written action thriller with twists and turns in the plot to get any interested viewer bang for their buck.",/review/rw2809087/?ref_=tt_urv
12 December 2013,g-bodyl,8," Action-Packed!
","Safe is your typical Jason Statham movie but with steroids. If you have seen any of his newer films, then this movie will not surprise you. But like most of his films, Safe is a nice throwback to the heyday 80's action films. This film simply offers up a good time as we see Statham get involved with the Chinese and the Russians. The stunts are pretty good here as well as the cinematography since we see some cool shots of the action.",/review/rw2809087/?ref_=tt_urv
