Review_Date,Author,Rating,Review_Title,Review,Review_Url
16 July 2011,DonFishies,8," Bittersweet, emotionally uplifting and distinctly hilarious
","Crazy, Stupid, Love. is one of, if not the best, American romantic comedies of the past decade. This may come as a shock to some (as it surely took me aback) but there is no other way to describe it. Going into an advanced screening of the film earlier this week, I had my doubts that it would be anything outside of generic. But instead of tripe, I got one of the most unexpected surprises I have seen all year.",/review/rw4392269/?ref_=tt_urv
8 March 2021,Instant_Palmer,9," Carrell/Gosling Synergy Drives This Zany Buddy-Film/Romantic Comedy
","When it all comes together in an ensemble romantic comedy, it takes a great script, spot-on casting, inspired acting, timing, synergy, and brilliant direction. Crazy, Stupid Love has it all. Arguably, the best romantic-comedy of the new millennium era, CSL synchronized two directors and a screenwriter who had all previously been noted for their top success in animation films and television including the 'Cars' franchise, 'Tangled' and 'Angry Beavers' (in addition to non-animation film), along with the brilliant Casting Director Cindy Marin who had casted 'Juno' a few years earlier.",/review/rw4392269/?ref_=tt_urv
24 February 2022,Fella_shibby,9," Hilarious n entertaining.
",I first saw this a decade ago on a dvd which I own.,/review/rw4392269/?ref_=tt_urv
31 July 2011,ferguson-6,7," Creme Brulee or a Divorce?
","Greetings again from the darkness. From the opening scene it is clear we aren't in for a typically lame rom-com with caricatures instead of characters and punchlines instead of feelings. Instead, this one is all about the characters and their feelings ... realistic feelings of pain, anger, hope and frustration. Now don't misunderstand. It doesn't go too deep and there is still plenty of humor in the moments.",/review/rw4392269/?ref_=tt_urv
4 August 2011,IronBallsM,," I enjoyed everything about this movie.
","My initial reaction is that this film is the best romantic comedy that I've seen in years. The genre has been pretty devoid of quality lately. So, I don't know if that plays a part or not and I really don't care at this point. I enjoyed everything about this movie. It has tremendous heart and charisma and it's so very easy to get caught up in to the lives of these characters. A certain degree of patience is required while viewing because some secondary characters that feel unnecessary to the story are worth getting to know. Steve Carell's character is the one everyone empathizes with and when the movie shifts away from the ""A"" story you wonder why and start to think that the ""B"" story is going to be muddled or cliché or one to endure. Well, they're not and everything comes together in a wonderful fashion. The entire cast here is perfection. The overall message may be one to debate but it doesn't matter because the ride and this film are just so smart and so well done.",/review/rw4392269/?ref_=tt_urv
4 August 2011,Reel_starz,9," Crazy, Stupid, Love is a real crowd-pleaser
","It was roughly two-thirds of the way into Crazy, Stupid, Love when I realized how invested the audience in my theater had become. The key scene involved a mom cleaning her daughter's room, a seemingly mundane moment that produced gasps and cries of ""Oh no!"" even before the character makes a very revealing discovery. It's a scene that, much like the rest of Crazy, Stupid, Love, a heartwarming and, at times, painfully honest depiction of three couples at various stages in each of their relationships, unfolds not with predictability so much as inevitability. Unlike your average, generic romantic-comedy, this movie focuses less on the end, on who will end up with whom, than on the special and often surprising connections that are made along the way. What's more, it achieves the remarkable and all-too-rare feat of actually moving the audience to care about the central characters, to cheer when they come out on top and sympathize when they don't.",/review/rw4392269/?ref_=tt_urv
2 October 2011,TheLittleSongbird,9," A very surprising Rom-com, and one of Steve Carrell's best ever performances
","I have nothing personal against Rom-coms, it's just that sometimes a film really surprises you in a good way or it falls flat on its face. Crazy, Stupid, Love fortunately belongs in the former category. If there was anything that lets Crazy, Stupid, Love down, it was that the film stumbles a little in the final act.",/review/rw4392269/?ref_=tt_urv
30 July 2011,nicki9112,9," It works
","You know usually I'm not into romantic comedies, as I find that most of them fall short & are extremely cheesy. I really liked this movie though. One of the great things about it, is the acting is great. Everyone plays their part perfectly and you actually kind of feel for them in their individual situations. Usually when I think of Steve Carell, I think of a jokester. He was great in his serious scenes though, very believable. And Ryan Gosling, Oh my goodness, Ryan Gosling. He has always been one of my favorite actors. He plays a ladies man in this movie, trying to get Carell back on his feet after splitting with his wife. The two of them have great chemistry together and provide plenty of laughs, along with touching moments. I just saw this movie yesterday and I already want to see it again. That almost never happens that I want to see a movie again right away. Very cute. This movie has a little bit of everything and I think that most people would enjoy it. 9/10!",/review/rw4392269/?ref_=tt_urv
5 March 2012,kosmasp,9," Not without flaws, but ...
","There is a moment (or two), where the movie is close to lose its way or get off its track. But it's only a momentary thing that will go away almost instantly. It manages to go through the clichés without hurting itself. And while women might only be interested in Ryan Gosling (and who can blame them?), there is more to the movie than that. It is rare that a romantic comedy can be as good as this.",/review/rw4392269/?ref_=tt_urv
24 February 2018,TheMovieDiorama,8," Crazy, Stupid, Love literally sums up my life right now.
","The ironic and embarrassing thing is, the person I was watching this with knows how relatable the theme of ""finding your one true soul mate"" is currently. This will be difficult to review without affecting me personally, but when a film does that to you it just goes to show how powerful the art can be. We follow a variety of characters as they explore the emotion of love. A middle aged couple going through a divorce, a babysitter who has fallen for her employee, a young boy who's in love with the babysitter, a promiscuous dating expert who eventually finds ""the one"" and a young woman hoping for a proposal. Eventually, we find that these characters interlink in a sprawling narrative detailing the joys and sorrows of love. Despite all that, the biggest element that resonated with me the most was to never give up fighting for the one you love. And I know the person this refers to in my life will read this review, and I know they will do everything in their power to not acknowledge my true feelings...but it's worth fighting for right? Absolutely, and the film conveys that message eloquently, particularly in the third act which I did not see coming at all. I literally shouted ""no...nooo...NOOO!"" as one character attempts to regain a form of relationship, albeit goes terribly wrong. The narrative consistently switches between characters, reminiscent of the classic rom com 'Love Actually', which keeps the pacing interesting. Acting was emotionally investing from everyone. Ryan Gosling shows us that his comedic timing is excellent, Steve Carell is able to perform some dramatic scenes and Julianne Moore is always dependable. Emma Stone's character needed a larger amount of screen time, I felt her character was unevenly balanced. We see practically nothing of her in the first two acts and then she becomes the main attraction in the third. It just meant I hadn't warmed to her like I did with the other characters. I thoroughly enjoyed this though, I laughed, teared up and smiled. Love hurts dammit!",/review/rw4392269/?ref_=tt_urv
