Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 October 2009,planktonrules,9," Complex...
","When I first heard about this little film I wasn't particularly interested. Being a high school teacher, I wasn't impressed with the idea of seeing a movie concerning a teenage mother. Believe me, I know enough of them already! However, on a lark, I decided to finally watch the film--almost two years after it debuted. And, in hindsight, I should have just gone and seen the film when it came out, as unlike my ASSUMPTION, it was not really a glorification of teen pregnancy but a very complex film--a film with a lot of different messages and possible interpretations. This is definitely NOT a by-the-numbers (formulaic) film--there is a lot that is original and new. And, if you were worried that the film would be pro-teen pregnancy or abortion or whatever and it might offend you, don't think that way....the film is great for anyone, conservative or liberal alike. And, it might just be an excellent film for you to see with your teens. Excellent, simple and very effective.",/review/rw1791475/?ref_=tt_urv
20 September 2011,Sandcooler,9," Every good thing you've heard and more
","""Juno"" is an incredibly cute movie, and for once I don't even mean that in a patronising sense. If the movie universe was some sort of gigantic petting zoo, ""Juno"" would be the adorable little lamb standing in the corner making the jealous other lambs look like death incarnate. It's not a sugary sweet tale by any means, in fact it's a real down to earth kind of story that's not always pretty, but the approach to it couldn't be more right. It's humble, it's little, it's low-budget, and that's exactly what makes it so great. What I also liked about it, hell what I like about a lot of independent movies, is that it's never predictable. There is no formula, you don't know what's coming, you don't sit there quietly ticking of all the clichés: you just enjoy yourself tremendously. Finally, one last addition to the heap of praise and I swear I'll stop: it's been ages since I've seen an ending scene this beautiful. It's exactly the way you want it to be, and the camera zooming out at a barely noticeable speed is a brilliant touch. I quite liked ""Juno"".",/review/rw1791475/?ref_=tt_urv
9 January 2008,Buddy-51,8," from the art house to the megaplex
","The thing that separates ""Juno"" from so many other films about teen pregnancy is that, in this case, the 16-year-old who finds herself in that predicament refuses to become a victim of her circumstances. From the moment she confirms the unwelcome news, Juno studies her options - abortion, raising the child as a single teen parent, adoption - then takes matters into her own hands. Like the Roman goddess who is her namesake, Juno is a bright, often sharp-tongued individual who prides herself on her observant cynicism and her way with a sarcastic quip. However, she's not above appealing to the adults in her life when the problems of the world get to be too much for her (though, in some cases, the grownups are coping with more serious issues than she is). Yet, Juno makes certain that it is she and she alone who will have the final say when it comes to determining the course of her own future and that of her child.",/review/rw1791475/?ref_=tt_urv
27 May 2016,gbill-74877,8," Smart, funny, and many positive messages
","Full disclosure, I would probably see Ellen Page and Jason Bateman in anything, I love them both so much. Page is of course in the starring role here, and delivers an outstanding performance as the quirky Juno, a high school who finds herself pregnant after spontaneous sex with her nerdy friend (Michael Cera). The film is very well made, with clever dialog and composed of countless little moments that are amusing, despite dealing with a serious subject. Juno resolves to give the baby up for adoption to a yuppie couple played by Jason Bateman and Jennifer Garner, but things get complicated with Bateman's character begins getting close to her because of their interests in rock music and slasher films, kindling long-standing desires on his part to do more in life before becoming a father.",/review/rw1791475/?ref_=tt_urv
13 January 2008,isabelle1955,," Manipulative and Simplistic
","Look, I do get it. I fully appreciate that a film about a girl who gets pregnant, has an early abortion, then manages to move on, would be a pretty short movie. In fact, so short it wouldn't get made. No one wants to know about reality. And certainly in 21st century North America, no one wants to portray abortion as a viable option. Very, very bad form currently.",/review/rw1791475/?ref_=tt_urv
28 February 2009,pauljcurley,7," Thundercats are go?
","This could have been a very, very good film. I enjoyed the basic plot - a quirky, tomboy-ish 16 year old discovers she's pregnant, decides to give the baby up for adoption to the ""perfect couple"" but finds that the perfect couple isn't so perfect - and maybe no relationship ever is.",/review/rw1791475/?ref_=tt_urv
16 October 2007,shizz_27,7," Let's not get carried away, people.
","""Juno"" is funny (nearly every single line of dialogue is written to elicit laughter), directed with at just as sure a hand as ""Thank You For Smoking"".. possibly surer.. and acted gamely by the whole cast -- especially Olvia Thirlby and J.K. Simmons as the title character's galpal and understanding dad. The script, by Diablo Cody, is rich with one-liners; anyone who's read Candy Girl (which is unbelievably intelligent and funny; her description of Shania Twain, especially, had me rolling) will kind of know what to expect.",/review/rw1791475/?ref_=tt_urv
20 December 2007,Tony43,," the sum is less than its parts
","This is a well produced, well directed, well written and extremely well acted film. Its essentially a one woman show, and Ellen Page becomes a star with this picture, or at least she should.",/review/rw1791475/?ref_=tt_urv
4 January 2008,DonFishies,9," A heartwarming and bittersweet little comedy
","Following all of the hype, it was impossible for me to not want to see Juno. Everyone has raved about it for months, and I waited patiently for it to be released somewhere nearby. And the wait definitely made it worthwhile.",/review/rw1791475/?ref_=tt_urv
27 July 2010,freemoviesforme,10," Juno, one girl's story
","I rarely go the movies, I watch them on cable or rent them usually. When I heard about Juno I was interested but afraid it would disappoint. I Forgot about it and probably would have never seen it if I had not stumbled on it on cable one lazy Sunday afternoon. I think there are some very valid criticisms of the movie and of course there are some errors and questionable choices made, but the movie was filmed in 31 days which I find amazing.",/review/rw1791475/?ref_=tt_urv
22 January 2008,Ozzy2000,10," Trailer Trash teen pregnancy film
","John Malkovich has produced this screenplay by Diablo Cody with Jason Reitman directing (his previous work writing and directing ""Thanking for smoking"" In real life Ellen Page is a rich kid who comes across as a real smart alec and arrogant type and she manages to transfer that character into her previous role in ""Hard Candy"" and this role.",/review/rw1791475/?ref_=tt_urv
1 November 2008,jem132,3," Don't waste your time
","This wasn't worth watching, and I had that feeling after I saw a trailer for it while I was in the cinema waiting for ""Atonement"" (that film should not be mentioned on the same page as this one). I got it out from my Uni library, so at least it didn't cost me money. It's not all bad, Jennifer Garner's performance as the woman desperate for a child is very touching, but the rest of the film is so obnoxious and pretentious that I just want to kick it.",/review/rw1791475/?ref_=tt_urv
2 April 2022,reddiemurf81,8," ""Desperately Seeking Spawn.""
","Juno is the story of how a 16 year old girl (named Juno, played by someone who is now supposedly no longer who they were, but that's a whole other deal) finds herself in a pickle of a predicament, and how it affects her life and the lives of those around her in the most offbeat, quirky ways. Lol",/review/rw1791475/?ref_=tt_urv
21 January 2008,tedg,," Baby Formula
","Okay, we've had some experiments by risktakers, and now its clear what this new formula is. This movie is effective because it understands what that formula is, what it has to do and then does it with precision.",/review/rw1791475/?ref_=tt_urv
23 February 2008,Turfseer,3," For lovers of Oprah
",Those who love Oprah will probably love this movie along with aficionados of daytime soap operas. The strategy of such movies is to give the characters a few quirks but make sure they all have hearts of gold. Juno is full of witty quips (improbable for most 16 year olds) and her boyfriend Bleeker loves tic-tacs (that's about all we found out about him throughout the entire movie). ,/review/rw1791475/?ref_=tt_urv
31 December 2007,FilmCreature,10," FilmCreature Reviews 'Juno'
","Juno MacGuff is a sarcastic, cynical, tomboyish teen played by Ellen Page in a fantastic, perfectly tuned performance. After sort-of-spontaneous (but not really) sex with her best friend, Paulie Bleeker (Michael Cera of 'Superbad'), Juno receives an unwanted package--a pregnancy. Woops.",/review/rw1791475/?ref_=tt_urv
9 September 2007,riid,10," Notes from 2007 TIFF
",I saw this film at the 2007 Toronto International Film Festival.,/review/rw1791475/?ref_=tt_urv
16 February 2008,huh_oh_i_c,1," Just give your baby away! Yeah, as if THAT isn't disturbing and cruel.
","As a movie it's good, it's sympathetic, the performances are good, and SOME of the characters react a BIT differently than the usual Hollywood boilerplate.",/review/rw1791475/?ref_=tt_urv
