Review_Date,Author,Rating,Review_Title,Review,Review_Url
25 December 2017,bbewnylorac,," Wonderfully intelligent series
","Some people will find the concept of a crime fighting psychic ridiculous. But the excellent scripts, direction, special effects and mostly the compelling acting raise this series above the norm. It reminds me of The Twilight Zone for its playful willingness to explore the supernatural. The plots play on our fears about the things in life we can't control. And having the main character, Allison Du Bois, being an average suburban Mom is a master stroke. She's portrayed as someone doing her best - between doing the laundry and cooking meals - to prevent catastrophes and right wrongs. She is constantly scared and baffled by the situations she finds herself in, so we identify with her by wondering what we'd do in the same situation. 
The supporting cast, including her loving husband, Joe (Jake Weber), their three daughters and the charismatic detective Lee Scanlon (David Cubitt) are all excellent and exude intelligence. Some very serious issues are explored in this series, but there are also plenty of fun scenes and playing around with time, characters and effects. 
I recently rediscovered Medium on repeat, and was reminded what a fantastic, quality show this was.",/review/rw1045309/?ref_=tt_urv
10 November 2013,A_Different_Drummer,9," Six Year Run 100% Deserved, Arquette Amazing
","Before we talk about the show, let's talk about the talent. Glen Gordon Caron has been on the other side of the camera for a very long time, with a pedigree that includes, oh, for example, discovering Bruce Willis. And that's just for starters. Similarly, Arquette had a long and fairly impressive run in features, not always the A-roles, perhaps, but consistent nonetheless. Bringing these two together in 2005 was a match full of promise and ultimately the promise was kept. Next, the stories. It may be because the premise was based on a real person that the week-to-week plots were entirely consistent with the way real intuitives actually operate in the real world. Ordinarily Hollywood simply cannot resist the temptation to take it up a notch, especially from season to season. Had the plot arcs followed the usual Tinseltown roadmap, the Alison character played by Arquette would be getting predictive dreams in Season 1 and raising the dead by Season 6. But the producer showed restraint, and I believe that is part of the reason for the success of this show. I have seen every episode, and I recall that by the time the last season rolled around, they were getting just a tad frisky -- Alison may have a fatal illness, Alison's ability may be illegal in court; Alison tries to help Joe's business with her gift -- but a 6 year run is nothing to sneeze at. It was consistent, it was solid, it was entertaining. In TV, that's about as good as it gets.",/review/rw1045309/?ref_=tt_urv
2 May 2017,mathmaniac,10," Almost a decade later...
","It's been more than ten years since the first episode of 'Medium' aired. It was one of my favorite shows - a mixture of horror, crime, and warm family drama. Today, watching the series on amazon instant video, the series is just as entertaining as it was when my kids and I first watched it. ",/review/rw1045309/?ref_=tt_urv
4 February 2005,Maurene,," Successful Combination of Sci-Fi, Crime and Family Drama
","I haven't been this enthusiastic about a TV show for awhile. The actors are top notch and the stories interesting. In my opinion, the core of the show is not the cases the main character (Allison) investigates or even her psychic abilities. Rather, its how her abilities affect her relationships with others (especially her husband). So far my favorite episode has been ""A Couple of Choices"" but I can't explain why. I love how the husband and children are portrayed. I have a small crush on the husband (Joe) and the kids argue with each other just like normal kids. (I got a real kick hearing the eldest daughter tattle that the younger one hadn't brushed her teeth - rather she just got the toothbrush wet.) Allison is so down to earth that she is easy to related to.",/review/rw1045309/?ref_=tt_urv
11 August 2018,mexicanmoon16-809-24579,10," My #1 show.
",I have watched every single episode at least 4 times. It's the only show I'll sit through and watch. Patricia Arquette is a phenomenal actress. Everyone on the show is fantastic. I really hope they bring it back one day.,/review/rw1045309/?ref_=tt_urv
9 March 2005,roidessinges,," Most believable paranormal show on Television
","This show is great. The main character is very believable as an ordinary housewife with an extraordinary gift. The best ting about the show is the writing; the heroine is not infallible, neither is her husband. The two kids are also incredible. Neither of them is ""precious"" or precocious, they act like ordinary girls, and the little one is downright goofy, which makes here especially charming. ",/review/rw1045309/?ref_=tt_urv
5 March 2005,blanche-2,," entertaining
","Since the success of ""Sixth Sense,"" many characters in the movies and on television have been seeing dead people. Allison, a law student with a husband and three kids, is one of them. This series is based on a real-life, gifted medium. She is portrayed by Patricia Arquette. Having seen the real Allison Dubois and heard her speak, this is great casting.",/review/rw1045309/?ref_=tt_urv
30 January 2018,kirbylee70-599-526179,8," I Saw That Coming
","In 2005 a new series premiered on NBC that caught viewers fancy and tied into that desire to know what would happen in our futures if we could. Our fascination with psychics had been a long one going back to people like Edgar Cayce and Jeanne Dixon and moving forward at the time with John Edwards. This series renewed that interest and took as its basis the real life story of psychic Allison DuBois, a psychic who has aided the police on several occasions.",/review/rw1045309/?ref_=tt_urv
28 July 2017,waelkatkhuda,9," My All Time Favorite TV Series
",If someone asked me what is your all time favorite TV series? i'll simply say Medium.,/review/rw1045309/?ref_=tt_urv
16 July 2018,Kirpianuscus,," admirable serie
","First, I was seduced by subject. than, by the performance of Patricia Arquette. it is a serie about provocative theme but real exploring every day realities. that does it different. and special. the image of the bridge between us and the dead people is far to be original but, in this case, its use is more than inspired. because it is so simple to discover an ordinary wife and mother , with a special gift, fighting for truth and family and fundamental answers . short, a fascinating serie.",/review/rw1045309/?ref_=tt_urv
