Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 December 2002,Buddy-51,," gripping performance by Hayek
","Salma Hayek (uni-brow and all) gives a genuinely great performance as `Frida,' the Mexican artist who is more famous, perhaps, as the wife of Diego Rivera than as a painter in her own right - although Rivera himself always insisted that it was Frida who had the greater talent.",/review/rw3182573/?ref_=tt_urv
5 May 2005,ma-cortes,7," Splendid movie about two excellent Mexican painters and their troublesome relationship
","The movie deals with the biography of Frida Kalho (well performed by Salma Hayek , though Laura San Giacomo was originally set to play her but was dropped when fans objected to a non-Mexican playing the role) who after a terrible accident with a trolley causes herself a crippling injury , then she gets away from her parents (Roger Rees and Patricia Spinola) to live on the paintings . She falls in love with famed muralist Diego Rivera (Alfred Molina , he gained 50 lbs , 23 kg , for this character) who bears a separated marriage (to Valeria Golino) . Later on , Frida is wedded to Diego and the troubles come out .",/review/rw3182573/?ref_=tt_urv
13 July 2020,aciessi,8," Her Story.
","Frida is a biopic, as decadent and beautiful as the art of Frida Kahlo. I can't imagine how you could make it any other way. Yes, we follow Frida through her dysfunctional and broken relationship with both Diego Rivera and the international socialist movement. But the way this story is told is key. The editing and cinematography pays enormous tribute to Frida's paintings and the genre of art that she represents. Salma Hayek is tremendous as Frida. Alfred Molina is tremendous as Diego. It's thoroughly exquisite.",/review/rw3182573/?ref_=tt_urv
18 August 2003,Nazi_Fighter_David,8," Julie Taymor, a director of taste and sensibility...
","'Frida' is a rich and passionate account of two celebrated Mexican artists, whose lives were bound up with major events of the 20th century-the Mexican and Russian Revolutions... The film takes us at the center of the art world in one of the most tumultuous alliance between two painters, an alliance filled with joy and heartbreak, love and betrayal...",/review/rw3182573/?ref_=tt_urv
9 November 2002,Rogue-32,9," Salma Hayek RULES
","This is a very well-realized film, and the most inspired thing about it is the casting of Salma Hayek in the title role.",/review/rw3182573/?ref_=tt_urv
4 April 2005,smoothhoney1265,," Outstanding!
","Usually, when you see a biopic about a famous artist and genius you either get to see a tragic, suffering creature or an idealized God. And often it's always the same: He/she was born, had a difficult childhood, created some masterpieces, had some affairs (usually with actors/actresses or/and musicians) and dies a sad and lonely death. But what a refreshing difference ""Frida"" was! Frida Kahlo's life was more suffering than joy, yet the movie does not pity her all the time but shows Frida's lust for life, love, art and her husband Diegor Riviera.",/review/rw3182573/?ref_=tt_urv
26 November 2002,EmperorNortonII,8," ¡Viva Frida!
","""Frida"" is a beautifully done biopic about Mexican artist and icon Frida Kahlo.  Salma Hayek plays this role very well.  She exhibits all the passion that goes into being an artist, especially when playing off Alfred Molina, who plays Diego Rivera, husband of Frida Kahlo, and a famous Mexican artist in his own right.  What really impressed me was the artistic references in the movie.  I loved seeing the paintings coming to life!  I also liked the surreal animated sequences, particularly the hospital nightmare, populated with Day of the Dead-style skeletons.  Few movies have ever made me regard them as a work of art.  ""Frida"" is definitely one of them!",/review/rw3182573/?ref_=tt_urv
12 December 2002,tprofumo,," Life as art and vise versa
","This is an interesting movie, but less interesting perhaps than the reactions it draws.",/review/rw3182573/?ref_=tt_urv
19 August 2016,krocheav,," The Life Of Frida Kahlo - How Much Is Truly Worth Knowing?
","It wouldn't matter what you might show or say - people who have taken a liking to an 'artist' or their particular 'style' will defend them regardless. So it probably is with Frida Kahlo and Diago Rivera. Every country must have its acclaimed legends good or bad - the USA with Pollock and Warhol, Spain with Picasso and so it goes - it's the law of economics and superiority, etc...Oh, not to mention art....",/review/rw3182573/?ref_=tt_urv
28 November 2015,SnoopyStyle,7," never felt the love
",It's 1922 Mexico City. Frida Kahlo (Salma Hayek) is a rebellious student who is intrigued with artist Diego Rivera (Alfred Molina). She is severely injured in a trolley accident and left bedridden with lifelong pains. She regains her ability to walk. Diego takes an interest in Frida's work. They get married and begin a passionate complicated relationship. She befriends his jealous ex Lupe Marín. He constantly cheats on her. Their son dies in childbirth. She starts having affairs with both men and women including communist icon Leon Trotsky.,/review/rw3182573/?ref_=tt_urv
