Review_Date,Author,Rating,Review_Title,Review,Review_Url
16 June 2020,saadgkhan,7," Why change the ending? if the book was soo good to be ordered into series
",Defending Jacob - B+ (Memorable),/review/rw5731849/?ref_=tt_urv
18 June 2020,mr_bickle_the_pickle,8," Great show to binge...
","After watching the whole series, I have to say that I really enjoyed it. It's a really good show to binge as each episode left me wanting to watch another to find out what was going to happen next. I thought the show was well acted as well.",/review/rw5731849/?ref_=tt_urv
30 May 2020,tobydammit-2,5," Another great series ruined by a STUPID ending!
","The theme music in this beautifully produced series reminds me of Dexter and so does the asinine ending! Short of one of the principal characters becoming a lumberjack, it's one of the worst endings I've ever seen. Stop watching this series about 15 minutes into the last episode and you'll be glad that you did! Superb acting all around, but Cherry steals the show!",/review/rw5731849/?ref_=tt_urv
3 June 2020,jennifertrathan,5," Episode 8 lets it down.
","I'd only read the book a few weeks before this started so the plot was still fresh in my head, I knew there would be changes but I was really hoping they wouldn't make it completely unrecognisable (Virgin River did this). I was pleasantly surprised that for the first 7 episodes the changes weren't too bad at all, Andy and Laurie were much younger than in the book, Laurie was a homemaker, formerly a schoolteacher and Pam Duffy and Joanna Klein were both originally male characters. There was more but nothing that would have made me switch off in a huff.",/review/rw5731849/?ref_=tt_urv
10 June 2021,laragi,4," Blah blah blah
",I can't stand programs that make you wonder for hours on end and still leave you wondering. The toss up ending is STUPID! Wasted my time.,/review/rw5731849/?ref_=tt_urv
15 May 2020,hartmaa,9," Incredible effort -
","Beautifully acted - I am becoming a serious fan of Chris Evans. He's not just a pretty faced superhero. He really stood out in Gifted and I'm really excited to see more. Well done.
This is a superbly designed series, I think it is a solid 9 - don't listen to the naysayers ... honestly, it's worth watching just to see the incredible segues in the opening credits.
Watch it, binge it, worth it 😎👌🏻",/review/rw5731849/?ref_=tt_urv
29 May 2020,windsorenquirer,4," Unsatisfying
","I haven't read the book. I found this tv show pretty slow but still entertaining till the last episode that ruined the whole show for me. That's why instead of 10 stars i rated it 4.
The ending was weak, I hope they are not planning on prolonging it to the next season.",/review/rw5731849/?ref_=tt_urv
30 May 2020,smoke0,," not sure why the changes were necessary
","I will just pick on some things that didn't matter - the addition of the girl at school who for whatever reason wanted to be Jacob's only friend - why? I thought it was to add a relatable victim instead of the one in Mexico, but there was no last victim in Mexico, so why include her, other than to pad a few episodes? And of course, no Mexico victim, so no reason for the mother to go off the deep end, so let's have the father confess and burden her that way..and then they are both alive at the end and mom remembers nothing about her year long battle with defending Jacob to herself so now everyone can be happy...naw..read the book instead.",/review/rw5731849/?ref_=tt_urv
13 June 2020,Fella_shibby,8," It has sufficient red herrings, the direction is top notch n Chris Evans is a treat to watch but
",The last episode left many questions unanswered.,/review/rw5731849/?ref_=tt_urv
12 June 2020,Krisp8888,6," Incredible first 7.5 episodes followed by an awful ending
","*Mild spoilers follow, I wish I had known going in...*",/review/rw5731849/?ref_=tt_urv
16 June 2020,oceanbluexo,7," Great but terrible ending
",WHY? why would they end the show like this?!!! Seriously had great potential for a satisfying ending and then out of nowhere they leave it like that? So disappointed.,/review/rw5731849/?ref_=tt_urv
29 May 2020,veronikave,4," I feel scammed
","Extremely disappointed after committing to this show over all the weeks. How can you not come up with an ending to reward the audience? Extremely vague and open to interpretation. Whatever you guys in the industry think, open endings is not what the consumers want. You got us hooked, took our time and money to watch the show, and can't even give us a decent resolution of the story? I will consider this experience when deciding whether or not to watch any future Apple original shows. Very disappointed taken how amazing the show has been until the last episode. Sounds like scam to me.",/review/rw5731849/?ref_=tt_urv
