Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 March 2021,TxMike,," It was the 1930s and the boy still dreamed of finding his father.
","There are several important characters but the story really revolves around two of them. Finn Cole plays 17-yr-old Eugene Evans, his dad was an alcoholic and left when Eugene was a small boy. Eugene got one postcard from his dad, praising the beaches on the Mexico Gulf Coast. As Eugene grew up with a stepdad he never lost his dreams of finding dad. In his dreamland.",/review/rw6285599/?ref_=tt_urv
15 February 2021,shawnmikedryer,8," Beautifully shot coming of age tale
","This love story is set during one of the toughest times of our history, The Great Depression. It follows Eugene Evans, a young man struggling to find his place in the world with big dreams to live a life of adventure. When the news hits of a bank robbery nearby with one of the fugitives on the run, this peaks Eugene's interest being that the fugitive has a large bounty for her capture. As fate would have it shortly after Eugene discovers the fugitive, Allison Wells, had taken refuge in his family's garage with a gunshot wound. Allison's nature is infectious and with the growing attraction and chemistry between the two Eugene becomes torn on how to proceed, claiming the bounty or breaking bad. Left with a choice that could forever change his life and all those around him in this coming-of-age tale.",/review/rw6285599/?ref_=tt_urv
12 November 2020,ferguson-6,6," outlaw on the run
","Greetings again from the darkness. Outlaws on the run have been fertile ground for movies over the years, and young director Miles Joris-Peyrafitte and writer Nicolas Zwart give the genre their best shot (pun intended). The easiest comparisons are probably Sam Peckinpah's THE GETAWAY (1972), Jonathan Demme's SOMETHING WILD (1986), and Arthur Penn's Oscar nominated classic BONNIE AND CLYDE (1969). However, given the style of this film, Terrence Malick's BADLANDS (1973) was likely more of an influence for the filmmakers.",/review/rw6285599/?ref_=tt_urv
18 April 2021,andreascaloni,7," GOOD MOVIE WITH GREAT PERFORMANCES
",Dreamland is about a teen bounty hunter that is torn between helping or capturing a seductive fugitive bank robber hiding in his small town during the Great Depression. The movie is a well made drama with an interesting direction. There are two great performances from Margot Robbie and Finn Cole. Dreamland isn't always gripping but it is still a good and entertaining ride.,/review/rw6285599/?ref_=tt_urv
12 October 2021,paulselly,7," Like someone has already written...
","This movie isn't bad at all... stop please to give reversed ratings! Referring to 2019 movies for example Shazam! Has 7 and this one 5,8.... It's ridiculous. This way You don't give a good service to the cinema world because it's like you're telling them ""We want and we like only silly movies!"".",/review/rw6285599/?ref_=tt_urv
10 August 2021,lukerandall,8," Don't understand the hate!
","Great performances from Margot Robbie, Finn Cole and Travis Fimmel.",/review/rw6285599/?ref_=tt_urv
20 November 2020,shresthadavid,7," Rare and underrated
","I don't know why meaningful movies like this gets so low ratings and low popularity these days while some big label Sci fi and stupid unrealistic superhero movies get huge attention for nothing. This movie, if you watch it carefully and with a little patience, goes straight to your heart and leaves you with a blend of emotions which you can't put into words easily. Yeah its somewhat slow paced and has some flaws throughout the story. But, movies like this ones are rare to find these days.",/review/rw6285599/?ref_=tt_urv
25 May 2021,KRhea33,8," Beautiful film
","Underrated. A treasure that deserves so much more than these mixed reviews. If you can put yourself into the shoes of this brother and sister, and the love they shared, their bond will carry you through this gem. And how lucky are we not to live in such terrible times. I felt I was there...",/review/rw6285599/?ref_=tt_urv
28 November 2020,nogodnomasters,6," There is no one in the barn
","The story centers on Eugene Evans (Finn Cole) growing up on a dirt and dirt storm farm in very rural Bismark, Texas. He was abandoned by his real father and his mother remarried the deputy who had a daughter. She narrates as an adult, hence we know she doesn't die. Eugene likes crime and detective stories. Allison Wells (Margot Robbie) is a bank robber also wanted for murder. Like Bonnie and Clyde and Harley Quin, she is out to stick it to the man. Eugene discovers her shot and in the family barn with a price on her head.",/review/rw6285599/?ref_=tt_urv
8 March 2022,JackBluegrass,8," Taking us back to Hollywood's Golden Era...
","Taking second place to acting here, this recent movie blew me away with its continuous creative and stunning photography, coupled with very talented editing. That pairing gave us an example of modern-day imaging, that is as brilliant as that pairing in Hollywood classics of the 1930s-40s, with that era's breathtaking arts and sciences. This somewhat often-told story has been boosted dramatically........by filmmaking! I was not aware of cinematographer Lyle Vincent's photography before this. But I'll be on the lookout on IMDB for other movies he has made.",/review/rw6285599/?ref_=tt_urv
31 July 2019,ayoreinf,9," This should be the launching pad of some brilliant careers
","I had hard time believing Mile Joris-Peyrafitte, the director of this brilliant film and Nicolaas Zwart, its script writer have done so little so far. Even Lyle Vincent who's responsible for the amazing cinematography of this move has a relatively short CV. It doesn't show, in fact it looks like the job of some old masterful veteran of the trade. When this superlative trio combines with Margot Robbie, who has already proved herself on screen many times in the last few years and with Finn Cole, Travis Fimmel Kerry Condon and the very promising Darby Camp (who's career is already longer than some of the other names I mentioned here). What we get is simply a very good movie that should serve as launching pad of many Hollywood careers.",/review/rw6285599/?ref_=tt_urv
18 November 2020,whitetowel-74786,3," Margot hits the lowbrow highway.
","With 'new' movie pickings obviously being slim this year thanks to covid, Dreamland was one oft-delayed flick I was really looking forward to checking out. Sadly, it's yet another in a long line of major 2020 filmatic disappointments.",/review/rw6285599/?ref_=tt_urv
25 November 2020,ahmadjassim-06226,8," Finally a good movie
","The film was beautiful and the acting was also beautiful and the director played a nice role in this film, but the story and writing could have been better, but the film in general was beautiful and I nominated Margot Robbie for the Oscar. Her acting was wonderful.",/review/rw6285599/?ref_=tt_urv
23 November 2020,HabibieHakim123,10," Very Well Done
","""I like this movie, kinda lost in the beginning but slowly it begins more understood, more fun, more enjoyable, and more excited, i like both of them, the act is good, they have the chemistry, i really enjoy this movie, i recommended""",/review/rw6285599/?ref_=tt_urv
1 December 2020,michaelh562001-900-127984,7," great movvie
",Margot robbie is fantastic and finn cole is perfect as eugene i like this movie and the story is well written and the acting is believable,/review/rw6285599/?ref_=tt_urv
19 November 2020,A_Different_Drummer,8," throwback
","... to the early days of cinema when a tight script, talented cast and first-rate director could make even the most simple story compelling. The cast is rock solid, Robbie a standout, and Miles Joris-Peyrafitte has mad skills. Fimmel, who stole the spotlight in Vikings and looked lost in RAISED BY WOLVES, steals all his scenes.",/review/rw6285599/?ref_=tt_urv
28 November 2020,MattHankinson,9," Brilliant
",This film over exceeded expectations. Was hard to hear dialogue in some places but that's only negative. Two great main actors - Finn Cole (peaky blinders) & Margot Robbie (wolf of Wall Street/suicide squad).,/review/rw6285599/?ref_=tt_urv
21 November 2020,idrismovloodi,6," Good Actors But poor story and directing
","The actors are very good, but the story of the film was not interesting. It is strange that during the film, Margo Robbie could not even walk due to a foot injury, but in the last sequence, the sequence in the forest, she somehow escaped as if she were a track and field champion.😄",/review/rw6285599/?ref_=tt_urv
21 January 2021,cruise01,4," Boring
",2 out of 5 stars.,/review/rw6285599/?ref_=tt_urv
