Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 May 2014,LeonLouisRicci,10," What a Shame...Ignored at the Box Office
","There is a World, in the Head of Walter Mitty that Does Not Exist, but don't tell Walter Mitty because that is His Escape.",/review/rw2929284/?ref_=tt_urv
20 July 2018,CountJonnie,8," Brilliant and motivating
","Ben Stiller is Walter Mitty, a man who looks as if he does nothing, is nothing and is perceived as nothing. Except for during his little fantasies in which he is a hero, but during these weirds moments in which he dozes off, others write him off.",/review/rw2929284/?ref_=tt_urv
18 June 2014,kosmasp,9," So many great moments
","Actually just one of them would make me want to give this a 10/10 and it is very close in my eyes. The scene I'm talking about involves a helicopter and a song that really got under my skin. If you don't feel a thing during that scene ... well I don't know what to say. The whole thing is build upon feelings and dreams. Obviously breaking out of them and making some of it reality (not the ones that can not be achieved obviously, like flying or other stuff) is the ultimate goal.",/review/rw2929284/?ref_=tt_urv
16 September 2014,Horst_In_Translation,8," Succeeds not exactly for realism, but has huge emotional impact from start to finish
","""The Secret Life of Walter Mitty"" includes a truly uplifting story and gives a push to everybody to live through their dreams instead of dreaming through their lives. If I had to pick my favorite component of the film, I'd probably go with the writing. However, I have to say that I also liked most of the performances. Stiller made a good job as the lead and so did Wiig. Adam Scott (""Parks and Recreation"") was a good choice for the main antagonist to Mitty and he made slick really work. He really nailed his scenes, also the condescending way in which he treated the dreamer Walter Mitty.",/review/rw2929284/?ref_=tt_urv
17 May 2019,thatgirlmyra-9946,9," An Uplifting Escape
","This movie was something I really related to. It shows a man who is perceived as nothing important and wants to change that. This movie could easily inspire anyone, and it's such a wonderful change from the typical sad and action filled movies now. I just love this movie and would highly recommend it.",/review/rw2929284/?ref_=tt_urv
22 March 2015,classicsoncall,8," ""Stay gold, Pony Boy!""
","This movie started out slow for me and was starting to get a bit tedious with Ben Stiller's portrayal of the title character, but the Greenland/Iceland trip managed to win me over. Kristen Wiig's take on Bowie's ""Space Odyssey"" was what was needed to add some poignancy to Walter Mitty's (Stiller) quest to discover himself, find adventure, and win over the unattainable love of his life.",/review/rw2929284/?ref_=tt_urv
1 July 2014,CalRhys,," An Utterly Mesmerising Spectacle
","'Tropic Thunder', 'The Cable Guy', 'Zoolander'... Ben Stiller has created some entertaining comedies, but 'Walter Mitty' is by far his most audacious piece of direction so far. The story is solid and the cinematography is stunning, Stiller has created an utterly mesmerising spectacle that follows the same basis of the 1947 classic starring Danny Kaye. Whilst I found the majority of the film charming and entertaining, it's the beautiful cinematography from Stuart Dryburgh that really sells this flick, and in my opinion should have been worthy of an Oscar- nomination at the least. One of the most entertaining comedy-dramas I have seen in recent years, a film that Stiller should be proud of.",/review/rw2929284/?ref_=tt_urv
12 June 2014,TxMike,," A really fine movie, Stiller and Wiig in non-comedic roles.
","I am not a big Ben Stiller fan, but I DO enjoy many of his movies. With that as background, I went into watching this one with a bit of apprehension, but overall I found this to be one of the better movies I have seen recently. And I see about 250 a year.",/review/rw2929284/?ref_=tt_urv
5 May 2015,filmfanperspective,8," In a busy world, Walter Mitty is our spirit animal (****)
","It might be difficult for choosy audiences with cynical dispositions, but if we can look past the pesky product placement in ""The Secret Life Of Walter Mitty"", we're left with one very, very good film. Ben Stiller, who usually seems to have little clue how to use his specific talents, gives his best performance to date in front of and behind the camera. This is a film that may not resemble the source material verbatim, but the spirit is clearly alive, with a few touches to modernize the idea. As a whole, it's a sweet, confident, and poignant film that has a lot to say, but I think it speaks only to those willing to listen.",/review/rw2929284/?ref_=tt_urv
25 December 2013,jon.h.ochiai,9," Present
","In Afghanistan on the snow covered Himalayan Mountains grizzled and world wise Sean O'Connell played by Sean Penn gazes at his coveted photo moment. Sean says that all he wants is to be ""in the moment"". Sean Penn is selfless gravitas in this moment as he confides in Ben Stiller's exasperated mild mannered Walter Mitty, who literally travels to the ends of the earth to track down the maverick old-school legendary photographer. Be in the moment and be present in life--are the eloquently poignant lyrics of Director Ben Stiller's ""The Secret Life of Walter Mitty"". ",/review/rw2929284/?ref_=tt_urv
