Review_Date,Author,Rating,Review_Title,Review,Review_Url
16 January 2005,enkephalin07,8," Good survival horror
","I had to sift long and deep for a good comment on this. Why all the hostility? I think there was great chemistry on this production and it shows; the actors and crew involved loved the game and had a good time making this. This movie successfully recreated the feel of the game, and because it kept exposition to a minimum of what you needed to know for this particular story and didn't borrow from or revise any of the original characters or settings, it supported and strengthened the franchise. No story is retold here, no words are wasted, the setting, feel and pace is familiar to fans of Resident Evil and yet it's perfectly accessible to those unfamiliar with the broader storyline. Not giving the fan-boys their favorite characters was a good choice since characters tend to get mangled in adaptation, and yet the fan-boys still complain. With this film you have a good, watchable story that can partake of the Resident Evil cosmology, showing it due respect.",/review/rw6625892/?ref_=tt_urv
6 March 2020,MR-ODIN,," Resident Evil
","Exactly the right movie at exactly the right time. The music and atmosphere, the sets and costume design, the special effects, the cast. Everything lined up perfectly for a young shaggy. That kid was a gothy nerd with love for video-games, horror, industrial music and Mila Jovovich. This movie managed to check all the boxes. Watching it now, it still pretty much holds up. Maybe a little cheesy but stylish and entertaining. 6 stars for watchability, one for nostalgia.",/review/rw6625892/?ref_=tt_urv
29 November 2007,teslaman,9," Solid!!
",As a big fan of splatter and horror films i was gladly surprised when i watched this. I haven't played the game so i had no idea what to expect and had nothing to compare with. I really feel that this pays homage to the old zombie films at least to an extent. The zombies here are a little bit faster though.,/review/rw6625892/?ref_=tt_urv
8 November 2020,repojack,8," Don't listen to the critics -- great flick
","I originally watched ""Resident Evil"" at a movie theater when it was first released in 2002. I hadn't played the games. There was no Rotten Tomatoes and I didn't read reviews back then so I went in blind. And I utterly enjoyed the movie: the story, the action sequences, the underground ""Hive,"" Mila Jovovich and Michelle Rodriguez kicking serious ass, and more.",/review/rw6625892/?ref_=tt_urv
8 October 2003,cherold,7," Finally, a video game adaption done right
","This movie means business. Quick disaster with a mystery to it, jarring deaths, naked Milla, all in the first few minutes. It keeps up the pace throughout. In terms of critical comments, yes, you don't really care about the characters, but so what? How often do you really care about the monster fodder in horror films? And true, it wasn't a literal working of the movie, it didn't take place in a mansion and it didn't involve exploring lots of rooms and solving puzzles. That's because it's a movie. A literal translation of Resident Evil would probably be really dull. Games and movies are very different mediums. I don't think some people here understand that. One guy said he thought the movie rocked but after repeated viewings he thought it sucked, and that's a video game player attitude - movies don't have to have good replay value, it's okay to enjoy them once. I only enjoyed Star Wars once, but I don't think it sucked, it just didn't have a lot of depth. Not every movie has to be Citizen Kane. ",/review/rw6625892/?ref_=tt_urv
22 June 2007,DVD_Connoisseur,," A proper popcorn sci-fi horror movie
","First things first, I really like ""Resident Evil"". While I can't comment on the success of the conversion to a movie as I've never played any of the numerous video games, the film is beautifully shot and has an urgent pace. It also has a great looking cast, a thumping soundtrack and plenty of boys' toys.",/review/rw6625892/?ref_=tt_urv
7 January 2008,mbworm,7," Scary and atmospheric
","""Resident Evil"" was a smart and scary game. The darkness and the surprises were huge scare factors. In that famous game, you find yourself trapped in a mansion crawling with the undead because of a mistake made by the Umbrella Corporation.",/review/rw6625892/?ref_=tt_urv
31 January 2017,claudio_carvalho,8," Great Sci-Fi Action Horror Film
","In the near future, the powerful Umbrella Corporation has a hidden research facility called The Hive underneath Raccoon City, where the scientists develop genetically engineered drugs for medical purpose and biological weapons. After stealing the lethal T-virus, a thief contaminates The Hive and the artificial intelligence Red Queen seals the Hive and kills all the staff and guinea pigs. A woman called Alice (Milla Jovovich) awakes naked in a bathroom of a mansion without memory and soon a commando led by a man called One (Colin Salmon) subdues her and another man called Matt (Eric Mabius), who claims to be a cop. Alice learns that she is a security guard with her partner Spence (James Purefoy) assigned to protect the entrance to The Hive and her memory will return in an undefined period since she was affected by a gas. The Red Queen had a malfunctioning five hours ago and had shut down the facility and killed everybody releasing a lethal gas. Now they need to shut down the Red Queen and restart her systems. They use an underground train to reach The Hive and the Red Queen asks then to leave the place. However Kaplan (Martin Crewes) disables the Red Queen opening the doors in The Hive. Soon the group learns that the staff has turned into zombies and now they are under siege of the zombies. Most of the commando dies and only Alice, Spence, Matt, Rain (Michelle Rodriguez) and Kaplan survive. Now they need to find a way to escape from The Hive since the system will shut down the exits in a short period. Who will survive?",/review/rw6625892/?ref_=tt_urv
29 April 2008,Dragoneyed363,9," Non-stop fun and unimaginable good, bloody action
","Resident Evil is probably my favorite zombie movie next to Planet Terror. It had flaws, some acting was poor, but still was one great time from start to finish and excellently crafted entertainment!!!!! It had wonderful action, nice gore and the performances overall were exceedingly decent for what they needed to be for a video game adaptation. I especially love Michelle Rodriguez's portrayal of Pain; amazing character. ",/review/rw6625892/?ref_=tt_urv
13 January 2005,FiendishDramaturgy,8," Resident Evil: A Project in Terror.
","To be honest, the first time I saw this, I didn't care for it. It did not follow the story line of the game, and that made me very unhappy with this endeavor.",/review/rw6625892/?ref_=tt_urv
23 August 2019,drpainters,8," I just freaking love these movies
","All the talk of no females in movies but you have these and underworlds. Critics just slam them though rather then enjoy for what they are, ridiculous action/horror movies . That become more cheesy and 3d as they go along . Series even has enough of an ending. Love watching all these through and 3d copies are a bonus.",/review/rw6625892/?ref_=tt_urv
