Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 September 2021,planktonrules,10," Excellent but not for all audiences
","A few words of warning about ""Prisoners"" before you try watching it. It's a very intense, violent and disturbing movie to say the least. While it is ranked #190 on IMBD's Top 250, it's NOT a film for everyone. . I mention this just to warn you...to think about this before you watch.",/review/rw2963254/?ref_=tt_urv
2 June 2014,kosmasp,10," More than just one meaning
","If you think of someone being a prisoner, you automatically might think of someone behind bars. But apart from a physical prison, a prisoner can also be trapped mentally, either by his own doing or by someone else. This movie that starts off pretty light gets very heavy. And it is carried by its actors. Gyllenhalls characters might seem odd and out of place at the beginning, even like a cardboard cutout. But he does have more to do as the movie progresses.",/review/rw2963254/?ref_=tt_urv
24 April 2017,Hitchcoc,9," Hard to Watch but Really Well Done
","Two very good actors ply their trade very well. Jake Gyllanhaal plays a policeman who is utterly driven in his quest to find two kidnapped little girls. Hugh Jackman plays a survivalist who ""prays for the best but expects the worst."" During Thanksgiving dinner, two little girls go up to a rusty old RV and shortly thereafter, disappear. The prime suspect is a mentally handicapped young man, the driver of the RV. But the girls are nowhere to be found. He is held for 48 hours and then released. It is then that Jackman takes matters into his own hands. He kidnaps the young man and, convinced he knows everything, tortures him and beats him for days. Meanwhile, another suspect arises but Jackman can't handle this and keeps pounding away. There are numerous twists and turns that seem to work well. Gyllanhaal is a troubled guy himself who has some anger issues that he keeps under wraps. I had not heard of this film and it was a treat to view it.",/review/rw2963254/?ref_=tt_urv
21 November 2013,Michael_Elliott,," Wonderful Mystery That Keeps You Guessing Till the End
",Prisoners (2013) ,/review/rw2963254/?ref_=tt_urv
28 November 2017,classicsoncall,9," ""Finish all the mazes and you can go home.""
",I didn't realize until I came to some of the reviews for this movie that it was two and a half hours long. It didn't seem like that while watching as one gets so engrossed in the story that time manages to fly by pretty quickly.,/review/rw2963254/?ref_=tt_urv
22 September 2013,YJLcool,8," a gritty, incredibly well-acted, suspenseful, thought-provoking crime drama thriller
","Prisoners is a gritty, incredibly well-acted, suspenseful, thought-provoking crime drama thriller. The film mainly focus on the choices taken and the consequences faced by the characters when worst things happen to them.",/review/rw2963254/?ref_=tt_urv
17 September 2013,ClaytonDavis,8," 'Prisoners' is a tightly wound thriller featuring career bests from Hugh Jackman and Jake Gyllenhaal...
","There is a sensitivity that Director Denis Villenueve and writer Aaron Guzikowski inhabit in bringing their newest film ""Prisoners"" from Warner Bros. to the screen. Starring an Academy Award nominated cast that includes Hugh Jackman, Jake Gyllenhaal, Terence Howard, Maria Bello, Viola Davis, Oscar-winner Melissa Leo, and Paul Dano, this is a smartly constructed and emotionally resound mystery thriller that is thoroughly enjoyable.",/review/rw2963254/?ref_=tt_urv
27 March 2020,Diablo1616,8," One of the most chilling thriller movies I have ever seen.
","""Prisoners"" is rich in compelling narratives and stellar performances from the ensemble cast. This movie had me love and hate Hugh Jackman's character which was so complex to the point of making me question my moral standards because I found myself empathizing with his character. On the other hand, Jake Gyllenhaal did a marvelous job on playing the frustrated cop: complete with all the intensity of his eyes and his intuition. While Gyllenhaal had more screentime as the lead, Jackman's performance really stood out for me.",/review/rw2963254/?ref_=tt_urv
20 September 2013,Potty-Man,10," A brilliant masterpiece of atmosphere and suspense
","This was one intense movie-going experience. Throughout the entire running time of the movie, the suspense never lets up.",/review/rw2963254/?ref_=tt_urv
9 September 2013,gregsrants,8," Jackman Shines in Villeneuve Classic
","Prisoners, the new film from Canadian director Denis Villeneuve (Polytechnique), is a top notch nail-biting crime-drama that is as good a theatre as modern Hollywood has the ability to produce. ",/review/rw2963254/?ref_=tt_urv
