Review_Date,Author,Rating,Review_Title,Review,Review_Url
13 September 2019,kjproulx,10," This Film Tore My Heart Out
","I've said this before, but I will also never be tired of saying it; A24 is easily the best studio out there today, in terms of releasing quality content. Their endless devotion to finding original and exciting projects has always been an admiration of mine. Each year, they seem to be building a bigger catalogue of movies. Waves is one of their latest films to be produced and will hit theatres this November. Here's why, even though it may be a tough pill to swallow at times, you should absolutely be seeking it out.",/review/rw5302151/?ref_=tt_urv
29 April 2020,Xstal,8," Powerfully Reflective & Thoughtful...
","This treasure of a film explores the emotions, circumstance and consequence after a moment of chaos, that moment when in an instant the world begins to crumble and the lives and directions of so many are instantly and irredeemably altered. An original story, beautifully shot, elegantly performed and imaginatively directed. Left me asking the question: are any of us as bad as our worst fifteen minutes?",/review/rw5302151/?ref_=tt_urv
30 November 2019,WriterDave,10," A Devastating Work of Art with Glimmers of Truth and Hope
","After my wife and I walked out of the movie theater, completely devastated (in the best possible ways) by what we had seen, there was a group of teenagers (the perfect audience for this film) buying tickets and I couldn't help but think about how lucky they were to be seeing Waves. It's the type of film that if one sees it in their youth, it could change how you view movies, art...life.",/review/rw5302151/?ref_=tt_urv
10 August 2020,Osibob,8," Waves of Emotions...Mostly Sad
","Upon finally completing this ordeal, I was literally depressed. I have so much to say about Waves, but can't seem to find the words. So, I'll just say it was spectacularly acted, written, and directed. Shults was clearly inspired by the style of Malick, whom he's worked with on a number of occasions, but unlike Malick, he knows how to make his art entertaining.
The only reason I gave this film a chance was that it had Lucas Hedges in it and he's yet to be in a bad picture, so I figured what the heck. Boy am I glad I gave it a shot, great film, better than I could've hoped for...highly recommended.",/review/rw5302151/?ref_=tt_urv
20 April 2020,SnoopyStyle,8," family study
",High school senior Tyler Williams is on top of the world. His family is supportive and well off. He has his friends and a beautiful girlfriend. He's a star wrestler at school. His father (Sterling K. Brown) pushes hard but he does it out of concern. A nagging injury turns out to be more. A series of self-inflicted problems and unforeseen difficulties come at him in waves.,/review/rw5302151/?ref_=tt_urv
7 February 2020,Bertaut,8," Bleak, but never despondent; audacious and confidant filmmaking
",Writer/director ,/review/rw5302151/?ref_=tt_urv
15 February 2020,Cineanalyst,6," Maundering Moods
","There's some exquisite lighting effects in ""Waves,"" from a crackling fire to police light bars and rainbows, which is complimented by occasionally kinetic montage and hand-held camera movement. Quite a few shots tracking behind figures' heads in this one. And all of the bobbing of the frame coalesces with the rhythm of the soundtrack. The narrative is something of a rigmarole, though. Following the oscillations of a suburban African-American family in crisis, from teenage son wrestler abusing painkillers for his injured shoulder while fighting with his girlfriend over pregnancy, to the daughter dating one of her brother's teammates, I guess, while the father and mother struggle with their relationship and business. The melodramatic climax actually occurs in the middle of the picture, and it's intense. Even the aspect ratio closes in from the usual rectangle to more of a square tending to frame the characters' faces.",/review/rw5302151/?ref_=tt_urv
25 January 2020,ronakkotian,9," Raw and poignant
","A24 is the best film company right now in my opinion. Whilst their films don't earn much money, the quality of them beats any big Hollywood film. Waves is an experience that not many people will witness but the people who did will find it insane.",/review/rw5302151/?ref_=tt_urv
27 February 2020,truemythmedia,10," Why Did This Movie Get So Little Love?
","Wow! I was not expecting to have to adjust my Top 10 picks for 2019 but I just might have to after finally seeing ""Waves,"" albeit a little later than I wanted. I just wasn't expecting to like it so much being the follow-up for Trey Edwards Shults' ""It Comes at Night"" which I did not enjoy.",/review/rw5302151/?ref_=tt_urv
1 December 2019,Red_Identity,," More than your average family drama. Cinematic, experimental, and most of all, deeply moving
","I'm in love with this film. I was highly anticipating it after the fantastic trailer, but even I was surprised by the film it turned out to be. Emotionally moving and devastating it surely was, but the technical filmmaking on display here continues to prove that Trey Edward Shults is a director to watch for. I'm also in love with his two prior outings (Krisha and It Comes at Night), but for me this may be his best yet. This could have been made in a more typical straightforward way and still been powerful because of the strong writing and acting at the core, and yet Shults wanted to do more than that. That may mean that he may frustrate viewers and may prove to make his film more divisive, but as far as I'm concerned, the experimental-like cinematography, score (as well as the existing musical pieces) and editing really make this become a near-masterful film. It all culminates to create the most emotionally taxing and moving film I've seen this year.",/review/rw5302151/?ref_=tt_urv
25 February 2020,westsideschl,6," Winning
","First, our father coaching his son in wrestling says the goal is to win. I disagree, the goal is to do your best. What the Greeks called Arêté (excellence).
Second, as to the hit. I thought the sentencing was way too harsh given it was his only incidence of that nature & that following the slap he had that momentary loss of control (anger). The supposed emphasis on compassion should have been shown in understanding this event.
Third, as to how the story was presented I thought the excessive use of music (32 songs) took away from the importance of the stories.",/review/rw5302151/?ref_=tt_urv
11 November 2019,Turfseer,5," Dynamic, kinetic look at domestic violence in the first half gives way to lugubrious meditation on loss in the second
","Trey Edward Shults' certainly has come a long way since Krisha, his low budget debut in which he conscripted family members to craft a well received but rather one note meditation on a family outsider. But here with Waves, his universe has expanded exponentially, to the point where he's now grappling with headier themes including domestic violence and the emotional after effects of loss.",/review/rw5302151/?ref_=tt_urv
