Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 September 2018,Irishchatter,9," Absolutely think one punch man is excellent
","Honestly when I first heard of this anime, it was shown as a ""ok"" meme gif on Facebook and made me fall in love with the show as well as its main characters. I like how Saitama is this laid back hero but at the same time, does his best to be badass and save the world. I even like his robot companion Genos, he's also likeable too and actually kind of sweet for a tough ass looking hero himself. As well as that, he cares about Saitama and that really stands out with the show!",/review/rw3569035/?ref_=tt_urv
9 November 2015,Alan_H4,9," Blown away - Like Saitama the anime itself has no limit's to its awesomeness!
",I am truly tempted to give One punch man a 10 but in my opinion there is no perfection. There is near perfection and one punch man is that. ,/review/rw3569035/?ref_=tt_urv
15 November 2015,facecht,9," One-Punch Dude
","A new perspective in the Japanese Anime. No mainstream characters, not a cliché story or plot, it has a great potential in becoming even better, personally I didn't read the manga(the comic) and in my opinion this anime show is really watchable and I recommend it to everyone no parental advisory, call them even and watch it together.",/review/rw3569035/?ref_=tt_urv
8 October 2015,kaangunderen,10," Completely Hilarious and Full of Quality
","One Punch Man is one of the funniest and most entertaining anime series I've ever watched in my entire life. Even though it is a newly started anime, the first episode was highly anticipated throughout the anime community, and it was definitely golden in my eyes, with high quality animations and a hilarious story line. The main character, his enemies and the life he lives is a complete mockery of other popular anime plots, both from recent and present anime's. The lines and the dialogs in the episodes are full of puns and jokes, with a satiric sense of comedy injected into them. I highly recommend that you watch this anime, as it will definitely at least bring a smile to your face, and you won't regret the time you spent to watch it.",/review/rw3569035/?ref_=tt_urv
14 February 2022,Rectangular_businessman,9," Thoughts on the first two seasons
","The first season was excellent, with very great animation and impressive action sequences, being an amusing parody of action anime shows and the superhero genre.",/review/rw3569035/?ref_=tt_urv
25 October 2015,Thomas_sharma,10," A sparkle of sure brilliance
","This series has blown me away within the first 3 episodes, it's hilarious, the action is great, the characters are interesting and not to mention its original design. The main thing that i love about this Anime is the potential it has to be something amazing due to the Manga being so excellently written. Its been a long time since i've seen an Anime that has peaked my interest so much, if you are a fan of Anime you will not be disappointed! Saitama (the main protagonist) is hilarious. Anime seems to have peaked recently due to the standard being set by shows such as Attack on Titan and I believe this show will set a new standard for Animes similar to its genre.",/review/rw3569035/?ref_=tt_urv
27 January 2020,baumhenrik,10," Epic
","One Punch Man has the perfect balance between powerful planet bursting action scenes and a chilled main character that doesn't seem to bother about anything going on. The animation of the first season is top notch the way the images display the impact and speed of the fights is just mind blowing and a must watch for every animation lover.
Also there's this great humor and perfect timing that makes One Punch Man almost a parody for so many other Anime shows. When Son Goku's gotta train his butt off to defeat his enemies Saitama is already over this point. He just needs one punch to blow away whatever's standing in his way. This idea is just brilliant to me and works surprisingly well.
Watch this show you won't regret it.",/review/rw3569035/?ref_=tt_urv
29 May 2019,drewsterwang,7," First Season Is a Masterpiece
","One Punch Man is a send-up of anime series from the past that turns tired tropes on their head and breaks up the regular formula seen in series such as Dragonball Z. The main character, Saitama, doesn't have to struggle, level up, or learn new special attacks to defeat the villains over dozens of episodes. His difficulties are mainly interpersonal and societal as he tries to fit into a world of over-the-top heroes and monsters while remaining hilariously deadpan and clueless in contrast. Highlights are not the fights and monsters, but the depiction of bureaucracy and boring details of everyday life that Saitama goes through. Season 1. 10/10.",/review/rw3569035/?ref_=tt_urv
8 May 2018,mhorg2018,10," Absolutely Hysterical!
","One of the best superhero satires ever made, One Punch Man is, basically, the story of a guy who wills himself to become the most powerful hero of all time. I've only seen the first season, and I hope to see more. One Punch spends most of his time bored - as few if any can survive one of his blows. My second favorite character is the short tempered green haired telekinetic heroine, Tornado. This really has to be watched because it is so damn funny.",/review/rw3569035/?ref_=tt_urv
5 November 2015,newindex,10," Interesting Plot. Likable Characters. Amazing Animation!
","One Punch Man follows a hero that can end all of his fights with one punch, and that makes him so frustrated. Now you might be thinking, what's so interesting about that? Don't you want to see the hero struggling to kill his enemy? Well not this time. Here, you will see a super-overpowered hero struggling to find a stronger enemy, struggling to feel the thrill and adrenaline of the fights he once felt when he was weak. Was his training to become strong not worth it after all?",/review/rw3569035/?ref_=tt_urv
6 July 2019,gav_c,9," Hilariously good
",I had to watch this with me living in Japan and everyone mentioning wanpanman. From the start I found it hilarious with Saitama deadpan attitude on everything and how bored he his on fighting like it's an inconvenience. I'm not a massive fan of anime but this is good. I recommend it to everyone.,/review/rw3569035/?ref_=tt_urv
