Review_Date,Author,Rating,Review_Title,Review,Review_Url
21 July 2009,blanche-2,8," Wonderful new series on Lifetime
","""Drop Dead Diva"" is a new series on Lifetime. The pilot is very enjoyable, mainly because of the star, Brooke Elliot, who is fabulous. She plays a brilliant, highly successful attorney, Jayne, who pays no attention to her appearance - she's on the heavy side, and her hair is long with no style. One night, she stays late at the office, and a man, angry with one of the partners, comes in with a gun. She is killed. At the same moment of her death, a shallow, pencil thin, blonde beauty named Deb is driving to an audition to be a prize demonstrator on The Price is Right and crashes while putting on lipstick. Upset that she's dead, once in heaven, she hits a ""return"" button when the check-in person isn't looking. She ends up with Jayne's body, Jayne's brains, and her own memory.",/review/rw5342402/?ref_=tt_urv
25 September 2009,audrulyte,7," Excellent and really enjoyable
","I simply love this new TV show and wish it would last for more than just a season or two like some other great shows I loved and that were off. Anyway, let's talk about Drop Dead Diva. Actually, my first reaction to the show, or frankly to the TITLE of the show, was kind of ""What a nonsense they're putting on"". Hello!? I could not have been wrong more here. Not a nonsense. Quite on the contrary. One can not only get a nice law story per episode, but also gets a share of really great performance here as well as really lovable characters. I loved and love a lot of TV shows (most of them already ended), but since my late teens I for the first time am really thrilled with the main character of the TV show, as well as I can well put myself in almost every position she's in (except, huh, for having your soul trapped in a wrong body). It's like in many TV shows and movies we only get these 'super white big smile nice body' actors and actresses which all look great and at the same time almost the same and just as unreal as Santa to any grown-up, but this time we are getting this new character which is awesome, beautiful, and at the same time just like me, you or someone next to you. And I really love that. Long live the show as there is one fan for you here already",/review/rw5342402/?ref_=tt_urv
30 October 2009,MattDevivre,7," DDD has its charm !
","Even though I'm not among the typical target group of this show I like ""Drop Dead Diva"" season one. From my perspective this show did a lot right, starting with a more than just likable, talented cast and nicely written often touching stories.",/review/rw5342402/?ref_=tt_urv
20 January 2019,ModGoviya,10," Who saw the REAL Deb; Grayson or the Heavenly Records?
","I absolutely loved this show for all the reasons others who have given high ratings did. That being said, I do have one confusion.",/review/rw5342402/?ref_=tt_urv
25 July 2009,ZoZo13,7," Brooke Elliott is a Delight!
","I rarely watch Lifetime because their programs, in my opinion, always seem like the same, lame, made-for-women schmaltz. But I have to state that ""Drop Dead Diva"" was so very good! We've seen many movies with this plot: two people die at the same time but one person's soul enters the other's body and has to live that life. Brooke Elliott is delightful as the plump woman who winds up with a thin, empty-headed, self-absorbed woman's soul. I love the way she discovers her new self after a tragic accident and is quite convincing. Elliott is so cute as she enters this new world as a thin soul in a plump body. Her laugh is contagious. Her pain is convincing when in a moment of clarity she finds out how other people suffer. The producers of this show so far have not made it too preachy (don't judge people by their appearance), or too lightweight (they don't spend too much time on the thin woman's life). If this program continues to focus on ""Jane"" in the here and now without lots of flashbacks on the other woman...they have a hit on their hands. I love the thin friend too. She's adjusted and accepted her friend in a new form.",/review/rw5342402/?ref_=tt_urv
31 July 2020,saundrakuhl,6," This Was An Excellent Show Up To Season 5, Episode 3-5ish
","I have seen this show, now for a second time and seriously, the last 1.5 season and episodes are a far, far stretch of reality. No one that I know would graciously grant my best friend the sperm of my ex-fiancé, the acceptance of their sexual relationship and their upcoming nuptials. All of this on top of the death and return of Graysons character as a inmate on death row. I don't know if they lost writers, focus or became bored with the official direction of the show, but they lost all of their sparkle with the dream, singing and special guests that I thoroughly enjoyed, including the late Joan Rivers. Don't watch the last season as I have made the mistake of doing so which has now left a bad taste in my mouth!!",/review/rw5342402/?ref_=tt_urv
26 June 2014,margil-1,4," The End a Disappointment
","They took a good show and murdered it. I was particularly disappointed that Jane did not do the singing in the last show!!!!! The story line became so stupid it was beyond fantasy. It should have ended with the wedding and if they wanted it to end with the babies, how about showing some newborns and the cast gathered around the mom. If that put too much focus on Stacy, then have Jane hold one kid and say the things they said going into her house. They could talk about their own kids while holding the new baby. I was all a big mes. At least they found someone for Kim at the end. I kept thinking of the show when it started. It was really good. I enjoyed the singing when Jane would sing like a regular person not in a dream. Why did they stop her from singing? The first three seasons were the best.",/review/rw5342402/?ref_=tt_urv
20 July 2009,flowerwings,7," Really great!
","I caught the pilot of this show today without very high expectations, but it was actually really great and really amusing, with a fun soundtrack and interesting setting. Brooke Elliott is great as Deb in Jayne's body, the switch she portrayed between the characters was subtle but apparent, and she is very likable. The supporting cast are also all very strong. The writers do well in drawing the audience in, I already care about these characters after one 40 minute episode. Having told myself I am going to watch much less TV, and dropping about 50% of the shows I used to watch regularly, the fact that I plan to continue watching Drop Dead Diva shows how entertaining the pilot was. I'm looking forward to seeing more of what this show has to offer, and I hope it continues to deliver and develop into a great series.",/review/rw5342402/?ref_=tt_urv
5 October 2009,Golden_Lily,10," Brooke Elliott, the new ""It"" Girl
","Like Tom Hanks, Brooke Elliott has ""that certain something"", that very few actors have. It has to do with Likability. She exudes a very pleasant charm. She makes it easy to believe that a sweet, model-aspiring airhead has inhabited a high power attorney and has access to her rapid-firing brain cells. I like it that the Jane Bingum character has a golden moral compass and yet is playful like a Sex in the City girl. Kudos to the creator and writers for creating a character that is like a real person. The Jane Bingum character reveals great sensitivity and vulnerability along with areas of great strength and fortitude. This is no ""one note"" character like the many that usually populate series TV shows. Drop Dead Diva is both high drama and wry comedy by virtue of its excellent writers. But, where would this show be without Brooke Elliott? It will be interesting to see what she does next. I predict a smart producer or director will cast her in a movie on the big screen very soon.",/review/rw5342402/?ref_=tt_urv
1 July 2011,breezymoon1,10," Deep, engaging and fun!
","Between the excellent cast that seems to mesh so well together, the clever, poignant and fast-paced fun scripts, and constantly interesting subject matter, this show is ready to become Classic TV.",/review/rw5342402/?ref_=tt_urv
