Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 February 2020,MR-ODIN,," X-Men
","With Matthew Vaughn at the helm, X-Men: First Class is a classy, fun time that brings the best out of it's strong cast. The action scenes and dialogue pop with a ferocity, and breaths life into a incredibly engaging storyline.",/review/rw2443862/?ref_=tt_urv
30 August 2020,UniqueParticle,10," Fantastic X-Men prequel
","Exhilarating action, formidable foes, well written, and highly entertaining throughout! I love Matthew Vaughn films or least most of them he's very good at his craft. Kevin Bacon is always great at villain roles along with the rest of the cast is so good. Part of me remembers seeing this in the theater that was fun especially then I had people to go with, in the last several years I mostly go by myself I hope that changes eventually either way X: First Class is exactly what you want it to be!",/review/rw2443862/?ref_=tt_urv
4 June 2020,Med-Jasta,10," Possibly the best X-Men movie
","After X3 and Wolverine Origin our expectations for the X-Men franchise were pretty low if not gone completely. This seemed like a last ditch effort by Fox to make something out of X-Men. When pictures were being released I laughed at them with my friend. Beast looked weird and everything looked cheap. I went to the theater thinking, ""I don't know why I'm seeing this it's gonna be stupid.""",/review/rw2443862/?ref_=tt_urv
26 May 2011,rachel-673-19946,9," A prequel that does not, in any way, suck. Amazing, isn't it?
","There came a point, about half way through this film, when I emerged from the world of wonder on screen, took stock of my emotions in that instant, and realized that yes, by God, I am LOVING this movie.",/review/rw2443862/?ref_=tt_urv
2 June 2011,the_rattlesnake25,8," A franchise is reborn...
","Beginning with a crime-thriller and a fantasy film on his directorial résumé, it is safe to say that Matthew Vaughn may have already found his niche genre in the super-hero field despite only directing four films in seven years. His first super-hero project, 'Kick Ass,' opened in 2010 to solid critical acclaim and a finalized gross of three times the film's ordinary $30 million dollar budget. And after only two years, Vaughn returns with 'X-Men: First Class,' an origins story to accompany the Bryan Singer/Brett Ratner X-Men trilogy released between 2000 and 2006. It's intelligent, enthralling, well-acted, stylishly directed, and most importantly by focusing heavily upon the relationship between the two central protagonists, it does not feel like a conventional super-hero film.",/review/rw2443862/?ref_=tt_urv
1 June 2011,RikerDonegal,10," Superb! Rock-solid script, two amazing lead performances (the film is basically a bromance).
","What you need to know about this movie before you go and see it.  1. Michael Fassbender and James McAvoy are superb. Each one, alone,  would have made the movie terrific, but together? Forgetaboutit! Every  step of the way, every scene, every emotion, these two men own the  movie and watching their bromance is a treat from start to finish. Make  no mistake about it, even when the world is on the brink of utter  destruction what really matters is how these two men relate to one  another. And when you watch the movie, you will care.  2. Everyone in the cast is good. Kevin Bacon has never been better, and  Jennifer Lawrence is wonderful. Rose Byrne and January Jones aren't  given much to do, Ray Wise and Michael Ironside only have a few short  lines, but - across the board - the entire cast are a delight.  3. The story is tight. You've got a bad guy with a plan, which he sets  about executing in A/B/C fashion. Against him, the good guys work  together. Their motivations are different, of course, but they pretty  much want him stopped so they unite. That's it.  4. Charles and Erik are fascinating characters. They debate. And  viewers can debate endless about them, and about who is right, etc. As  you watch you desperately wish they could stay friends, but you  understand why they ultimately can't. Even if they themselves, in these  early days, don't understand it yet. To have that so perfectly captured  in a Summer Blockbuster movie is part of what makes this a treat and a  future classic. But, aside from their relationship to each other, the  movie takes time to make each of them interesting in his own right. We  get to see Charles as a teacher, for instance, and come to understand  how he impacts upon the lives of those he tutors. Some of Erik's best  moments (away from Charles) are in his comments to Mystique about her  appearance, making it clear that this man has more to him than the  shadow of his past.  4. Most supporting characters have very little screen time. But that's  okay, since this isn't THEIR story, really. Of the bunch, it is  Mystique and Beast who are best served. Both have terrific character  arcs that - in a lesser X-Men movie - might have been the highlight of  the film. Here, their stories serve as quality background material to  the main event (Charles and Erik). Beyond that, we just learn enough  about everyone to know what they can do and like them a little bit,  mostly through their banter and most obvious character traits. Once  scene where most of the supporting characters are clearly terrified  will certainly go a long way towards making you care about them for the  rest of the movie. On the downside: Shaw's two henchmen don't get  ANYTHING to do except use their powers, and at the end of the story we  know as much about Emma Frost as we did at the beginning. But these are  the exception, not the rule.  5. Visually, this movie is a treat. The FX are good, no surprise, but -  much better - the actual sets/costumes are beautiful. Whether it's a  remote CIA lab or a lap-dance club, whether it's the Magneto helmet or  Mystique's everyday clothes, you are always admiring 'the look' of  what's on screen.  6. There are action scenes all during the movie, but - having said that  - the movie builds as it goes. The first half is more  story-heavy/character-heavy so that when the action REALLY starts we  care about everyone. And, again, it works. Even with the scant details  given their characters, when Banshee and Havok (for example) go into  battle you are invested in them to a certain degree.  7. There are surprises. Deaths, betrayals, cameos and name-dropping.  But, as well as being cool, all of this makes perfect sense for the  story/universe of the movies.  Superb! Rock-solid script, two amazing lead performances (the film is  basically a bromance). Haven't been this excited about the X-Men  franchise since X2: X-Men United.",/review/rw2443862/?ref_=tt_urv
31 May 2011,McGrit,," X Marks again marks the spot! Great Film!
","There are plenty of big action scenes throughout but it's the first half of the film that really impresses. Establishing these characters and the entire universe is done remarkably well and in a remarkably moving manner. This new spin on familiar ""bad guys"" Magneto and Mystique does give the actions and emotions for the characters a new level of appreciation and helps give them so much more depth and pathos. Both sides of the fence (Xavier's vision and Magneto's contempt) are advanced and the brilliance of the plot is that both sides are understandable and relatable. The viewer can simply sit and watch it unfold but also be emotionally invested in the journey. During the second half, plot threads move towards resolution and action picks up. Xavier is a shining example and his journey throughout the film matches that of Erik.",/review/rw2443862/?ref_=tt_urv
1 June 2011,moviexclusive,9," A first-class summer blockbuster that packs awesome action, great character drama and outstanding lead performances to restore the X Men franchise back to glory
","The X Men movies followed a similar trajectory to another Marvel property ""Spiderman""- the first movie was a surprising blast, the second built on the merits of the first to deliver ever bigger and better thrills, but the third just knocked the wind out of the sails. And so like any self-respecting franchise would do, you go back to the beginning and start all over again- well, in this case, much much further back to the beginning.",/review/rw2443862/?ref_=tt_urv
27 May 2011,Joejoesan,8," The best prequel movie ever made... period
","Normally prequel movies are made because the main characters of the first movie died (or in the end achieved their goals) and the producers still want to make money out of the franchise. Think Butch Cassidy & The Sundance Kid, Psycho, the (still to be made?) I am legend and of course George Lucas's Star Wars saga. X-Men First Class also falls into that category, but I cannot imagine that anybody will be complaining about that. Director Matthew Vaughn created a great, thrilling and sometimes even moving picture that without any doubt will get raving reviews and be a huge commercial success. God knows both movie and director deserve it.",/review/rw2443862/?ref_=tt_urv
3 September 2011,claudio_carvalho,7," The Saga Begins
","In 1944, in Poland, the boy Erik Lehnsherr unleashes his magnetic power when his mother is sent to a concentration camp. The evil Dr. Sebastian Shaw (Kevin Bacon) brings Erik to his office and kills his mother, increasing his abilities through anger. In New York, the wealthy Charles Xavier (James McAvoy) meets the mutant Raven (Jennifer Lawrence) and invites her to live in his manor.",/review/rw2443862/?ref_=tt_urv
