Review_Date,Author,Rating,Review_Title,Review,Review_Url
29 May 2021,dilloncamp,8," Better than they say!!
","This film was a wild ride. And yes it's not scientifically accurate, but so what?",/review/rw3059105/?ref_=tt_urv
22 March 2020,swordsnare,7," Luc Besson's 'Lucy'.
","I enjoyed this for the most-part. The momentum in combination with the 90 minute runtime, kept myself entertained for the entirety. It's far from perfect, but it's entertaining. Then again I didn't labour over the science to over complicate the overall enjoyment. The climax is probably the most contentious and unfavourable issue, but I appreciate the intent of Luc Besson's vision.",/review/rw3059105/?ref_=tt_urv
4 August 2014,gogoschka-1,," An original take on the superhero movie; silly perhaps – but great fun
","After the many scathing reviews, I went to this film with very mixed feelings. I certainly didn't expect serious Sci-Fi – after all, I had seen the trailers – but I actually wasn't quite sure what to expect (and I'm not sure I would have gone to see it at all, If it hadn't been directed by Luc Besson). Well, maybe it's just because I expected to be disappointed, but I was pleasantly surprised. 'Lucy' delivers a fast paced, crazy ride from start to finish, and I'm frankly a bit shocked so many people seem to hate this film with so much passion. Hadn't they seen the trailers? I thought it was clear from the get-go that this film was first and foremost meant as entertainment (and it certainly doesn't pretend to be the new '2001').",/review/rw3059105/?ref_=tt_urv
4 February 2018,latinfineart,9," A spectacular film- visually stunning - very through provoking
","Unless you are nearly brain dead, you will find this film stimulating. If you are a sci-fi buff like me, even more so. A film like this reminds me of how starved some of us are for films of this sort. This film was brilliantly directed by the French Maestro. Beautifully acted, by Scarlotte Johansson. ",/review/rw3059105/?ref_=tt_urv
21 April 2015,SnoopyStyle,6," Fun action thriller turns into mumbo jumbo
","Lucy (Scarlett Johansson) is studying in Taiwan. Her new friend Richard tricks her into delivering a suitcase. It's filled with a new synthetic drug CPH4. She is kidnapped by kingpin Mr. Jang and forced to be a drug mule surgically inserted into her abdomen. She is kicked by her abductor and the drug seeps into her system. Professor Norman (Morgan Freeman) has a theory about the human mind. Most use only 10%. The drug opens up Lucy's mind turning her into a superhuman as she uses more and more of her brain. With the help of Paris police detective Pierre Del Rio, she tracks down the drug from the other mules and contact Norman to transcend her humanity.",/review/rw3059105/?ref_=tt_urv
6 June 2020,rwmitchem,10," 1 Star people are ignorant
","Did the title get you here? Good. This is important. No movie deserves 1 star.
Perhaps if someone were to film dog poop with their 2009 cell phone and shake the phone excessively every other minute, then maybe that movie would deserve 1 star. Maybe.
People that give films 1 star are being intellectually dishonest. If a movie has a premise, which Lucy does, and it has a decent flow of a story line, and it does, then it's already achieved more than 1 star.
One review on this app the person said that they hadn't seen the movie, but gave it one star because people use 100% of their brains. Well it's obvious this person has never seen other sci-fi films. There is no such thing as a Wookie, lightsabers or fast than light travel. You know, fiction.
Seriously, people that give one 1 star reviews don't deserve the technology they used to write the review.",/review/rw3059105/?ref_=tt_urv
24 November 2014,facorread,10," This is a complete myth! The fun part is: What if it was true?
","This film has greatly polarized critics for its use of controversial concepts. I am a scientist and of course this movie gives me mixed feelings about its science. But I'm sure about one thing, that this is fiction. I am able to watch a fiction movie, am I not?",/review/rw3059105/?ref_=tt_urv
26 May 2021,ultra-taya,9," Super dynamic and intense action film
","I dont get the low Ratings. This film is not a philosophical work, neither it is an intelligent written story about our capabilities. Well these topics are part of the story of course, but the focus is on action sequences. Lucy is full of action, very dynamic and intense. I couldnt get my eyes off the screen for the whole film.",/review/rw3059105/?ref_=tt_urv
4 October 2014,Dr_Sagan,," Lucy took the drugs, Luc Besson got high...
","Obviously the main purpose of Luc Besson with this was initially to please the audience. The poor scared girl who takes revenge on the bad guys that hurt her. But with the ridiculous premise ""what can we do if we acquire the 100% of functionality of our brain"" the movie tries to be philosophical and ...fails miserably. What is the meaning of life? The purpose of humans?",/review/rw3059105/?ref_=tt_urv
6 October 2014,sonekken,8," A mix of science and fiction?
","I think bad reviews come mostly from people who want to show other how good their science is. Fair enough, this film starts from the premise that humans only use 10% of their brains and Lucy can break this barrier and reach a whole new level in human evolution. This leitmotiv was quite smartly picked to raise interest,although scientifically inaccurate. However this film excites the mind of those who REALLY know physics and know how few limits there are in what we can achieve in pushing our evolution through science to become indistinguishable from magic. ""Any sufficiently advanced technology is indistinguishable from magic."" I personally enjoyed every bit of the movie and, as it took me to a journey into the far far future, where humans can overcome their humanity and become real Gods.",/review/rw3059105/?ref_=tt_urv
12 August 2022,ma-cortes,6," Spectacular superheroine movie packed with suspense , frantic action , and state-of-art FX
","This impressive comic-book style tale brought to big screen contains thought-provoking science-fiction , fantasy , noisy action , battles , thrills , violent fights and results to be pretty entertaining . Lucy (Scarlett Johansson) is a smart , feisty college student who suddenly finds herself involved into a horrific drug and human trafficking situation . Later on , her brain is permanently altered when the fantastic drug CPH4 is released in her body . Lucy being re-animated due to the incredible synthetic drug , getting superpowers , breathtaking force , fast healing and undergoing unimaginable changes. When she gets a kick to her abdomen, the drug starts to leak into her body , and she begins using more than 10% of her brain and finds that she has less than 24-48 hours to live . With her new abilities , as soon as Lucy comes to learn that not everything he learns can be trusted , subsequently executing a merciless revenge . She's a slain woman and when his memories flood back and recalls the man that killed him , she gets away of the facility hellbent on vengeance , only to discover that there's more to the conspiracy than she originally thought . Along the way , Lucy finds the one neuro-scientist and professor Norman (Morgan Freeman) who can help capture her super brain phenomenon for the world , before the nasty villain , Mr. Jang (Choi Min-sik) , kill her in the process. She has the Power ! . The average person uses 10% of their brain capacity. Imagine what she could do with 100%. Open your mind, expand your potential, evolve !.",/review/rw3059105/?ref_=tt_urv
