Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 October 2019,Clive_W,8," Season 1 review only at this time
",For season 1 only as yet to watch season 2.,/review/rw4967785/?ref_=tt_urv
7 October 2019,alfredsmith,9," Just watch first season
","The first season of ""The Terror"" is superb. I binge watched it over three nights and I regard it as essential viewing. There are many great reviews here so I won't bother with much detail but it is brilliant TV. Marvelous characters and a great story set in the eerie Arctic. However, I must say the second season is a completely different story that is poor viewing and is so bad that you should simply give it a miss. So as far as ratings go, season one deserves 10/10 and season two barely deserves 2/10, but the first season is so good it makes the average 9/10.",/review/rw4967785/?ref_=tt_urv
27 March 2018,childers-3,8," Atmospheric and creepy
","This miniseries about two crews looking for a passage from England to India and China through the frozen north is very promising. I watched the first installment last night and was impressed with the acting, story and characters. I will watch future episodes in the dark. My tv doesn't have the best picture and I feel I may have missed some very subtle moments. It is beautifully filmed and the acting is top notch! I just wish I had a better tv! This series deserves it.",/review/rw4967785/?ref_=tt_urv
30 September 2019,interaxcontracts,6," Telling it the way it is.......Season 1 a must! Season 2 a bust......!
","The first season was atmospheric, a constant sense of foreboding and hopelessness permeated by and air of creepiness. The acting and casting was spot on and the season evolved really nicely.",/review/rw4967785/?ref_=tt_urv
4 April 2018,lquinlan-17636,10," My new favorite current show!
","So when I describe this show to people, I can't help but throw it into the category of quality tv with the likes of Breaking Bad, Fargo, The Sopranos.... This miniseries is well written and developed with caliber acting. I will be quite surprised if this show isn't up for a ton of nominations during award season. ",/review/rw4967785/?ref_=tt_urv
10 April 2018,mohahaa13,9," A frigid voyage
","Going into the series with no expectations or impressions from the novel, and barely reading about the series at all before binge watching it, i was expecting a high paced master and commander type of series. And while it's set in roughly the same time period, it's unlike anything i was expecting. It's quite suspenseful and chilling. Much thanks to the great acting, casting and details. The ambient soundtrack (R.I.P Marcus Fjellström) is fantastic and really helps with the eerie feeling. There were some moments it made me feel really at unease.
Right up there with the top series for sure. Well worth a watch.",/review/rw4967785/?ref_=tt_urv
24 March 2021,Sleepin_Dragon,9," A Deadly Voyage.
","This is a remarkable (first) series, which takes on a journey of suspicion, disaster, tragedy and terror. The first episode didn't exactly captivate me, but by episode three I was obsessed, and subsequently had to binge watch the whole series.",/review/rw4967785/?ref_=tt_urv
7 June 2018,SnoopyStyle,8," great first season
","This is a fictionalization of Captain Sir John Franklin's lost expedition to find the northwest passage through the Arctic in 1845-1848. He has two ships, HMS Erebus and HMS Terror, filled with the latest technology. Captain Francis Crozier (Jared Harris) piloted the Terror and led the expedition after the death of Franklin (Ciarán Hinds).",/review/rw4967785/?ref_=tt_urv
30 March 2018,Liberty-AstonMartin,10," Chilling and Atmospheric
","The Terror's compelling story is perfectly supported by the dark, chilling, and perfectly eerie atmosphere. The veteran cast members, usually seen on UK shows, are excellent. Particularly, Harris and Menzies carry the weight of their character's situation very well. This show is mildly high brow in a good way. Fans of Taboo, Fortitude, Requiem, and Trapped may enjoy. The tension and chill is wonderful. Absolutely love this program.",/review/rw4967785/?ref_=tt_urv
23 August 2019,abampi,9," Season 1 ONLY
","I really can't understand why AMC decided to use the same title for two completely different series without any relation between each other (new plot, new directors, new actors...) - it's confusing, misleading, totally pointless.
Given the above: the first season is a masterpiece. One of the top 4-5 series of the year.
This second season is a very average product, deserving 6, maximum 7/10.
Pointless to rate them together with a shared vote.",/review/rw4967785/?ref_=tt_urv
