Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 March 2012,mambx,10," An interesting take...
","I'm one of those people who, when a season of a TV show is cancelled or finishes, go on the prowl to look for my next show to watch religiously. This is one of them.",/review/rw5895211/?ref_=tt_urv
27 January 2016,adamww-71263,10," Why is it always the good shows that get cancelled
",I've never seen a show that has been cancelled at a worse time. The way season 2 ended was awesome and I was so looking forward to season 3 but 'ey.,/review/rw5895211/?ref_=tt_urv
28 July 2020,cherub32169-879-61941,10," Ended WAAAY too soon
","This was a really good show and I honestly know that because I'm watching it (again btw) nine years after it was on tv and it's STILL engaging! Great chemistry between characters, good story line and really good banter. It's a shame with some of the crap on today. This was definitely worth watching.",/review/rw5895211/?ref_=tt_urv
28 March 2012,omars1123,10," Captivating show!!
","Breakout Kings has to be one of the most well-written shows in past years. The depth of each character is played out with flawless precision. I was a bit skeptical of the show at first, but once I started watching, there was no turning back. Each episode is purely original without any repeating plot structure. Being someone with an interest in neuroscience and psychology, I find the concept of appointing Cons to catch Cons extremely intriguing. Add on the psychological expertise of one of the team members, it becomes gripping to delve into the minds of not only escaped cons, but convicts in general. ",/review/rw5895211/?ref_=tt_urv
7 March 2011,faithofculda,10," Actually, It's Really Good
","Breakout Kings is the show that i've been waiting for a long time. I enjoyed the prison break, first two seasons at least. And my expectations weren't that much from BK because before the show starts, i knew there's going to be a show like Prison Break but without constantly going story, after and after episodes waiting to resolve some points about whats going on and what will happen. That's why i like BK so much. ",/review/rw5895211/?ref_=tt_urv
11 April 2011,ariannafelidae-1,9," Totally worth it.
","The more I see of this show, the more I like it. The characters are each individual (meaning well-written and acted personalities) with diverse backgrounds and issues all their own. One of the hooks (I believe) is that each member of the team is a black sheep in some way...finding out what each of them have done (or can't do?) is probably what will keep most people watching. The actors have a wonderful chemistry, as well! ",/review/rw5895211/?ref_=tt_urv
2 June 2011,writesromine,10," Breakout Kings
",A squad of U.S. marshals team up with ex-cons to work together on tracking down prison escapees.,/review/rw5895211/?ref_=tt_urv
21 March 2011,Sirus_51,8," To catch the Worst...send the Best.
","A former criminal Kingpin, a genius gambler with issues and a hot headed bounty hunter who has killed multiple people in cold blood.",/review/rw5895211/?ref_=tt_urv
4 July 2016,mccabe1965,4," I can see why it got cancelled
","The whole first season, no one wore bulletproof vests. The plots were weak, the story lines were unbelievable. they portrayed prison guards as disrespectful and at times abusive towards prisoners. Top notch team. One was an academy washout. One lived in a halfway house, one had a serious heart problem and three were Convicts.",/review/rw5895211/?ref_=tt_urv
16 September 2019,chishaacem,10," Why was this show cancelled?
","This show deserved atleast 5 seasons. The storyline was well written, each episode had its own plot with a main plot developing throughout. What's not fun about cons catching cons. It baffles me how shows like this get canned while mindless dross is left on for years. Netflix should have picked this up",/review/rw5895211/?ref_=tt_urv
21 August 2013,SnoopyStyle,7," US Marshall gets cons to track cons
","Deputy U. S. Marshal Charlie Duchamp leads an experimental program recruiting convicts with special skills to track down criminals on the run. He is killed to start the second season. Former Marshall Ray Zancanelli is revealed to have a criminal past and given the chance to take over after Duchamp's death. Shea Daniels, Erica Reed, and Dr. Lloyd Lowery are convicts with specific skills. Assistant Julianne Simms is a former student struggling with anxiety issues.",/review/rw5895211/?ref_=tt_urv
22 May 2011,ria_j_phantom,10," Best show of 2011
","IT TAKES A CON TO CATCH A CON - Driven by the fact that there are few things more dangerous than a prisoner who has just escaped, and tired of following protocol and resorting to outdated methods of law enforcement, veteran U.S. Marshals Charlie Duchamp (Laz Alonso) and Ray Zancanelli (Domenick Lombardozzi) are taking an unorthodox approach to their work: using former fugitives (Jimmi Simpson, Malcolm Goodwin & Serinda Swan) to catch fugitives. ""Breakout Kings"" follows U.S. Marshals Charlie Duchamp (Laz Alonso) and Ray Zancanelli (Domenick Lombardozzi) as they form a special task force composed of the three most elusive convicts Ray ever captured: Lloyd Lowery (Jimmi Simpson), a former child prodigy and behaviorist/psychiatric expert whoexcels in psychoanalysis; Shea Daniels (Malcolm Goodwin), an ex-gangbanger who knows how to work the system, both in prison and on the street; and Erica Reed (Serinda Swan), a sexy expert tracker who learned her trade from her bounty hunter father. Charlie and Ray also employ the services of Julianne Simms (Brooke Nevin), a civilian who acts as the ""funnel"" for the group – all information, tips and data go through her.",/review/rw5895211/?ref_=tt_urv
2 June 2011,han_crazy,9," Should definitely watch this!
","There is virtually nothing wrong with this program. The cons are likable the story lines aren't recycled and the idea is creative, it's not predictable. The relationship between characters helps you connect easily, even the Marshall's have a story that in some way makes them less boring and all for the rules. Makes them as interesting as the cons who come across well, they are treated as they are suppose to as they are violent, they are real criminals they aren't in prison for petty crimes. Which makes the whole story more interesting to watch and intriguing when it gets down to what they will do. Overall it has the right amount of humour for this kind of program and the right amount of action and suspense not to make the story boring and repetitive.",/review/rw5895211/?ref_=tt_urv
1 April 2014,s-alba,7," Better then expected and action packed from the get go
","Its one of those series that once you start watching it, you find yourself watching episode after episode. From the start of each episode the action starts at the off set. Fully loaded you are sure to enjoy each episode from start to finish. Brilliantly written!! Good characters and very good actors. I call breakout kings the show stopper. This is due to the fact that i have stopped watching all my other series at the moment to continue watching this hence calling it the show stopper.. prison three brings T Bag back to life. T Bag is a character from Prison Break, which i might add that if you liked prison break then breakout kings is definitely the new series for you.. I have nearly finished the first season and cant wait for the second season.. Netflix is the place to find all the episodes. Enjoy",/review/rw5895211/?ref_=tt_urv
