Review_Date,Author,Rating,Review_Title,Review,Review_Url
4 October 2005,claudio_carvalho,7," Delightful and Sweet Fantasy
","On her thirteenth anniversary, the teenager Jenna Rink wishes to be a successful single woman of thirty. Her dream comes true, and on the next day she wakes up older and powerful. However, she becomes disappointed with herself, since she is an awful colleague in her work, she has no friends and no contact with her parents, and her best friend is going to marry another woman, and tries to be thirteen again and rebuilt her life.",/review/rw4604487/?ref_=tt_urv
30 July 2009,insomniac_rod,8," Funny comedy with a slight touch of fantasy. Recommended.
",This is a very entertaining movie oriented for a teenager audience that is able to enjoy romantic light comedies mixed with fantasy and some situations that deal with the imagination of a young girl.,/review/rw4604487/?ref_=tt_urv
22 May 2020,GailTaplin-98447,9," Exceeded my expectations!
","It's a teen film and Im struggling to find things to watch in lock-down so anything almost goes. But this was great! Fun, funny, happy, silly, lovely costumes, lovely Mark Ruffalo and Jennifer Garner is terrific in it. Loved it.",/review/rw4604487/?ref_=tt_urv
23 April 2004,anhedonia,7," Garner shines, Ruffalo's wonderful and that makes all the difference
","Having criticized the writer of ""Connie and Carla"" for not recognizing the writers of ""Some Like it Hot"" in the credits, I'd be a hypocrite not to fault the writers of ""13 Going on 30"" for not thanking the writers of ""Big"" (and probably ""Vice Versa"" and all those switch-comedies of the 1980s).",/review/rw4604487/?ref_=tt_urv
6 November 2006,mercywriter,10," Wonderful!
","In a time when most movies turn out to be a waste of my time, what a pleasant surprise to find this gem. On the surface, it might look like just another romantic comedy. But there was a depth to this movie that surprised and captivated me. A lot of good messages for young girls, 13, 30, and any age before or after. And what an interesting commentary on society. Through the eyes of an innocent 13 year old, who just happens to have the body of an adult, we see just how shallow, false, and empty modern society can be.",/review/rw4604487/?ref_=tt_urv
3 May 2018,jmazznyc,7," I Never Realized what a Schmuck I Actually Am
","Until I forced myself to sit down and watch this entire movie. Completely prepared to despise it after reading all the negative reviews; but am a big Ruffalo fan, and have always liked Jennifer Garner. After the first 20 minutes, my tv remote channel change button was almost completely pressed until Michael Jackson's huge ""Thriller"" party number commenced. Admittedly, I'm a big '80's fan; which of course factored into my thorough enjoyment of this flick! Madonna, Pat Benatar hits...awesome dude!! Honestly Ruffalo and Garner had great chemistry and gave sweet performances. Any movie that makes me laugh and cry is a keeper. No spoilers; but if you loved ""Big"" (who didn't...and yes a better movie), you will also love ""13"". You'll just need to give it a little time :)",/review/rw4604487/?ref_=tt_urv
28 April 2004,Rogue-32,6," Jennifer Garner rules
","It's impossible to imagine this film with anyone other than Jennifer Garner in the lead role - she shines so brightly and so brilliantly in every scene, elevating what would most likely have been a flat and shallow affair without the seemingly-effortless magic of her performance.  ",/review/rw4604487/?ref_=tt_urv
4 August 2004,=G=,6," Fun and frolicky
","In ""13 Going On 30"" Garner is a 13 year old with a guy best friend and an impossible dream of becoming one of her school's ""in"" crowd. She pulls a ""Rip Van Winkle"" and suddenly finds herself 15 years older, with boobs, and the editor of a glitz and glam NYC femme fashion magazine. The rest is a fun frolic about coming to grips with what is important in life...what's steak and what's just so much sizzle. Garner and Ruffalo work well as the leads in this good old family values bop flick which keeps the momentum up 'til the very warm and fuzzy end. An unabashed chick flick, ""13 Going On 30"" should be an enjoyable watch for teen females and anyone in the mood for a romcom who can still remember what it's like to be 13 going on 30. (B-)",/review/rw4604487/?ref_=tt_urv
19 September 2010,lisafordeay,8," A Cute body swapping fantasy that will delight the younger viewers. One of my favourite romantic comedies next to While You Were Sleeping
",Edited on March 06th 2021.,/review/rw4604487/?ref_=tt_urv
8 December 2004,christian123,6," Jennifer Garner makes this movie watchable
","Jennifer Garner plays Jenna, a 13-year-old girl who makes a wish to become older, and she finds herself thrust forward 17 years into the body of a gorgeous 30-year-old executive. Trying to discover what happened, she gets back in touch with her old high school friends, who've all lived 17 years of life, while she is still just a girl in the body of a woman.",/review/rw4604487/?ref_=tt_urv
