Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 January 2022,andrewchristianjr,7," DISAPPOINTING FINALE.
","The acting is phenomenal, especially from Olivia Colman and Jessie Buckley, and it does an excellent job of getting the audience to understand the stress of parenthood. However, the film tried to build up so much tension that never reached its breaking point. Rather, it fizzles out in a very disappointing finale.",/review/rw7729979/?ref_=tt_urv
1 January 2022,drednm,," Annoyingly Vague with Lousy Ending
","This is a long and confusing story about an academic (Olivia Colman) on vacation in Greece whose idyll is interrupted by a loud and sinister family from New York City. One of the women has a small child and it causes Colman to have a series of flashbacks to when she had small daughters who smothered her while she was a doctoral candidate (or a young professor, hard to tell).",/review/rw7729979/?ref_=tt_urv
4 January 2022,SnoopyStyle,7," uneasy
","College professor Leda Caruso (Olivia Colman) is vacationing in a sparse Greek resort. A large noisy family invades her peace. She has a confrontation with Nina (Dakota Johnson), a young mother in the group. When Nina loses her girl, Leda manages to find her. They start an uneasy friendship. In flashbacks, a twentysomething Leda (Jessie Buckley) has a troubled relationship with her two daughters.",/review/rw7729979/?ref_=tt_urv
15 January 2022,zkonedog,4," Flashbacks Were All That Compelled Me (And That's Not A Great Formula)
","The storytelling apparatus for ""The Lost Daughter"" is actually pretty simple: a present-day timeline is set up, and then supplemented by flashbacks that flesh out the backstory of the main character. In this specific case, however, I only found myself compelled by the flashbacks, and almost nothing happening in the main timeline. That's not a great formula for film success.",/review/rw7729979/?ref_=tt_urv
17 December 2021,ferguson-6,8," past and present collide on an island
","Greetings again from the darkness. There are so many things that go unspoken about parenting, and first time writer-director Maggie Gyllenhaal specifically focuses her lens on the pressures of motherhood, by adapting the 2006 novel from the anonymous and talented and mysterious Italian writer Elena Ferrante. Of course, we are all aware of Ms. Gyllenhaal's fine work as an actor, yet it's almost beyond belief that this is her debut as a feature film director. The source material is strong, but Ms. Gyllenhaal, along with a terrific performance from Olivia Colman (Oscar winner, THE FAVOURITE, 2018), turn a coastline vacation into a mesmerizing psychological case study.",/review/rw7729979/?ref_=tt_urv
30 January 2022,classicsoncall,7," ""We are obliged to do so many stupid things.""
","I think there are many nuances one can ascribe to the title of the picture, because after all, every female is someone's daughter, whether acknowledged or not. For a small length of time, a young girl at the beach actually does get lost for a while, but in her calm, assured manner, Leda Caruso (Olivia Colman) locates the child, and returns her to an anxious extended family. But even prior to that event, Leda took an interest in the girl's mother (Dakota Johnson), while drawing comparisons to her own life and the way things turned out for her as a forty eight year old professor of comparative literature. It almost looks as if Leda wants to warn Nina (Johnson) not to make the same mistakes she did in raising her own daughters, which she abandoned for a time due to her own selfishness. A telling moment in Leda's past concerned a flashback in which her older daughter cut a finger as a child, and Leda quite pointedly refused to kiss the crying girl's cut, even though she begged her mother numerous times. That struck me as going out of her way to neglect the child's immediate need for recognition, later highlighted in another flashback during Leda's affair with Professor Hardy (Peter Sarsgaard), who quoted French philosopher Simone Weil - ""Attention is the rarest and purest form of generosity"".",/review/rw7729979/?ref_=tt_urv
6 January 2022,kosmasp,9," Left out cold
",Maggie Gyllenhall - an actress who as many before her now went behind the camera. Her directorial debut is quite the heavyweight and a movie that will divide those who watch it. On so many levels this was not an easy one to take on and I think she chose this project because of this and not despite of it.,/review/rw7729979/?ref_=tt_urv
31 December 2021,tm-sheehan,5," Not impressed- good acting though in boring film
",My Review - The Lost Daughter Netflix,/review/rw7729979/?ref_=tt_urv
1 January 2022,tkdlifemagazine,5," Stong Performances Are Not Enough To Salvage This One
","It is hard to stop watching this movie but I am not sure I can say I liked it. It caught my attention because of the stellar critic reviews and the setting, Greece. The film is well done. It is well acted. Olivia Colman, Dakota Johnson, and Ed Harris, among others are very engaging was the story of a deeply troubled woman on summer holiday in Greece unfolds. This is not a big, over the top movie, but it is not simple. Colman, is by definition, an unreliable narrator. While we learn a lot about her past and her troubles we have great difficultly understanding what is truth and what is illusion-I think the line is blurred. We also have a great difficulty understanding why Colman is the way she is, and maybe that isn't relevant to the story; however, I felt myself desiring to know more about what she was feeling and thinking. Perhaps reading the source material would enlighten me. Perhaps it would not. Regardless, the movie's performances and direction moved me but, in the end, I felt unsatisfied.",/review/rw7729979/?ref_=tt_urv
8 January 2022,imseeg,6," "" I am an UNnatural mother"". Portrait of a mother who abondoned her children and carries that burden till this very day.
","This story needs an introduction: A mother has abondoned her young children decades ago, because she was suffocating and depressed. The young mother simply could not cope with the daily rut and responsibility of taking care of her own children.",/review/rw7729979/?ref_=tt_urv
