Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 August 2022,siderite,5," Boring film misusing cast
","If you expected Gina Carano or Matthias Hues to kick ass or Nick Searcy to act, you will be sorely disappointed. Instead you will get Carano as a mother of two sitting in a lone house waiting for her husband when a band of sadistic ex soldiers come and attempt to capture her. I don't know how military service was back then, but five armed men should have done the job in five minutes. Instead, they try to wiggle themselves into the house, trick the woman, wait her out, convince her, etc.",/review/rw8247046/?ref_=tt_urv
20 June 2022,yermiyahu-47448,4," An incredibly dull western
","Lemme just say, I love that Daily Wire is getting into entertainment. I've been a subscriber for over a year, and I'm not leaving any time soon. However, this movie is not good.",/review/rw8247046/?ref_=tt_urv
20 June 2022,jerrycoliver,4," Swing and a miss
","This was...very slow. Very very slow. Even by 1970's western standards, it's slow. It seems to be the trend now for westerns to move at a snail's pace. If you compare it to ""The Power of the Dog"", they're about even though this movie has some action sequences, they both dwell on things a lot longer than they should. In ""The Power of the Dog"" they tried to be profound, and though they didn't achieve that goal, this movie wasn't even trying to be profound.",/review/rw8247046/?ref_=tt_urv
28 July 2022,Ckn48,3," Slow & Boring
",Homestead under attack by lawless cowboys when the native americans treated the homesteaders with respect. There is not much to this movie and it never gets going.,/review/rw8247046/?ref_=tt_urv
20 June 2022,b_um_p,3," Embarrassing and Frustrating
",I very much wanted to like this western from Hollywood outsiders Daily Wire and Gina Carano.,/review/rw8247046/?ref_=tt_urv
16 September 2022,lehman-94-760319,2," A Daily wire, Cowboy Cerrone, Gina Carano Western
","What could go wrong?? Movie is about 107 minutes and not one punch or kick are thrown by either Cowboy or Gina. Also there is basically a complete lack of any story. Did anyone whoever shot a gun oversee this movie? A shotgun does not miss everything from 15 feet. I would give it a 1 but that is reserved for movies that are somehow worse. There is absolutely no redeeming value to this film and anyone who gave it a higher score is insane. It's a waste of any amount of time but luckily I skipped ahead 15 seconds at a time just to see if any fighting would happen. I mean what's the point of casting these two if they aren't going to throw down? The Daily Wire isn't going to add any subs with quality like this. You have $, spend it properly and do better.",/review/rw8247046/?ref_=tt_urv
16 June 2022,notemanmusic,4," Could have been so much better
","I love westerns and wanted to love this one but, like the previous film Shut In, there are just far too many stupid choices and, in this case, bad shots, So many bullets fired, so few targets hit. Frustrating.",/review/rw8247046/?ref_=tt_urv
16 June 2022,andy-564-367996,5," I wanted to like this
",I cant stand movies where things just don't make sense. When plot armor is used then common sense isn't used. Frustrating when things happen that just dont make sense. All signs of a poor director cant tell a story. Gina (and i like her) didnt put in the best performance. Just because I'm rooting for these daily wire movies doesnt mean we shouldn't hold them to a decent standard. Ive never seen so many bad shots or decisions not to shoot when anyone would shoot just because of plot.,/review/rw8247046/?ref_=tt_urv
29 June 2022,jselden-01484,2," I Love the Daily Wire and I Hate This
","The entire plot turning moment where Haddie decides to pull a gun on her GUESTS who hadn't shown any inclination towards violence, was absurd. I shut it off right after that. It is a major problem. The film would have been so much better if the villains were actually PROPER villains and ended up attacking her and her family. Because then, we would actually hate the villains and be rooting for her. Instead, Haddie is essentially the villain of the story! I feel like I'm taking crazy pills here! She put her entire family in mortal danger over what exactly? Because she saw scalps? But with the information that they were bought from traders, she had no idea whether or not the men in the house were killers. They didn't do anything wrong! LOL. WOW! It's laughably bad. Additionally, by stealing their weapons, she gave them almost no choice but to attack the home to retrieve them. If someone stole my dead father's guns, I would do anything to get them back. Every step she made was unwise and foolish. I felt no empathy for her at all. What a shame. This is bad writing.",/review/rw8247046/?ref_=tt_urv
1 July 2022,degrees-33365,1," So bad it hurt
",This was a truly terrible movie.,/review/rw8247046/?ref_=tt_urv
11 January 2023,haddixboi,1," Redundant and Poor Quality
","If you want to be bored by this pitiful excuse for a movie then you will for sure love ""Terror on the Prairie."" This movie is devoid of anything that makes modern cinema any bit interesting. Horrible casting, dull and tired acting, and worst of all it isn't even a good western movie. I wouldn't even consider this a western movie because its so bad that i started watching Star Trek because it felt more like a western movie than this sorry excuse for a movie. Do not watch this movie if you value your money and sanity. To the studio and directors of this movie. Quit. If you want to be bored to death then go ahead and watch this movie, an alternative that is more exhilarating is watching oil paint dry.",/review/rw8247046/?ref_=tt_urv
16 January 2023,TheDonkadonk,2," Cerrone isn't bad but Carano is awkwardly awful
","I will start with the good, then the bad, then the ugly...",/review/rw8247046/?ref_=tt_urv
23 July 2022,stevelivesey67,4," Wanted to love it but couldn't. A disappointment.
","Seen all the DW films so far. Some are good, some are disappointing. This is one of the latter.",/review/rw8247046/?ref_=tt_urv
4 July 2022,Luv2Spooge,2," Terrible Western
","First off, I'm a big Gina fan and I wish her all the best of luck and hopefully she'll have better opportunities in the future. That being said, I think a lot of people these days evaluate things base on politics and that is really sad.",/review/rw8247046/?ref_=tt_urv
