Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 February 2003,mighty_pickman,10," brutal & compelling
","One of the best films of the 1990's, a brutal, brilliant & compelling film from New Zealand.  Brilliant performances from Morrison, Owen & Kerr-Bell as Gracie.  Morrison as Jake is one of film's most fearsome characters, full of true anger & hate but by no means a one-dimensional character.  As see the characteristics that made Beth fall in love with him in the first place, the passion, the charisma. A great script based on the novel of the same name. A must see 10/10",/review/rw0345028/?ref_=tt_urv
15 October 2003,manalone923,10," Beautifully acted, powerfully moving
","I don't know where to start. When I'm asked of my favorite movie ever, this is ALWAYS the first to come to mind. This is one of the finest movies I've ever seen, and I've seen too many to count. ",/review/rw0345028/?ref_=tt_urv
21 November 2003,FADrury,," A Powerful Depiction of a Family Coming Apart
","There are films where you can see extensive carnage and it doesn't move you. This is a film where you see a man hit his wife and it hits you in the gut like you're being hit yourself.  An excellent depiction of the impact of anger and violence on the members of a poor family.  In this case, they happen to be Maoris living in New Zealand. The father dominates the family because he is so powerless in the other facets of his life.  He's addicted to boozing and carousing and the only way he can really express himself is with his fists.  The wife fights back, but can be beaten into submission. But she's also allowed herself to be seduced by the boozy lifestyle and fears responsibility.  The center of the family is the oldest daughter (13), who is really the only one who can communicate with all the other members. The boys are either lost in life or lost in their own rage.  The youngest daughter is simply too small and clings to her sister. It takes a tragedy to allow some of these individuals to reach out for each other and try to re-create a form of family life.  A very powerful film, not for the faint of heart.",/review/rw0345028/?ref_=tt_urv
24 September 2005,ExpendableMan,9," Portrait of the self-destructive family
","Twenty minutes into this movie, Jake Heke hits his wife in the face. It's not a slap, but the full power of a clenched fist delivered into her jaw. She smashes backwards into a wall and collapses, cursing at him. Jake then picks her up and beats her some more, dragging her bloodied form all across the house and utterly mauling her, destroying lots of the furniture, trashing the living room and breaking glass over the poor woman's frail body. Their friends quickly scatter and retreat out the front, while upstairs the children huddle together in tears, 13 year old Grace Heke more than likely thinking of her earlier remark that ""people show their true feelings while drunk."" In terms of grabbing the viewer's attention, this entire sequence has more effect than being punched in the gut.",/review/rw0345028/?ref_=tt_urv
18 September 2003,=G=,8," A great film
","""Once Were Warriors"" tells of one woman's struggle to free herself and her family from the fist of abuse, the grip of oppression, and the slow assassination of self esteem at the hands of an alcoholic  husband. This film's story of a Maori (indigenous New Zealanders) underclass family shows the male turning to violence and self destruction to vent frustration with his plight while the female draws strength from her cultural heritage in an attempt to save her children and restore their dignity. Gripping, intense, and powerful, ""Once Were Warriors"" is a critically acclaimed must see for anyone into serious human drama. (A)",/review/rw0345028/?ref_=tt_urv
22 August 2003,kiwibeca,10," Just like to clear up some misconceptions.
","I've been reading the comments that people have made on this brilliant piece of film making that makes me proud to be a kiwi. Although I'm not Maori, I have somewhat of an understanding of, and a very deep appreciation for Maori culture. It is after all a major contributor to the uniqueness of New Zealand, and it's what a lot of the tourists come here to see/experience.",/review/rw0345028/?ref_=tt_urv
18 November 2003,Films_Rule,10," Absolutely Brilliant
",This movie is almost 10 years old and I just saw it tonight and I was left emotionally drained. This movie is one of the best I have ever seen the acting was first rate and the emotions left me drained I would recommend this to anyone but beware or it's stark reality. This is a wonderfully directed and acted film.,/review/rw0345028/?ref_=tt_urv
10 June 2009,Emunah,10," The most devastating, depressing, and disturbing film I've ever seen in my life.
","I'm too speechless to say anything at length. The movie was... gut wrenching. I don't know if I can even recommend this film to people, because I'm seriously afraid it will give people nightmares for days on end. ""Once Were Warriors"" is a tough as nails, stomach churning, psychologically scarring and disturbing film about people and things that most are not even aware of exists. The whole cast should be commended for their incredible and brave performances. The person who deserves the most credit is Rena Owen who plays the female lead. Her performance blew me to pieces... she was absolutely superb. I've seen a lot of movies in my life, but never... never anything like this.",/review/rw0345028/?ref_=tt_urv
23 December 2020,damianphelps,10," If You Gave This Movie Less Than 9/10 Then You Didn't Watch it Or Didn't Get It!!!
",Honest Powerful Compelling Gripping Gut Wrenching,/review/rw0345028/?ref_=tt_urv
27 October 2000,LoneHamo,10," NOT FAR FROM FACT.
","As a Pacific Islander (Samoan), I could relate to the characters in this film, especially the father Jake The Muss.  As a warrior people, Islander life is hard, and it comes with the damage that was introduced to our people from European intervention back when Island people first had contact with the expeditious Europeans.",/review/rw0345028/?ref_=tt_urv
