Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 April 2003,lambiepie-2,8," Ya gotta have a sense of humor!
","When this film came out with all of the PR and things, I hated it. I hated it without even seeing it. Then, as with many movies, I caught this on Digital Cable TV, by accident. I had NO intention of seeing it, but once I did, I cannot tell you how much I loved it.",/review/rw0524841/?ref_=tt_urv
13 June 1999,Coxer99,9," There's Something About Mary
","Insanely off the wall comedy from the Farrelly Brothers that delivers from start to finish. Wonderful early sequence with Keith David as Diaz's father busting heavily braced Stiller's chops. Stiller's zipper scene goes down as one of the funniest and most painful things I have ever witnessed on film. Diaz is divine the woman of Stiller's dreams...Dillon is hired to find Diaz...He falls in love with her and gives Stiller a bum story... Lee Evans, a pizza boy, is in love with her too... then Brett Favre comes into the picture.  Every scene has something memorable from Dillon's attempts at reviving a dog to Stiller's ""pre date entertainment."" A classic that doesn't take itself too seriously.",/review/rw0524841/?ref_=tt_urv
10 July 2011,Boba_Fett1138,8," A real trend-setter.
","Whenver we refer to modern comedies I think we have to go all the way back to ""There's Something About Mary"" to see where this all started. It set the new standards for comedy and also became a much imitated movie. Movies however very rarely reached the level of this movie ever again, including all of the Farrelly brothers own later work.",/review/rw0524841/?ref_=tt_urv
4 December 2003,slokes,10," Funniest film since ""Blazing Saddles,"" only sweeter
","Did you ever see those annoying pop-up online ads about looking up old high-school friends? Did you ever stop to think that this movie is probably responsible? Really, there could be no other impetus for people to want to revisit the horrors of young adulthood then this sterling advertisement for reaching back and reclaiming the best of your past.",/review/rw0524841/?ref_=tt_urv
10 April 2003,Theo Robertson,9," One Of The Funniest Films Ever Made
","I don`t like comedies but I do enjoy much of the Farrelly Brothers stuff and THERE`S SOMETHING ABOUT MARY is their greatest achievment which is probably down to their casting . Ben Stiller is perfect as Ted while Matt Dillon is absolutely outstanding as sleazy ( And boy do I mean sleazy ) private investigator Pat Healy . My only criticism is of Cameron Diaz who`s slightly bland , but she is attractive and that`s all that matters",/review/rw0524841/?ref_=tt_urv
21 April 2000,rachdeveraux,," Unconventional satire stays on course while delivering major laughs
","A lot of my friends said they hated this, but after i saw it and loved what I saw, it became apparent that many of these people hadn't seen it, they just KNEW they would hate it from the degradingly mysoginistic slapstick it supposedly represented.  Sorry, wrong movie.  This is a classic satire, replete with balladeer narrator.  The gags flow fast and funny and expertly walk the tightrope between politically incorrect and unkind.  This is surprisingly a movie that is very true to itself and its characters with a lot of plotlines that tie up nicely in unusual ways.  And, it's a feel-good movie too.  Cameron Diaz and Ben Stiller are marvelous together in the leads.",/review/rw0524841/?ref_=tt_urv
26 December 2018,AlsExGal,8," This movie could easily make you dislke men!...
","... because just about every man in the film is a liar. In 1985 Ted (Ben Stiller) is a geeky teenager who has a crush on beautiful Mary (Cameron Diaz). He asks her out to the prom, and she accepts. But before they can even go on their date disaster strikes in every possible, unintentional, and humiliating way for Ted, and the date never happens.",/review/rw0524841/?ref_=tt_urv
9 January 2010,secondtake,6," One of those comedies where you groan or cringe as much as you laugh. But such laughs!!
",There's Something About Mary (1998),/review/rw0524841/?ref_=tt_urv
12 October 2018,bazookamouth-221-898097,8," Funny but crude.
","This is gross out comedy classic; Its aged relatively well as 20 years have passed now. Sometimes hilarious, sometimes crude and disgusting, maybe the very best movie from the Farrelly Brothers. Outstanding Matt Dillon in one of his best roles. The hair gel scene is infamous now as is the bathroom scene. Very funny and Cameron Diaz was so gorgeous in this. Classic stuff",/review/rw0524841/?ref_=tt_urv
21 December 2005,jaysilentbob37,7," One of the funniest movies of the 90's.
","I desperately wish that the Farelly brothers would go back to doing gross-out comedies like they did with Dumb and Dumber, Kingpin, Me, Myself, and Irene, and this. This is by far the best of all their movies. There are three kinds of comedy. Comedies that make you smile (Sixteen Candles), comedies that make you laugh (Airplane), and comedies that cause you to nearly asphyxiate yourself from laughing so hard. This is one of those rare third category movies. With the friends I watched it with, the laughs sounded like nuclear bombs going off in my room. It's that funny.",/review/rw0524841/?ref_=tt_urv
