Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 July 2013,paul_haakonsen,6," It's like the old days, isn't it?
","Not having gotten around to watching ""Stand Up Guys"" before now was a mistake on my behalf, especially given the three acting heavyweighters that stars in the movie; Al Pacino, Christopher Walken and Alan Arkin.",/review/rw3691601/?ref_=tt_urv
12 November 2012,ligonlaw,10," You Gotta Love Pacino and Walken Together
","""Stand Up Guys"" is a reunion of elderly gangsters. Alan Arkin, Al Pacino and Christopher Walken are in their twilight years, after long careers as mobsters. This Noah Haidle scripted black comedy is a treat for the ears, as these New York wise guys reminisce about the past. The soundtrack of blues greats and Jon Bon Jovi songs is perfectly on point.",/review/rw3691601/?ref_=tt_urv
17 July 2014,g-bodyl,9," Earns My Appreciation and Respect!
","Stand Up Guys is a low-budget film not only should earn appreciation by the older audience, but it certainly earned mine. I wasn't expecting anything crazy here, but I got a low-key drama featuring three very fine actors admittedly in their twilight years, a relatively good script, some good comedy, and the theme of friends being reunited after 28 years.",/review/rw3691601/?ref_=tt_urv
10 March 2013,b-meyers,8," Very solid
","I read some of the reviews here, and I think that some who have reviewed this extremely negatively (as in 1/10) are those who appreciate a movie with lots of explosions, and maybe some guys with their tops off, flexing their muscles to accentuate just how tough they are.",/review/rw3691601/?ref_=tt_urv
19 April 2014,namashi_1,10," Two Thumbs Up!
","'Stand Up Guys' is relentless fun! A crackling, engaging & memorable film, that works from start to end. A Gem!",/review/rw3691601/?ref_=tt_urv
17 January 2013,d0wen,9," Walken and Pacino - Just like bacon and eggs but even better
","The film has a nice genuine feel about it, great story, great acting and a great soundtrack that compliments the film and characters! I found myself getting sucked in to the characters and as much as I enjoy seeing Walken act and hearing his dialogue, Pacino was great in this film too. He's not an angry mobster but a likable criminal one of his best films I think. Walken doesn't give us the old stories that we are used to but his presence is just perfection.",/review/rw3691601/?ref_=tt_urv
9 March 2013,DICK STEEL,10," A Nutshell Review: Stand Up Guys
","It looks like this is the season for comebacks, with old timers and veterans proving a point that they still have it in them to pull off a film, at least with their charisma being top draw, and a bonus if the story does justice to their big screen return. Christopher Walken may had made his mark this year with Seven Psychopaths, but it's not until Stand Up Guys playing opposite Al Pacino and Alan Arkin that truly brought out a finer performance, making this Fisher Stevens directed movie one of the best this year so far in a tale about what it means to be friends.",/review/rw3691601/?ref_=tt_urv
17 August 2013,SnoopyStyle,7," Al Pacino and Christopher Walken
","Val (Al Pacino) is released from prison after serving 28 years. His friend Doc (Christopher Walken) has been ordered to kill him before the morning. Conflicted, Doc spends the night with Val partying.",/review/rw3691601/?ref_=tt_urv
2 February 2013,dvc5159,6," The lonely streets at night
","One thing about Fisher Stevens' ""Stand Up Guys"" is that how lonely, not only the primary characters are, but also how the locations are. Take for example, a simple scene where Val (Pacino) and Doc (Walken) walk down the barren street in the middle of the night, as if both represent a bygone era.",/review/rw3691601/?ref_=tt_urv
3 March 2013,tonsu97,7," Great Movie for Older viewers
","I think you need to be around 70 years of age to really enjoy this Movie. I am and I did; I really did. I chuckled and laughed throughout the movie and continued to do so long into the evening as I remembered some of the more memorable scenes. This is a gem of a Movie and brings back a touch of the real movies of yesteryear. No Vampires ; no Zombies; no computer designed sets and monsters, no excruciatingly LOUD music and noises; just a simple story well told with real ACTORS. I could have sat through it again as soon as it was over....and I may go again. Some of these ""Critics"" need to age a bit to really understand the difference that a Movie like this can bring to its audience",/review/rw3691601/?ref_=tt_urv
18 September 2013,mekjd,8," Awake, Sleeping Giant!
","I won't pretend to avidly follow new movie releases, but I am shocked that this movie, which is a superbly written and executed (pun intended) story about lifelong friendship, did not generate more attention. Is it because Pacino, Arkin and Walken are perceived to be past their red carpet primes themselves? I hope not! Doing for others because they are friends, with full knowledge of their flaws, is something we might want to consider more frequently. And what could be better than to do so with wit and great fun at the local house of ill repute? All things modernized since one character entered his long journey (close to three decades in prison) are underscored without being condescending. And ultimately, justice and mercy triumph.",/review/rw3691601/?ref_=tt_urv
23 February 2013,marinkojason,10," Great ! Loved it!
",I got out to the theater to catch this movie and could not of been more pleased. I laughed hysterically at the cynical humor and really enjoyed how as the story progressed I really got ensconced into these characters. Loved beginning to end. I especially enjoyed Vanessa Ferlito's(deathproof) appearance I look forward to see much more of her in future films. Allan Arkin was a great compliment to Pacino and Walkens lead. I found it unfortunate that on opening day of this movie there were only four showtimes.As I awaited entrance at the concession I felt supreme confidence when the previous showing let out and there was nothing but smiles on the faces of the patrons exiting the previous showing.,/review/rw3691601/?ref_=tt_urv
