Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 August 2021,benjaminskylerhill,5," A journey...through the exposition machine.
",Good performances? Check. Good cinematography? Check. Creative visual effects? Check. Intriguing concept and interesting introductory world building? Check.,/review/rw7329220/?ref_=tt_urv
25 August 2021,SnoopyStyle,5," sci-fi noir
","In the near-future, Nick Bannister (Hugh Jackman) lives in a flooded Miami due to climate change. He and his assistant Emily 'Watts' Sanders (Thandiwe Newton) operate a machine for people to relive their best memories. Both are veterans of a devastating recent war. Mae (Rebecca Ferguson) walks in asking for help to find her keys and begins a relationship with Nick. She goes missing and Nick becomes haunted reliving his memories with her over and over again. The police hires him to get into a comatose suspect's memories where he discovers Mae working as a nightclub waitress. He starts investigating on his own and dives into a rabbit hole of mysteries.",/review/rw7329220/?ref_=tt_urv
28 August 2021,Sleepin_Dragon,6," All endings are sad....
","...apart from the eventual moment where credits rolled, it's a decent watch, it just felt too long at times, and a bit repetitive.",/review/rw7329220/?ref_=tt_urv
8 September 2021,aastikhimta,7," Don't see reviews and watch it first
",The plot was good and different. The whole movie was fine and there were some fine twists too. I ignored all reviews and watched it . It was a good movie. There weren't so much action scenes but apart from that it is good. Ending could've been better.,/review/rw7329220/?ref_=tt_urv
26 August 2021,kosmasp,7," Science Fiction Fairy tale
","Any movie that might bring anyone to read on certain things ... is good in my book. And while I assume that some watching this, may not have heard of Orpheus story ... they hopefully will look it up.",/review/rw7329220/?ref_=tt_urv
31 August 2021,Top_Dawg_Critic,8," Flawed, but a refreshingly unique story.
","Making her first feature film debut as writer, producer and director, Lisa Joy had a great concept, but the execution needed a little more work. Her directing was excellent, and the conceptual story genius, but her screenplay needed fine tuning. There were many plot and technical issues - most lazy, but bringing her futuristic sci-fi vision to the big screen, was effortless. The story felt very long and slowly paced. Had such amazing leads and their performances - Jackman, Ferguson and Newton not been cast, I don't think I would've rated this higher than a 5/10. They carried the film right to the end, of which up until the last 20 mins was dragging. Along the way, it was a 5 or 6/10 in my mind, but that last 20 mins with some surprising twists and revelations - and that perfect ending, added more stars. It's a 7.5 rounded up to an 8/10 from me. The critics went too hard on this one. If your enjoy mystery, crime, sci-fi, and romance, give this one a chance... there's nothing really like it. Props to Joy for this little gem.",/review/rw7329220/?ref_=tt_urv
29 August 2021,GenXer,8," Much better than given credit for
",The reviews are so overwhelmingly negative that I almost feel a moral obligation to come to the defense of this movie.,/review/rw7329220/?ref_=tt_urv
20 August 2021,solojere,8," ""There is No such thing as a happy ending..
","... especially if it is a happy story."" Reminiscence takes place in a somewhat post-apocalyptic world. After countless wars and natural disasters, the world is divided between the rich and the poor. The film follows Nick Bannister, who navigates people's memories for money. Nick's life is changed by new client Mae. A simple case becomes an obsession after she disappears, and he fights to learn the truth about her to navigating his and others' memories. While the film dragged at times, I thought it was pretty entertaining for a slow bur thriller. It also felt like a mix of inception and Minority report. However, the idea of memories being the key to solving a mystery was fresh enough to help the film stand on its own two feet. In addition to this, I thought the cast was fantastic. Hugh, the Wolverine, Jackman's performance was amazing, and this is just another example of how great of an actor he really is. I won't spoil anything, but I enjoyed it and would recommend giving it a watch.",/review/rw7329220/?ref_=tt_urv
2 September 2021,jtindahouse,4," Bland and not as smart as it thinks it is
","The first rule in film is Show, Don't Tell. A reasonably simple rule and one that the majority of films adhere too. Apparently 'Reminiscence' didn't get the memo though. The exposition in this film is bordering on ridiculous. First of all we have narration, and not just set up narration, but constant narration over-top of the majority of scenes. Then there are the cringe-inducing moments where the characters just talk us through everything that is going on. At one point a revelation is being revealed to the audience and Hugh Jackman's character is just summarising it point by point for us. It was embarrassing.",/review/rw7329220/?ref_=tt_urv
27 August 2021,s-ireland,8," Nearly didn't watch this after reading reviews
","Don't be put off by reviewers who won't invest brainpower to work out what's happening and why. This is a good film, well cast and well acted, great plot and whilst not action packed it rolls along nicely. I was entertained and I enjoyed it.",/review/rw7329220/?ref_=tt_urv
