Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 April 2022,Top_Dawg_Critic,9," Sadly, they don't make movies like this anymore.
","All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",/review/rw2536848/?ref_=tt_urv
20 July 2016,Leofwine_draca,9," Twisty-turny thriller makes for compelling viewing
","A thriller that is actually thrilling? A complex film which is actually easy to follow? Well, it doesn't happen very often, but occasionally a certain director can pull off a potentially baffling movie and turn it into something of a masterpiece. This is the case with THE GAME, a typically dark and mysterious, occasionally disturbing film from director David Fincher. It's very much in the style of Fincher's other films, so it might be a good idea to have some idea of what to expect with this one. Basically, nothing is what it seems and the whole perception of reality and normal life is subverted in THE GAME, which starts off with a typical businessman in a typically dull life and soon goes off in some very strange directions indeed. Okay, so it's mightily implausible and some parts just don't make sense when you think about them a lot, but this is a darn sight better than most contemporary thrillers which are content to rehash old ideas and styles. Yes, it's original, and yes, it's a cracker.",/review/rw2536848/?ref_=tt_urv
5 December 2005,Theo Robertson,7," Worth Watching - But Only Once
",THE GAME is the type of movie that was very popular at the turn of the century - One that has a great twist in the tail . Unfortunately when the great twist is revealed the film comes crashing down . The producers may claim that that THE GAME is more of a journey than a destination whereby the audience are transported somewhere but the more you think about the plot at the end of the line the more the audience will complain that the journey was a little too contrived to be worth going back on the same route ,/review/rw2536848/?ref_=tt_urv
7 March 2004,mjw2305,8," Glad he's not my Brother
","What an amazing thriller, it's totally original, i've never seen anything like it before. The casting of Michael Douglas and Sean Penn was inspired and the story is compelling to say the least.",/review/rw2536848/?ref_=tt_urv
12 December 2008,Lucabrasisleeps,10," A Classic Thriller
",I have to say I didn't expect this. I didn't have great expectations when I saw this. Especially considering the cold reception given to it by critics and audiences alike. But it is one of the most original Hollywood thrillers ever.,/review/rw2536848/?ref_=tt_urv
6 November 2018,planktonrules,9," I was surprised how much I enjoyed this one.
","Sean Penn is not the most popular celebrity and has created a few enemies over the years. However, this does not make his performance nor the film ""The Game"" something to avoid...and considering I am no fan of him as a person, the fact I loved the movie so much says a lot. THE GAME is exceptional...and you'd be doing yourself a favor by watching it. THE GAME is one heck of a great film, as I give it a well-deserved score of 9 because it's so well written and entertaining. It is one of the most exciting and riveting films of recent memory. You've got to see this film! I'll say no more because I don't want to spoil it.",/review/rw2536848/?ref_=tt_urv
20 May 2007,MaxBorg89,9," Tight, twisted and tense - one of the most interesting thrillers of the '90s
","Having conquered the critics (and the box-office) with Se7en, David Fincher could have ""sold out"" and kept delivering more of the same. Fortunately, he was wise enough to try different paths, and although all his movies can be classified as thrillers there's no real similarity between them, except maybe a common theme of alienation and solitude.",/review/rw2536848/?ref_=tt_urv
8 August 2020,Xstal,8," Wild Game...
","Like 'A Christmas Carol' with the ghosts replaced by 'Interesting Events', enough to make the most self absorbed think again. Wholly unrealistic in its portrayal but intensely engaging with some boomerangs to navigate and some thoughtful reflections to ponder.",/review/rw2536848/?ref_=tt_urv
17 June 2018,classicsoncall,7," ""This is your game Nicholas, and welcome to it.""
","What I'll say about ""The Game"" is what I say about a lot of action/thriller films. As you're watching, the story engages with an innovative concept, uses clever twists and delivers excitement at a visceral level. But then, when you have time to reflect on the story, it kind of falls apart when you consider what would have been required to pull it all off. This one relied on Nicholas Van Orton (Michael Douglas) to make the decisions precisely that he did, especially at the very end when his attempted suicide was thwarted to put an end to the game. How did the 'Game' manipulators know he would even think of something like that? Sure they ran that psychological profile, but by the time came when he shot his brother Conrad (Sean Penn), Van Orton's judgment would have been severely put to the limit to act rationally. ",/review/rw2536848/?ref_=tt_urv
25 April 2000,scoobydoo2000ms,," Michael Douglas at his very best
","""The Game"" took me on one psychological thrill ride after another loaded with twists and turns scene after scene.",/review/rw2536848/?ref_=tt_urv
