Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 February 2022,knedb,6," What happened???
","The first two seasons were awesome. Very good writing. Now with the third and especially the fourth season, the writing is horrible. Everything is overly dramatic. Pretty much every cast member annoys me now. I'm guessing the show got new writers after the second season. If that's the case, then they should have end the show there. Where did all the creativity go???",/review/rw7589202/?ref_=tt_urv
15 January 2022,Stephanie4040,6," This isn't Star Trek
","The writers have created too many millennial self-indulgent characters who lack confidence, need constant praise, are awkward and are constantly talking about their feelings. It's like a high school teen show set in the Star Trek universe. The first 4 episodes of S4 was just characters crying, second guessing themselves and over acting. Its like having an entire cast of Wesley Crusher's. It's such a disappointment! Yet, the same writers are involved in Picard, and they have absolutely got that right. The casting isn't that great on Discovery either. Tilly and Saru are excellent, but without Michelle Yeoh it's not really that good anymore. Looking forward to the spin off - I have a feeling that will be better.",/review/rw7589202/?ref_=tt_urv
6 January 2022,craigkatzer,6," Needy
",The show started out techno-clever with interesting character interactions.,/review/rw7589202/?ref_=tt_urv
27 December 2017,StuOz,," Forget This And Watch Star Trek Continues Instead
","Ten years before Captain Kirk, this happened.....",/review/rw7589202/?ref_=tt_urv
25 September 2017,no_vampires_here,10," I grew up with Star Trek...
","...but this doesn't mean I'm obsessed with it. I just loved the universe with everything it holds - yeah SciFi rules - but honestly, after watching many times the old series I was kinda bored with the whole ""bridge action"" feeling like everything happened in a room. ",/review/rw7589202/?ref_=tt_urv
24 September 2017,Nerdfury,9," Good start. Will keep watching.
","No one hates Star Trek more than Star Trek fans. For every new series, we see a new generation of 'fans' bellowing and moaning about how this series will spell disaster for the franchise.",/review/rw7589202/?ref_=tt_urv
5 March 2019,syncopatedrhythm,10," Don't bury it until you start season 2
","Ok, I get the hate for season 1. Didn't seem like Trek to me either. That being said season 2 seems to get things back on the Trek track for me. Capt Pike alone saves it for me, wrapping part of the story line in TOS story arc helps. Give it a try and don't judge it on season 1 alone. To all those complaining we don't see enough story about the bridge crew ask yourself just how much of TOS focused on the bridge crew. They were almost window dressing confined to repeating the same lines each week as the screen hog Shatner cut a ton of their lines, hailing frequencies open, shields up, aye Captain.....etc. No story's focused on them. Sure Next Generation gave us individual focused stories but not the original series. Anyways I like the direction season 2 is taking, try it. Sorry ignore all the above, the series takes a huge dump in season 3 and 4. Worst Trek ever.",/review/rw7589202/?ref_=tt_urv
11 March 2022,rodneyhemingway-43321,6," Start out really good but my god it's now pathetic
",Never have been so bored to death of hearing stupid speeches. Every 10 minutes there's a big speech about what there going in to and how important it is. Yeah yeah we got after 50th speech we didn't need another 100. Make a sci-fi program not political bull crap.,/review/rw7589202/?ref_=tt_urv
26 September 2017,nexx-43314,8," Star Trek new frontier, something fresh and new as it befits a SCI-FI show
","I was expecting to hate it, but I watched the first two episodes and I actually liked it. I am very much excited to see more.",/review/rw7589202/?ref_=tt_urv
14 March 2022,riverzak,6," Season 4 is slipping
","So far season 2 has been the best of the series. While season 4 has an interesting story arc, I am seeing far too much time spent on characters having heart to heart discussions. This is Star Trek, not group therapy. It seems no crisis is too dire or time critical that time can't be taken for inappropriate (in the moment) conversation. Billions of lives are at stake but let's pause for several minutes to tug at the old heart strings, or perhaps just to pad the show out to a full episode.",/review/rw7589202/?ref_=tt_urv
3 December 2021,supermellowcali,2," Season 4: emotional drama displaces scifi
","Apparently TV shows are made for younger kids these days. This show is so well produced that it's a shame it's become so boring, having gone way too far with teaching social correctness to young kids and sacrificing a good scifi story for a vision of the future with fleet crew members straight from daytime soap operas, too preoccupied with their emotional fragility to be competent. Ninjas vs Diabetics? In a sword fight? On a starship? Please. Stop it. I wish instead they'd capitalize more on the bold ideas, story elements and humor past shows have had... that appeal to all ages.",/review/rw7589202/?ref_=tt_urv
