Review_Date,Author,Rating,Review_Title,Review,Review_Url
25 November 2019,skpn123,10," This show started off a little dark for my taste but has come into its own
","Season 3 is a masterpiece - a kaleidoscope of love, significant issues, friendship and community blended in with more serious themes.",/review/rw3706653/?ref_=tt_urv
10 December 2019,77Lynne,10," Love it.
",This is one of my favourite shows.,/review/rw3706653/?ref_=tt_urv
25 November 2019,amcc9,10," Different but excellent
","I was such a huge fan of the Megan Follows depiction of the beloved character Anne. This depiction is also superb. So moving and so much more emotion than the former. They cannot be compared, one no less better than the other. Different but oh so excellent and beautifully acted. I love it!",/review/rw3706653/?ref_=tt_urv
3 December 2019,ewelinabrozyna,10," Masterpiece
","One of the best shows I have ever watched I highly recommend it to everyone doesn't matter what age you are. Everyone will find something interesting in it. Amazing acting, scenography, costumes, music and of course storylines",/review/rw3706653/?ref_=tt_urv
16 September 2019,dosblakey,10," Great series
",I loved the books Anne of Green Gables. This is a great series and I am not put off by the embellishments added to the stories in the books. In fact the books left me wanting more. This is worth watching.,/review/rw3706653/?ref_=tt_urv
3 April 2017,mstaffordca,10," Brilliant and flawless
","I had to write a review for this show because it's better than any other A.O.G.G. that I've ever seen!!! This show has so much heart and emotion! I was hooked from the start and can't wait for the next episode!!! I would give it 100 stars if I could! Whomever rated the 2/10 or 1/10 either has the wrong show or is completely out of their minds (sorry)! I hope the creators of this show read all the wonderful reviews!! It seems now a days all the great shows, such as this, are going unrecognized and it makes me sad. We need more shows like this.!",/review/rw3706653/?ref_=tt_urv
19 December 2019,kcomaskey,10," AMAZING #renewannewithane
",This is one of the most beautiful shows I have ever had the pleasure of watching. I have read the books and though it differs from the books it truly is the closest to perfect television we have gotten in the past 10 years or so. It tackles modern day issues that have been alive throughout time and does so in a thought provoking fascinating way. The acting and production are second to none and it truly deserves another season to continue the storytelling. Anne Shirley Cuthburt is a passionate individual and so are her fans! She is a true role model for every young person today.,/review/rw3706653/?ref_=tt_urv
27 January 2020,mfellipecampos,," ""Anne With An E"" canceled due to low audience, says website
","It is true that we never got over the cancellation of ""Anne With An E"", one of the most acclaimed series by the public over the last few years. The production, based on the book ""Anne of Green Gables"", by Lucy Maud Montgomery, was a joint responsibility of the CBC channel and Netflix.",/review/rw3706653/?ref_=tt_urv
17 December 2019,blpkst,9," Mean Girls - 19th Century
","I'd like to recommend this Netflix series to my friends who are raising girls, especially, but some boys may enjoy the series too. ""Anne"" based on the book ""Anne of Green Gables"" has a lot to offer modern day girls even though this girl, Anne, lives in the 19th Century. She's had some hard knocks in an orphanage when her luck changes and she gets adopted. She's bright, has her own ideas, has trouble making friends, and is quite endearing. This is a rich and enriching series that you can watch together with your kids and have real conversations. Many topics, problems, problem solving and values sprinkle throughout the episodes. 19th and 21st Century have a lot in common when it comes to mean girls.",/review/rw3706653/?ref_=tt_urv
3 April 2017,vicstevinson,10," Excellent casting, beautifully directed
","I read the books when I was third and fourth grade; watched the previous miniseries and movie adaptations, and am thoroughly enchanted by this new series. Amybeth McNulty embodies Anne in new light and delivers a fully-formed character. Three episodes in and I am hooked on the evolution of so many characters.",/review/rw3706653/?ref_=tt_urv
23 May 2019,fab88,10," Joyful heartwarming series
","What an adventure. I loved every single character. Beautiful scenery, beautiful tales of love in its very ways. I fell in love with the main characters right away. 10/10",/review/rw3706653/?ref_=tt_urv
18 April 2017,nowego,8," A big fan of the original
","Prior to seeing the original 1980's series I had never read the books, but completed that task a few years ago over about a month. My love for the original series grew even stronger after reading the books and I have watched it many many times and I am a big fan of Megan Fellows.",/review/rw3706653/?ref_=tt_urv
25 November 2019,adlerlaurel,10," Anne with an E, forever and always Amazing
","I absolutely love Anne with an E, it's smooth and eye-catching cinematography and use of setting really helps set the scene in Avonlea. All the actors play their characters with such splendid ease, it's almost second nature to them. The acting is phenomenal! You just can't help but fall in love with Anne (Amybeth McNulty), a fierce red-haired dreamer, with a beautiful soul. The writers and creators of the show have developed a modern take on our beloved ""Anne of Green Gables"" with new and old entertaining and emotional moments that fans and viewers alike can cherish. I can only hope that we (the fans) can hopefully get a season 4, because after watching the season 3 finale, it's become so much clearer that even though Anne has to spread her wings at Queen's we wish that we could be taken along the way to see the rest of her journey. Renewal or not, Anne with an E is a fierce, groundbreaking, and forward thinking show that teaches us all to be kinder to one another and notice the little things in life especially in our world today. Anne has thought me so much about myself, and I'm so glad she did. So Anne with an E will always have a little place in my heart, now and forever.",/review/rw3706653/?ref_=tt_urv
22 May 2019,harshada_shewale,10," Beautifully fragile and innocent
",What a find!,/review/rw3706653/?ref_=tt_urv
23 December 2019,rrparanal,10," Anne With An E series: MUST WATCH
","The series is incredible from the writing, cinematography, acting, & set/lighting design. This adaptation gives rich back stories to almost all of the Anne supporting characters creating an amazing world filled with hope, loss, redemption, & love. I've never experienced a character that I connected with so intensely- not even LMM's version of Anne. This production's unflinching presentation of all of Anne's predilections- good & bad- make for such a rich & effervescent character. HIGHY RECOMMEND",/review/rw3706653/?ref_=tt_urv
