Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 February 2020,MR-ODIN,," X-Men
","Suffering from bizarre narrative choices and weak character development, X-Men: Apocalypse is an otherwise passable and occasionally great installment of the franchise, mainly due to the continued strong performances and glorious action set pieces.",/review/rw3482623/?ref_=tt_urv
5 June 2016,SnoopyStyle,7," good with a couple of problems
","En Sabah Nur is Apocalypse, the first mutant who ruled ancient Egypt until he was entombed. It's the 80's. CIA agent Moira MacTaggert goes to Egypt and witnesses his emergence. He recruits his four horsemen Magneto, Storm, Psylocke, and Angel giving them greater power. Meanwhile, Raven recruits Kurt Wagner/Nightcrawler from an East Berlin fight club. Alex Summers brings his younger brother Scott to Professor Charles Xavier's school. Quicksilver arrives at the school just in time to rescue almost everybody from an explosion but Professor X is kidnapped by Apocalypse.",/review/rw3482623/?ref_=tt_urv
6 June 2016,KineticSeoul,7," The weakest in the trilogy, but not bad.
","Maybe it's because I had a bigger expectation for this film, but it was aiight. In the movie there is a scene where mutant students come out of the theater after watching ""Return of the Jedi"". And says something along the lines of the third installment being the worst. And that basically applies to this film, because in my opinion it's the weakest compared to the previous two X-Men movies. It's in no way a bad movie, but it just wasn't anything all that amazing either. Because the editing and progression of the story just wasn't all that compelling or interesting. Watching this movie was like watching ""Rocky 4"", it's alright but just not good as ""Rocky"" and ""Rocky 2"". The plot is basically about Apocalypse getting resurrected, finding his four horsemen while the new group of students get recruited into Xavier Institute. With it focusing in on Magneto the most next to Apocalypse with his side story and what makes him tick. It really did show how how much of a human character Magneto really is. I mean even the kindest people out there has a breaking point when you push them to their limit. I guess the human side of Magneto and the understanding of where he is coming from to a degree is what makes him one of the most popular comic book villains out there. The other horsemen that Apocalypse chooses just seemed to be shoehorned into the movie. There is few scenes that did stand out and it's basically the super action sequences. There is the introduction scene, Quicksilver to the rescue scene, Wolverine going berserker rage mode, Quicksilver fighting Apocalypse, Professor X going Freddy Krueger and Phoenix Force. So overall I don't regret seeing this movie in the theater, I do however regret seeing it in 4D. Because I personally thought it just wasn't worth it for this one. You can tell a lot about a man if you give him the crown and what he chooses to do with his power and how he treats people that are less fortunate. And I liked that type of message in this movie. Although the whole thing of the team getting together and bonding like a family isn't anything new but was nicely done. So I give this movie a 7.4/10.",/review/rw3482623/?ref_=tt_urv
7 June 2016,DarkVulcan29,8," Nowhere near as good has First Class and Days of Future Past, but still entertaining.
","Apocalypse who was the first mutant ever, is from the Egyptian days. Awakens in 1983, he is more powerful than ever, and puts together his own band of mutants in hopes of world domination. It's up too Charles Xavier(James McAvoy) and his band of young mutants in hopes of stopping him.",/review/rw3482623/?ref_=tt_urv
6 June 2016,Aaron1375,8," The X-men just band together to avoid the Apocalypse!
","My expectations were low coming into this one so I am happy to report that I was pleasantly surprised by this film. It was not perfect, a Bryan Singer X-men film is never going to be perfect at this point, but it did contain a lot of cool action and quite a few mutants. Sure, I was not happy when I initially saw that Storm, Magneto and Psylocke were three of Apocalypse's horsemen in the film when none of them were in the comics; however, the story of why those three joined worked enough that I am not quite as baffled as I first was. I was disappointed by the fact that Angel was a bit more underutilized again, not sure why they find it so difficult to do him, but he does have more of a part here than in the his other film, X-men: The Last Stand which this film takes a jab at. I thought that was uncalled for, I do not understand why everyone dislikes that one so much as that one still has some of the better action sequences and fight sequences of any of the X-men films. A lot of people have been panning this one too, but as I said, I enjoyed it as I was expecting to dislike it quite a bit more than I did. It did do some things I was not fond of, but for the most part this one delivered for me.",/review/rw3482623/?ref_=tt_urv
6 June 2016,TheFirstExecutioner,7," A Gripping but Flawed X-Men Movie
","X-Men: Apocalypse is the sequel to Days of Future Past and takes place  about a decade later in the '80s. This movie entertained me from start  to finish and I can't say I was ever bored. But there are a lot of  things I was not satisfied with while watching. Starting off with the  good, Magneto and Professor X continue to be the best parts of these  movies. Michael Fassbender as Magneto is amazing and he has a really  emotional scene towards the beginning which got me locked into the  film. James McAvoy is also great as Xavier. The internal battles inside  Xavier's head were riveting. I really liked the new cast of the younger  X-Men, like Jean Grey, Storm, Nightcrawler, and Cyclops. Quicksilver  has another awesome scene just like the previous movie. The action is  handled very well for the most part. The first half of the movie is  terrific, but the second half brings it down.  Apocalypse as the villain was OK for me. Some scenes worked well and  others didn't. I was always skeptical of Oscar Isaac as Apocalypse and  I still don't think he was the best choice. He is just like Jesse  Eisenberg as Lex Luthor for me. Apocalypse is also a small mutant  compared to the others for some reason and he's just another villain  who is obsessed with destroying the world, and his motivations are  thin. Jennifer Lawrence was a boring Mystique. She just seems  uninspired throughout the run-time and becomes tedious since she uses  the personality over and over again to play the character. Some mutants  were completely wasted here with Psylocke and Angel. There's an entire  sequence in a secret lab and it seemed there for only one reason: the  cameo of a specific person. While it was fun to watch, it didn't do  much of anything for the story in the long run. The entire thing could  have been removed and the movie would have been the same. The final  battle felt underwhelming with the whole global extinction. The problem  is they don't show any civilians dying; it's just buildings coming  apart, making it hard to care about the situation.   Overall, X-Men: Apocalypse is a disappointing sequel to First Class and  Days of Future Past. But it is not at all a bad movie. Magneto and  Professor X are once again great, Apocalypse is a mixed bag, the pacing  for the movie is all over the place, and the dull second half just  brings the film down from the really good first half.  X-Men: Apocalypse gets a B-.",/review/rw3482623/?ref_=tt_urv
28 July 2016,Genti25,9," Good and interesting all the way through
","X -Men: Apocalypse is a superhero film and the ninth installment on the X-Men film series. It is directed by Brian Singer with a screenplay by Simon Kinberg. It stars James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne, Tye Sheridan, Sophie Turner, Olivia Munn and Lucas Till. In Apocalypse, the ancient mutant En Sabah Nur awakens in 1983 and plans to wipe out modern civilization and take over the world, leading the X-Men to try to stop him and defeat his team of renegade mutants. I personally loved this movie from beginning to the end. I started to get emotionally invested from the Magneto scene in the woods, and from then on it was just a thrill ride. The acting is absolutely great from everyone, starting with the always amazing Michael Fassbender, who is exceptional on the role as always. The newcomers all do a really good job with the stand out, Sophie Turner who definitely does not disappoint in the iconic role. Apocalypse, played by Oscar Isaac who is taking over the world by storm (in this movie quiet literally), looks really good on screen, and the acting by Oscar is fine and serviceable. What irritated me the most were the special effects, which certainly could and should have been better. Even First Class had better effects than Apocalypse, I mean it's not all bad, there are scene that are great to look at but sometimes it just lost me on all the obvious green screen. The music is undeniably good though, the main theme is great and memorable. It does also feel a bit too long, especially with all the leading up scenes, but overall this is a really well made and absolutely fun entry in the X-Men franchise. The new trilogy, First Class, Days of Future Past and Apocalypse, is most certainly one of the best superhero trilogies there are.",/review/rw3482623/?ref_=tt_urv
4 June 2016,xamtaro,7," Sacrifices thematic depth and complex characters for superficial thrills and repetitive plots
","The word ""apocalypse"" brings to mind an end-of-the world event of biblical proportions. X- MEN APOCALYPSE brings to mind some Japanese anime and a yearning for the better X- men movies of the past. The third in this ""new trilogy"" that began with X-MEN FIRST CLASS, the franchise reached its high point in the epic X-MEN DAYS OF FUTURE PAST but now tips back down to a rather typical tale of good vs evil intertwined with the usual hero's journey. Thankfully the masterful execution of dialogue and acting chops saves this film from sinking into mediocrity.",/review/rw3482623/?ref_=tt_urv
31 July 2016,claudio_carvalho,7," The First Mutant
","When the first mutant En Sabah Nur (Oscar Isaac), who was worshiped as a god In Egypt, awakes in the present days, he learns how the world has been transformed in his absence. He decides to bring the Apocalypse to the word and recruits four powerful mutants to assist him in the destruction of the weak. Now the only change to save the world depends on Professor Charles Xavier (James McAvoy) and a team of young mutants. ",/review/rw3482623/?ref_=tt_urv
2 July 2016,tankace,8," Great closure of the new trilogy
","X-men Apocalypse has received mixed reviews from critics and some audience members, but I will say that ,is awesome no doubt. For starter it introduce the characters of Storm, Nightclawel, Cyclops, Marvel Girl and continued the thing of the new trilogy, with the First Class been in the sixties, Future in the seventies, this was in the eighties and the setting ,the costume and the references show that it was put work in to it.",/review/rw3482623/?ref_=tt_urv
