Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 August 2022,kevin_robbins,7," This movie has several original concepts that I really enjoyed
",Moloch (2022) is a new release from the Netherlands currently available on Shudder. The storyline follows a group of researchers who uncover a fossilized woman tied to a legend near a bog. Shortly after finding the corpse a house near the bog starts having visitors and portions of the legendary story starts happening all around the family in the house. The legend may play out at the family's home if the scientist and family doesn't work together to stop it.,/review/rw8379929/?ref_=tt_urv
22 July 2022,chrismwolfe,7," A woman scorned...
",This one landed at a solid 6.5 for me and I decided to round up to a 7 as I am a bit biased towards folk horror.,/review/rw8379929/?ref_=tt_urv
16 October 2022,TerribleKatherine,8," A Lot Better Than I Thought It Would Be
","It's nice to see a competent horror movie for a change, nowadays most horror movies seem to rely solely on exposition for dummies and jumpscares, which I hate. This movie doesn't waste it's time on anything useless, it's a well paced movie with a great atmosphere. It takes some time to build up and you won't guess the ending. The ending almost reminds me of a masterpiece called Hereditary by Ari Aster. The acting was flawless and there were some very competent moments of cinematography. I sincerely recommend watching the movie. Forget about the lame blockbuster like the Nun or the Conjuring and choose this instead.",/review/rw8379929/?ref_=tt_urv
28 July 2022,isaacmizrahii,8," old school, mythological horror
","It's funny how some reviewers write about 'cliches' here...what, in this day and age, hasn't borrowed from the past?",/review/rw8379929/?ref_=tt_urv
23 May 2022,markvanwasbeek,8," I liked it
","This was better than expected. I was expecting a more Dick Maas kinda horror, since Dutch horror movies are not known for their finesse. But this would be a pretty decent Hollywood movie, so for a Dutch production: bravo! I am also in love with Sallie Harmsen now <3. Be sure to check it out when it hits Netflix or sth! 8/8,5.",/review/rw8379929/?ref_=tt_urv
27 July 2022,MaesterOfWargs,8," Refreshing, creepy, great folk horror story
","If you're hesitating, just watch this film. It has a little bit of a slow build up but then provides a really unnerving folk horror payoff. I'll be thinking about Moloch for a while.",/review/rw8379929/?ref_=tt_urv
10 August 2022,lallolu,8," Very good storyline
","I was hesitant to see this but I am glad I did. It has good storyline, although I wouldn't call it terryfying though. It will be perfect for people who wants to be a little scared, but not terrified.",/review/rw8379929/?ref_=tt_urv
10 October 2022,Reviews_of_the_Dead,8," Review for Moloch
",This is a movie that I saw popped up on Shudder. It went on my list of ones to check out for my year-end list. I heard good things from podcasters regarding this one as well. The week that I saw it was one where nothing new was coming to the theater so I made this a Featured Review for Journey with a Cinephile: A Horror Movie Podcast.,/review/rw8379929/?ref_=tt_urv
15 November 2022,Coventry,8," The Moloch-cocktail: 2/3 fascinating Dutch Folklore, 1/3 genuine suspense
","Sadly, it doesn't happen very often, but sometimes a horror movie can surpass your already high expectations. That's what I had with the Dutch folklore horror tale ""Moloch"". Many ancient pagan tales and myths originating from North-East Holland are grim and unsettling, but for some reason there don't exist many movies/TV-series about these (yet).",/review/rw8379929/?ref_=tt_urv
13 August 2022,avindugunasinghe,8," Excellent Story!
",Moloch digs up a forgotten theme with a set of familiar scares. A well written folk horror story. Complimentary performances by the cast solidifying the conclusion of the movie. Moloch's subliminal message may hint at a vengeful spirit which lives through vessels and keeps reclaiming what once snatched from her. It's a clever story!,/review/rw8379929/?ref_=tt_urv
22 July 2022,SyamRawk,7," More than a horror
",This movie really took me by surprise. At the beginning it looks like an ordinary typical horror movies but it's not. The storyline is great until the end. The plot twist is unpredictable. Great acting. Really recommend this movie. Well done.,/review/rw8379929/?ref_=tt_urv
12 August 2022,danko-o,9," Close to perfect
","The music and the atmosphere are really the cherry on the top, but it's the plot twist that makes the movie. I just wish it was just a bit better communicated, who the secret good guy is, to fully enjoy (or better said, notice) the twist.",/review/rw8379929/?ref_=tt_urv
