Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 May 2021,TheLittleSongbird,4," Very rough around the edges and with not much heart of gold
","The 1955 'Lady and the Tramp' film is still wonderful. Loved it as a little girl and to this day it is still my second favourite 50s Disney film after 'Sleeping Beauty'. Disney have been very variable when it comes to their live action remakes, tending to be visually impressive but not necessary and lacking the heart of the originals (some also suffering from trying to do too much or being too faithful). This is probably not a popular opinion, but of the remakes only 'The Jungle Book' and 'Cinderella' were above good.",/review/rw6341946/?ref_=tt_urv
1 January 2020,Kirpianuscus,," manifesto
","The main impression - this live action version is only a multicultural manifesto, using as pretext only, the original Disney animation. I am not a fan of the live action versions because each of them is far by the poetry of the original. In this case, the sacrifices for a multicultural manifesto are too many and too much. And this is an obvious sin. In my case, for the lost of the beautiful - spices song of the Siamese cats. The virtues - the beautiful opening, F. Murray Abraham, Rose as the expected Lady and, sure, Yvette Nicole Brown performance.",/review/rw6341946/?ref_=tt_urv
15 November 2019,joriethomas,4," Just why
","I was hesitant about this movie, lady and the tramp was my grandma's favorite Disney movie and since she passed, it's Casey personal to me. I walked in aware that there were changes to be more inclusive and tried to not let that bother me but let's be real, why did Jaque have to be a girl? Why did the darling child have to be a girl? Why did they have to have an interracial relationship during a time period where that would've been illegal? I agree with another comment, update the time period then. I'm not Asian so I get that it might not be my place but was the we are siamese part that bad that it had to be omitted and replaced with what imo was offensive to black people?! One of my biggest gripes honestly was I think lady's voice was miscast. Lady had a delicate and sweet voice and I think they should've done that in this one too, she was a delicate little lady which was the basis for the majority of the movie. Honestly, my 4 stars was for the fact that 1 it's not unwatchable and 2 that they cast Sam Elliott as trusty and didn't mess with his character and 3 I loved Ken Jeong's character. Otherwise, this was a miss.",/review/rw6341946/?ref_=tt_urv
16 November 2019,misspaigenelson,1," Seriously?
","If you're going to call it a ""re-imagination"" then ""re-imagine"" the whole thing. Don't keep it virtually the same and then change only a few things to fit your agenda. And just in case you were wondering, a Siamese cat is a breed. That should not be offensive and is literally the equivalent of it being a French Bulldog singing ""I am French, if you please"". Seriously ridiculous. Stop trying to make everything PC and make a good movie for once like Walt used to.",/review/rw6341946/?ref_=tt_urv
15 November 2019,boggie4758,3," what the heck Disney
","Where to begin. Lets start with interracial marriage. It did bother me unlike some people not because it was interracial but it's because Disney stuck that in there that made no sense. If it took place in more modern time it would be fine but not at the turn of the century..it was not allowed and these people would have been arrested. What was up with the cat song. As a child I loved that song. It was as they were trying to whitewash some things and not others. Really why make Jock a girl...what a stupid move. This didn't even hold a candle to the cartoon version not even close...I did like the Lion King, Jungle Book. I thought they were fairly good..but this thing no....",/review/rw6341946/?ref_=tt_urv
13 November 2019,sonarluv,4," It's just not the same!
","You might find this movie somewhat enjoyable, if you haven't seen the original; but in comparison, it is really lacking. Some of the best moments from the original, have been completely removed, while others have just been changed; unfortunately those changes are terrible.",/review/rw6341946/?ref_=tt_urv
29 November 2019,linobox,3," Not worth finishing it. Not even for puppies.
",Mixed marriage in what year again?,/review/rw6341946/?ref_=tt_urv
14 November 2019,xtianarsonist,2," Reinventing the wheel.
","This film is lackluster and completely unnecessary. I had no problem with an interracial couple, except that they are still living in the early 1900's. I'm pretty sure that sort of thing was illegal in most states at that time. Why not update the story to 2019? Or even the 80's or 90's? It's difficult to be culturally diverse when you are setting a film in lily white turn of the century midwestern society. At the end of the day this is just a watered down copy of the original. Is the Siamese cat depiction offensive? Sure. It is what it is for the times, though. I think it's important to see stuff like that and remember how myopic society was not so long ago.",/review/rw6341946/?ref_=tt_urv
12 November 2019,djones0305,6," About what you'd probably expect
","Once again Disney's live action remake of a classic animated movie hits the ""well alright"" mark. This definitely isn't an awful movie. The opening is actually pretty lovely, and overall the movie has a lot of nice aesthetic to it throughout. The few songs are honestly fine. Not really cringy or anything, they don't waste time on these really. The CGI of the dogs is kind of hit or miss. Some scenes it's actually pretty believable and looks great, others it can be a bit wonky. But the movie also lacks what visual luster an animated film brings, not to mention that this version is a bit longer than the animated, so the movie ends up feeling a bit laggy and drawn out. A few chuckle worthy moments, and it does pick up a bit near the end, but overall a very meh, good for playing in the background during casual night, movie. Remember this is a straight-to-video release, and you won't really face much disappointment.",/review/rw6341946/?ref_=tt_urv
29 December 2020,Eiriksterminator,," Way to ruin a classic.
","They basically changed everything...For the worse...Jock is now a girl, for god knows what reason. Which of course means the proposal scene has to be removed. Worse, they changed his(her) character into one that spends her time getting painted by her silly owner, instead of being the wise old dog he is supposed to be. At least he/she still speaks Scottish...",/review/rw6341946/?ref_=tt_urv
10 April 2021,jenny_mullin,2," Errrr....
","Am I missing something but since when was it deemed acceptable for an interracial couple, in the 1900s, to marry, live together and furthermore have children without so much of a blink of an eye?",/review/rw6341946/?ref_=tt_urv
1 October 2020,joeyg-149-99444,1," Awful
","The animation is terrible, they would have been better off utilizing the techniques used in Homeward Bound. The script is terrible, just terrible. Everything feels like they tried their best to look progressive over being realistic to the time period or even remotely true to the story. The only thing they did right was the shot for shot remake of the only scene they apparently thought anyone would care about...the spaghetti scene. Don't bother with this. This is their worst attempt at a live action remake of their classics. It's just garbage.",/review/rw6341946/?ref_=tt_urv
10 January 2021,The_Garrison,1," 39 here, I was really excited to watch this..
","Don't bother, watch the original. It's classic modern Disney scrubbing history in pursuit of the current hegemonic agenda.",/review/rw6341946/?ref_=tt_urv
28 December 2020,ellamsmith,2," Seriously Disney??
","Remember lady and the tramp? The adorable tale of two dogs falling in love, a true classic that made up so many childhoods. Well forget all of that because Disney need to dumb down and trample on it for the sake of profit!
I remember rewatching the original over and over again and never getting tired of it. Although when it came to this I watched half of it (about 3 months ago) and have yet to get back to it!
I watched this with my mum - who doesn't mind these remakes - but even she couldn't defend this one!",/review/rw6341946/?ref_=tt_urv
