Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 January 2021,TokyoGyaru,5," Too dumb to live, apparently.
",Do you ever watch a slasher film and the characters make SO MANY DUMB CHOICES that you stop hoping they'll get out of it and hope they're put out of their misery instead?,/review/rw4664716/?ref_=tt_urv
5 September 2018,horrorgasm,," Decent mindless slasher
","Yes there is almost no plot and it's very nihilistic and gratuitous, but it makes up for that with a truly creepy villain and some very well done and incredibly brutal gore effects. ",/review/rw4664716/?ref_=tt_urv
25 June 2021,Fella_shibby,7," Brutal n gory with sufficient atmosphere.
",I was not keen on seein this as i haven't seen any of the director's previous films. (Cos the killer in this movie is a spinoff).,/review/rw4664716/?ref_=tt_urv
22 June 2021,Coventry,8," Alright, I'll admit it, the clown is terrifying!
","Next to zombies, killer/evil clowns are the most dreadfully overused type of villains in horror cinema. So overused, I daresay, that we even reached a point where - like zombies - the clown has become a lame caricature that isn't the least bit menacing or scary anymore.",/review/rw4664716/?ref_=tt_urv
24 October 2022,Xstal,6," All the Fun of the Unfair...
","Here is a film that will induce a big frown, as a marauding psycho wanders around town, with oversized boots and a dark crooked smile, a bag full of tools to remove and restyle, expresses emotions with gesture and mime, will take all you've got when you've just reached your prime, no mercy or pity, as you beg and you plead, feasting on all features, as you drain and you bleed.",/review/rw4664716/?ref_=tt_urv
7 April 2018,claudio_carvalho,4," Promising Beginning, Terrible Collection of Stupidities and Clichés
","The overrated ""Terrifier"" is a horror film with a promising and funny beginning, with the alcoholic Dawn acting like a stupid and the clown accepting the silliness. Until the moment Tara and Dawn are abducted, the film works reasonably well. However, when Victoria drives to give a ride to her sister and Dawn, she hears that there is a serial killer in the area. But even being aware of the dangerous situation, she begins to take a series of very stupid e clichés attitudes culminating in the awful conclusion. My vote is four.",/review/rw4664716/?ref_=tt_urv
1 April 2018,derekjager,4," Like watching hide & seek for 90 mins; tedious & a bit dull
","This film really needed a PLOT. And characters, some people to root for. Instead, the poor pacing, lack of tension and suspense made for a kind of dull film experience. Yes, Art is a crazy, vicious clown killer. If that's all you want, then you'll see it here as he wounds, kills and dismembers people. The problem is, he will injure someone--a woman's ankle is almost torn out--and the next scene, she's running. People have their heads bashed in...and later, are able to get up and function. It really doesn't make a lot of sense and since Art seems to pop up in more places than possible, he's never really a surprise--he's overused. Clearly the director knew the story was thin, so every few minutes, Art pops up to attack someone. It really is disappointing since the short films showed some potential but when a whole film is given to Art, he's boring and predictable. I'm sure there will be another one--I hope the screenplay is given as much attention as the gore effects.",/review/rw4664716/?ref_=tt_urv
20 November 2022,deloudelouvain,2," Bad is an understatement.
","After reading all the fuzz of people fainting and/or vomiting, leaving the theater for Terrifier 2 I have to admit I was curious about the whole thing. I do like a little gore movie every now and then and my wife is terrified of clowns so that's a good reason to watch that movie. But first I decided to watch this one, the first one, just to be into the story and to be sure not missing anything from the whole plot. Well that was a big mistake. What a piece of crap this was and like I said before I do like gory movies but this one was so dumb I got bored after only fifteen minutes. Damien Leone gets two stars from me for the butchering parts that were okay considering the extremely low budget this movie must have. But the story, if you can call it that, was just so annoying to watch I already don't feel like watching the sequel. If it's of the same level I will probably not leave the room terrified but bored to death. I get it that this one was low budget but that doesn't necessarily mean you need to have bad actors but in this case you get your fair portion of very mediocre actors. The worst one was by far Pooya Mohseni. Please find another job and spare us from this garbage in the future. I hear McDonalds is hiring so there you go, there still hope for you. I will watch the sequel but to be honest I don't have high hopes. Hopefully I'm wrong. Verdict tomorrow...",/review/rw4664716/?ref_=tt_urv
18 May 2019,Platypuschow,5," Terrifier: Brutal but generic
","Art the Clown started back in 2011 with a short movie by the same name, truth be told I didn't like it. The creator Damien Leone would keep Art around in his feature film All Hallows' Eve (2013) but as a small role.",/review/rw4664716/?ref_=tt_urv
30 March 2018,spyroskonst,5," Wasted opportunity....
","Off to the good stuff first.
* The killer clown is the creepiest and scariest i have ever seen.
* Considering its budget, the cinematography, gore, effects and make up are outstanding.
* The killings are amazingly enjoyable. In this part the movie does not hold back!
* It starts out very promising.",/review/rw4664716/?ref_=tt_urv
