Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 February 2006,ccthemovieman-1,10," Maybe The Best Ever For Just Pure Entertainment
","Among the thousands of films I have viewed, this movie would rank near the top for sheer entertainment. That's not saying it's the best-made or most intelligent or scariest or funniest or features the best effects, etc. etc. But combine all those and you have a film that's tough to beat when you're looking for 100 minutes of escapist fun.",/review/rw4595484/?ref_=tt_urv
17 August 2002,MovieAddict2016,9," An excellent family entertainment achievement, with the keyword family, not just kids.
","The smash hit 1995 film Jumanji- based on the children's book- is a great family film. The plot of the story involves a young boy named Alan Parrish who in the 1960's finds a supernatural board game, that was buried underground in the 1800's. Alan is instantly drawn into playing the game, and Sarah-a girl who lives close to him- also joins in the game. After the powers of the game transport young Alan into the jungles of the board game, no one believes Sarah's story of what happened, and everyone suspects foul play. ",/review/rw4595484/?ref_=tt_urv
29 November 2003,Smells_Like_Cheese,8," A fun and adventure filled film fit for the whole family!
","I just used to love ""Jumanji"" as a kid. This was what was Oscar worthy to me, because I loved the special effects and Robin Williams. Even though I think I over did it with the Oscar worthy thoughts, still to this day I enjoy ""Jumanji"". It's a great family film that will make you feel good and have fun with.",/review/rw4595484/?ref_=tt_urv
19 June 2015,claudio_carvalho,7," Dangerous Boarding Game
","In Bradford, New Hampshire, in 1969, the bullied boy Alan Parrish overhears drumbeats and finds a boarding game called ""Jumanji"" that was buried one hundred years ago by two boys in the real estate of Alan's father Sam Parrish (Jonathan Hyde). Alan plays the game with his sweetheart Sarah Whittle and vanishes while Sarah flees from bats that have arrived in his mansion. ",/review/rw4595484/?ref_=tt_urv
14 October 2005,lee_eisenberg,7," I guess that life is a game of chance!
","You know the drill: young Alan Parrish gets sucked into a board game called Jumanji, returns when a brother and sister are playing 26 years later, and has to battle the animals that wreak havoc on the town. It all seems pretty simple, but they play some neat tricks with it in the movie. As the adult Alan, Robin Williams is more subdued than usual, but still makes the character admirable. With good support from Bonnie Hunt, Kirsten Dunst, David Alan Grier, Bebe Neuwirth, Jonathan Hyde and Patricia Clarkson, this is a pretty interesting movie. I will admit that the monkeys looked pretty fake, but we can't dwell on that in this movie; the point is to enjoy oneself while watching it.",/review/rw4595484/?ref_=tt_urv
7 March 2021,pawanpunjabithewriter,8," A Classic Adventure-Fantasy-Comedy
","I watched this classic in 2021 for the first time. Trust me, I never felt like old boring stuff. It was truly amazing. Nor, after watching the Jumanji movies till now except for this, did I find this one to be similar. It was different. It was Classical. It was a great show. Fantastical Fantasy. Good adventure although latest ones have lot more. However, this, suprised me considering I had made up my mind of what Jumanji could be. But this was truly amazing. Although latest ones have great cast, next level VFX, astounding adventure, this one's the best. I do love the first part of the latest ones that came in 2017, I'd find rather take a tie between the two than selecting one. Thank you. However, lemme tell you, it was leaving Prime, so I watched and it was worth it.",/review/rw4595484/?ref_=tt_urv
6 April 2013,picturetaker,7," Jumanji a great classic movie of the mid 1990's
",I have not seen this movie in more then a decade perhaps even more so it was pretty new to me again. Sure I remembered a few things here and there but I didn't remember the amount of CGI for a movie made in 1995 or how well the story was.,/review/rw4595484/?ref_=tt_urv
16 November 2009,TheLittleSongbird,9," Brilliant family entertainment!
","While I try not to take IMDb ratings to heart, I do think the rating for this film is too low. The film is absolutely fantastic in all departments. I will admit, there are some bits that are quite scary due to some scenes that are amazingly dark. The film does start off slowly, but when the film fast forwards to twenty six years later, the film turns into fast-paced family entertainment. Other than one or two scary scenes and the slow beginning, I could find very little wrong with Jumanji. The story is great, very intriguing and filled with humour, scares and poignancy. The cinematography and scenery are constantly breathtaking, and the special effects are extraordinary. The film is aided by a hilarious and poignant script, spirited direction, atmspheric music and the fact that it goes at a very fast pace. Even the acting was great, with Robin Williams in one of his best performances as Alan Parrish. While he is subtle in places, the director allows him to be funny, which is what he does best. Bonnie Hunt is good too and she and Williams have great chemistry, and Bradley Pierce and Kirsten Dunst are cute and lively. Plus the ending is nice and satisfying. All in all, I love this movie, even with its very minor problems, it is non-stop fast paced family entertainment. 9/10 Bethany Cox",/review/rw4595484/?ref_=tt_urv
30 December 2008,JamesHitchcock,7," Exciting Family Adventure
","In 1969, in a small town in New Hampshire, a twelve-year-old boy named Alan Parrish finds a Victorian-era board game called ""Jumanji"", and starts to play it with his friend Sarah. What the children do not realise, however, is that the game has strange, mysterious powers, and when Alan's token lands on a particular square he is suddenly sucked into the game. Unsurprisingly traumatised by the disappearance of her friend, Sarah runs out of the house shrieking, leaving the game unfinished.",/review/rw4595484/?ref_=tt_urv
28 April 2013,neil-476,9," First rate family fantasy
","Unhappy young Alan disappears while playing creepy board game Jumanji. Years later, two more children find the game and continue where Alan left off.",/review/rw4595484/?ref_=tt_urv
