Review_Date,Author,Rating,Review_Title,Review,Review_Url
3 November 2019,Tweetienator,7," I Want That House
","I like this one - of course the real star of The Haunting is the house and the interior - awesome, marvelous, top of the pop, whatever. The story itself of course is a well known one but the cast (Neeson, Zeta-Jones, Wilson, Lili Taylor ) works just solid to good with the story provided. All in all a nice haunted house movie that really lacks only here and there some (serious) gore and maybe one or two unique ideas to make it a more mature horror movie. My rate 6 + 1 bonus for the outstanding settings.",/review/rw0595939/?ref_=tt_urv
17 September 2018,EggOrChicken,8," Not a horror, but still interesting!
","If you wanted a horror story, they tricked you. Happy Halloween! But, it still has a good story line and it's visually interesting. Compare it to Thir13en Ghosts (2001).",/review/rw0595939/?ref_=tt_urv
5 September 2019,paul_haakonsen,6," A rather good haunted house movie...
","I have seen the 1999 movie ""The Haunting"" a couple of times now over the years since it was initially released. Well, this remake, I mean, not the original movie.",/review/rw0595939/?ref_=tt_urv
24 November 2003,Smells_Like_Cheese,1," Nothing could have saved The Haunting
","The Haunting, if you have seen the original, you know a great ghost story, it's perfection on film. It's a haunting tale of 4 people who go into a haunted house and with the simple trick of sound and movements, it terrified people. It still remains effective to this day if you appreciate film. So when The Haunting was remade in 1999, a lot of people pretty much had the same reaction ""WHAT? WHY? WHAT THE"" But in my opinion if a remake is respectful enough and just wants to reinvent the story for the newer generation, I'm pretty cool with it. This is definitely not the case, this is just a disrespectful boring shame that will waste your time and I guarantee will deliver no scares pfft! PG-13, what where they thinking? Not much apparently.",/review/rw0595939/?ref_=tt_urv
21 July 1999,DocHobbs,4," Subtle chills....what's that???
","Well, my goodness, am I disappointed.  When I first heard news of a remake of Robert Wise's 1963 film, ""The Haunting"", I had a fear that it would be ruined by an abundance of summer-movie sized visual effects.  But, deep down, I had faith.  Surely, with such a talented cast intact...De Bont and company will not ruin a film, who's original was a fantastic and frightening movie that understood the delicate art of subtlety.  Well, subtlety, where are you now!!??  My fears have manifested...a promising movie has gone wrong. Yes, Eugenio Zannetti's production design is jaw-dropping; the movie is wonderfully photographed; and composer Jerry Goldsmith can never EVER do wrong. But, the script puts it's fine actors to the test..asking them to deliver the kind of stilted dialogue that is only spoken in movies.  In the end, the always wonderful Lili Taylor is the only performer to escape with some dignity...and that's just barely. But, the crime of all crimes is that the horror is shown to us.  We can no longer use our imaginations, feel that horrible dread of fear of the unknown.  No, we get some visual effects to SHOW US what we're supposed to be afraid of...and you know what?  As wonderfully realized as they are...the visual effects come off as sort of silly.  And the climax is a phantasmogoric mess...but things had gone terribly wrong long before that. ",/review/rw0595939/?ref_=tt_urv
18 November 2000,jiangliqings,," A lackluster supernatural thriller.
",* and 1/2 stars out of ****,/review/rw0595939/?ref_=tt_urv
23 May 2007,petra_ste,5," When Shirley Jackson becomes Scooby-Doo
","The setup was creepy, cast members reliable, production values remarkable. Too bad director Jan De Bont is to horror what garlic is to vampires.",/review/rw0595939/?ref_=tt_urv
1 June 2001,mrskywalker,10," More Like Hammer Films
",I know it is fashionable now to hate this movie.  I have seen hundreds of spook films including he original 1963 Haunting as well as most of the Hammer films.  This film is not restrained and does not hold back at all which is probably why so many modern viewers seemed not to like it. Yet many viewers can accept out of control films like Scream because knife killers are more easy to believe for most people than demons or ghosts.  Actually this film had many great scenes and the acting and special effects were great.  I have seen it 15 times now and it gets better every time. The director of this film has made a number of interesting and stylish films and was not trying for the type of realism of the 6th sense.  The Haunting lets go and is certainly not boring.  Perhaps this film might appeal more to John Carpenter fans but more of an traditional plot structure.  The old Haunting was also a fine film from 1963.  It was even more scary.  See both and also The Innocents and The Legend of Hell House with Pamela Franklin.,/review/rw0595939/?ref_=tt_urv
25 July 1999,bat-5,7," Creepy, but could've been creepier.
","The Haunting is a film that boasts a really creepy house, good effects work and sound work, a cast that seems to believe that everything around them is real and that house.  There are scenes that make you jump, and the sinister aspects of what went on at Hill House in the past, I found interesting. There are genuinely creepy moments in the film and I liked the way the ghosts manifested themselves in sheets, curtains and the house itself. Jerry Goldsmith's score gave it the right atmosphere and the sound design had voices popping up around you.  What I wish could've happened is for something a little more intense.  Jan De Bont had a PG-13 rating to contend with and I think that he held back a little too much.  Poltergeist scared me silly when I saw it many years ago, and it still holds up.  The Haunting could've used a few more scenes of pure terror.   The ending was for me, a little anticlimactic.  Overall, I enjoyed it.  The acting is good and there are moments that make you jump.  I just wish it scared me more.",/review/rw0595939/?ref_=tt_urv
24 October 2011,ma-cortes,5," Suspenseful and frightening terror movie about a haunted mansion
","It's a remake to long deemed one of the masterly crafted stories of horror ever brought to the screen ¨Haunting¨(1963) by Robert Wise , a gripping film which still packs a punch . Hill House is a hundred-year-old haunted mansion , it is the setting for chosen group . The haunted house has an evil history with tragic accidents, suicide, and human misjudgement. It seems which the scary mansion has been the place of several killing deaths . A psychologist scientist (Liam Neeson) is a Pyschic researcher who assembles a group with histories linked to the paranormal. As three people are lured to an eerie mansion deceived for fake pretenses realized by a psychological researcher . Nell (Lili Taylor) was the subject of unexplained poltergeist activities as a child. She also is riddled with pain over her mother's death. Theo (Catherine Zeta Jones) is a clairvoyant who befriends Nell at Hill House. Owen Wilson plays a cynical and Bon Vivant sent to make sure that the property is not affected by the researchers. Together the group explore Hill House and their own insecurities and finally face off the evil that inhabits with hair-raising results .",/review/rw0595939/?ref_=tt_urv
1 February 2010,john_oneill41,7," Better than it's score would suggest although not without faults
","This remake of the sixties classic of the same name has unfortunately been somewhat slated by critics, although I feel it's better than most people seem to think it is.",/review/rw0595939/?ref_=tt_urv
2 January 2021,Hayden-86055,7," In defence of The Haunting
",The Haunting is an extremely creative and interesting film that could well have been amazing if pulled off correctly.,/review/rw0595939/?ref_=tt_urv
27 July 2005,poolandrews,5," Mildly entertaining big budget horror, nothing special but not too bad either.
","The Haunting starts with Eleanor Vance, Nell for short, receiving a phone call telling her to take a look at an advert in a paper. An advert which is seeking people who suffer from sleeping disorders to take part in some research conducted by Dr. David Marrow (Liam Neeson) as well as paying $900 a week she gets a roof over her head for free. Since Nell has just been chucked out of her flat & has no money this doesn't sound such a bad idea & gives Marrow a call. Nell is instructed to go to a huge Gothic cross between a castle & stately home 'Hill House' which in reality is called Harlaxton Manor & is located in England, once there she meets up with another test subject named Theo (Catherine Zeta-Jones), they talk about Theo's fetching thigh high boots for a bit & explore the House & eventually stumble upon the third & final volunteer, Luke Sanderson (Owen Wilson). Then as if by magic Dr. Marrow himself makes an appearance along with a couple of assistants, Mary Lambetta (Alix Koromzay) & Todd Hackett (Todd Field). That night Mary suffers an accident & is taken to the hospital by Todd & strange things begin to happen, banging at doors, whispering noises & an overall feeling of unease. The house seems to be effecting Nell more than anyone else, it seems to be trying to tell her something, something about it's dark past that Nell can perhaps put right but there are evil forces at work that don't like house-guests...",/review/rw0595939/?ref_=tt_urv
27 May 2020,killercharm,6," I love this remake
","Critics' pans aside I love this remake. It has its own flavor of this story. This is a much more visual version than the original. The cherubs on the wall are so emotive, they actually scared me for a sec. This is the second version of Shirley Jackson's fab story about an anthropologist trying to prove the afterlife in a notorious old mansion. In order to do so he invites certain types to spend the night. High-jinks ensue.",/review/rw0595939/?ref_=tt_urv
5 February 2021,jonathanerk30,9," Under rated classic
","This is one of the first horror films I ever watched and in my opinion one of the best. The cherubs faces imprinted into my brain since I was 11. The sets, architecture and attention to detail are incredible.",/review/rw0595939/?ref_=tt_urv
11 January 2021,SamJamie,8," Revisiting ""The Haunted"".
","Dr Marrow enlists Theo, Luke and Nell for a study of sleep disorders at the Hill House. As soon as the terrifying truth about the mansion is revealed, everyone is found fighting for their lives.",/review/rw0595939/?ref_=tt_urv
