Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 May 2022,xbarracx,1," I USED to love anything Ghost Adventures
","Update - I saw the 3rd episode ""Auburn In Hell"" and must admit this shows getting bad quick. What a horrible 3rd episode! Whoever is picking these locations and people to investigate should be fired. And is Bagans going to seriously just FaceTime the group every episode? That was another horrible idea. This show started good but now sucks. The lady in s1e3 is a horrible actor and it's blatantly obvious everything happening is fake. You'd think they would try a little harder making it seem authentic. Huge let down. If I happen to watch the next episode I may update this but I doubt it will change. I was a GA fan but that's starting to change if this is what they turn into.",/review/rw8288701/?ref_=tt_urv
4 June 2022,laineyd-15587,3," Not impressed. Zak is too full of himself
","Zak can't even bother to show up, he just phones in his performance and makes everyone else do the work.",/review/rw8288701/?ref_=tt_urv
22 May 2022,asharmbers,5," A little respect goes a long way
","This looked promising, but alas. I think this crew need to sit down one night together, watch 3 x their early episodes, then watch a couple of the latest ones and see if they too can see whats happened to them.",/review/rw8288701/?ref_=tt_urv
5 June 2022,luise911,1," Rubbish
",I gave up on this halfway through episode one. The 'investigators' decided almost immediately they were dealing with a demonic entity without any real proof and after that it was just the usual of Zac feeling angry (via zoom!) and Aaron getting totally over excited while trying to antagonise whatever was in the house. If I was a ghost I would have been p**sed off and acted out too!,/review/rw8288701/?ref_=tt_urv
23 June 2022,ParanormalPrincess,1," Horrible concept and I don't like the editing!!
","I'm truly disappointed with this new spin off series, between the filters used on their faces when talking through video to the poor editing it's not good. Zak is also not present and speaks through audio like he's the wizard of Oz behind a screen screaming at others what to do. Ugh, used to be a fan not anymore.",/review/rw8288701/?ref_=tt_urv
17 June 2022,timurtaimur,6," It's GA without Zak
",This show is essentially another series of Ghost Adventures except they're visiting locations suggested by viewers.,/review/rw8288701/?ref_=tt_urv
30 May 2022,ajproductio,1," Totally Fake
",I have been doing Paranormal Investigation for many years. And I used tonwatch your show to see what is real or fake. Well show is completely fake. The first two new episodes of your house call show. Was some what okay. But the the third is completely fake. The lady Melissa is a a fantastic actress but a complete liar. I have been to many different locations after you all posted and episodes of your ghost adventures. A few of them I do get some communication with the spirits. And get answers. But a lot of your other locations were all bullshit... People pay attention to a lot of Zaks Videos. And your will see and can tell how much lies they are saying. I think the only real way for the world to see if your show is real would be to have me and my team do a true investigation with you. So they can see that it's just a show and not all of itn is true!!!! Sorry I have to let the world know the truth!,/review/rw8288701/?ref_=tt_urv
10 July 2022,jon-stokes21-539-17875,8," These Were Always My Favorite Shows To Begin With!
","Read a lot of these reviews and nearly didn't watch the series. I'm amazed how board people are they spend their free time (I don't have that sort of extra time) watching shows they know they're going to hate or dislike or have the intensions of calling it ""fake"" before they even tuned in to watch the show. These shows (ghost and paranormal shows) aren't for everyone, I get that. However, if you do enjoy ghost paranormal shows this is among the most entertaining PERIOD! Continue to read and you'll see I'm not even the biggest fan of Zak Bagans, yet despite his annoyance, the show still flows very well, I don't believe for a second those telling the stories unquestionably believe what they're experiencing is real. The question is, is it in their heads?",/review/rw8288701/?ref_=tt_urv
3 July 2022,biggguix,3," These houses
",OMG why are people seeing ghost always live in such poor conditions. The last one (s01e08) was terrible. These people have other issues to be fixed first. There is less and less happening with every episode. Really hard to watch.,/review/rw8288701/?ref_=tt_urv
1 July 2022,mchawk,2," Poorly done
",Each episode so far features families below the poverty line who excuse cases of domestic violence as paranormal.,/review/rw8288701/?ref_=tt_urv
3 September 2022,steampunk-30286,3," It's ok
","I've been a fan of all ghost hunting type shows since I was a child and Ghost Adventures used to be a favorite until it seemed to become more scripted, with a lot more acting. I also really don't like the provoking... from other shows I've watched, provoking really isn't a great idea and can often make things worse. Season 1 ep 1, my issues with this series began from the start when they automatically assumed a demonic entity without actual proof and then proceeded to provoke. If the couple in this episode really were experiencing things in their home that seemed malevolent, I'm sure the team just escalated it and left the couple with it. It makes me angry for them.",/review/rw8288701/?ref_=tt_urv
