Review_Date,Author,Rating,Review_Title,Review,Review_Url
15 November 2016,A_Different_Drummer,7," Re-imagining the Re-Imagining
","I ""get"" that it is a time-honored tradition on IMDb that the first reviewers of any new series are usually fans in the making who have fallen in love with the show and want to sound the trumpet for others to follow.",/review/rw3614983/?ref_=tt_urv
6 July 2022,shaun-35238,8," Watched 3 series in 4 days
",Surprisingly this is one of the most binge worthy series I've seen in a long time.,/review/rw3614983/?ref_=tt_urv
7 February 2018,saltpieter,," Entertaining But Unbelievable
",So you can discharge very high calibre weapons at will in public places and no-one calls the police? People can be killed and no-one ever witnesses the incident. Did the American people all go overseas at once as there is a complete absence of normal movement of people during incidents in the show.,/review/rw3614983/?ref_=tt_urv
13 April 2019,markybbop,4," It gets worse as the seasons go by
",Series 1 is watchable but pointless if you have watched the film. 2 and 3 are so cheesy and just wouldn't happen. Poor actors and acting throughout. I cannot believe it's still going,/review/rw3614983/?ref_=tt_urv
18 November 2016,mike_brunton,9," I enjoyed the pilot
","There are quite a few bad reviews for this pilot episode of Shooter, and I don't quite realize why. I am a big man of a well made series and also quite picky and critical. Very few series can maintain my interest for a long time, Game of Thrones, Breaking Bad, Dexter, Boardwalk Empire, Hannibal are just a few I have stuck to right to the end. However, as movies are so badly made these days, Star Trek Beyond anyone? I have to admit I enjoyed the pilot. I think Ryan Philippe was fine, he didn't appear too young to be a seasoned vet. I thought the family angle was endearing and added to the torment of what is about to happen to him. I watched the 2007 movie Shooter with Mark Wahlberg and I also think it was a very good movie that deserved a higher rating. Many people have talked about the series of books that movie and this series are based upon. If the series follows the book (I presume), and the movie then we kind of know what to expect from the following episodes, but even then I don't care. It will be interesting to see if they can maintain the suspense and action for 10 or so episodes. Sure, perhaps nine out of ten is too high a rating, but clearly there were haters out there slating this pilot and giving it two or three stars which is just unfair. I am also pleased that clearly right from the start the producers are saying this is just one season and not going to be drawn out and become ridiculous like Prison Break, and personally I have felt the same with Gotham, The Flash and the 100 (although season two was excellent, season three made me leave). So sure we know what to expect from the coming episodes, a lot of running, a lot of conspiracy theories, a lot of Swagger digging for the truth, and I am fine with that, if they keep up the production values and dialogue, and the directing was fine.",/review/rw3614983/?ref_=tt_urv
30 September 2017,grimjac100,8," Worth The Time
","Lot of reviews and as one reviewer noted, seem to fit into two camps, each seizing every opportunity to support their view.",/review/rw3614983/?ref_=tt_urv
30 November 2016,clacura,7," Loved the Movie, Ep 3 finally got it right!
","A series pilot today is everything. it is like the weekend box office results for a movie. It has to hit. That is the new reality in TV. There are just too many options. That said, hang in there. The pilot was not Mr Robot. That was one of the best pilots ever. ",/review/rw3614983/?ref_=tt_urv
24 August 2018,YabbaDabbaDabba,1," Season 1 Good. Then It Just Went Off A Cliff!
","I hate conspiracies that drone on and on. I hate stupid plots. Phoenix, Atlas, give me a break. Conspiracies always foretell cheap writing, cheaper script writers and just plain dumbness. This has been going on for seasons 2 and 3 and I'm tired of it. I have been tired of it. This went off the cliff in season 2. Not interesting, not believable and just plain boring. Don't waste your time when it starts reruns in a couple of years because it hit the cliff entirely too soon.",/review/rw3614983/?ref_=tt_urv
17 January 2017,redx1708,1," Lord have mercy
","This is not really a review since i turned it off in disgust after watching 30 minutes of the 1st episode. I have read all the books and they are class material just begging to be made into movies. The Mark Wahlberg movie was decent but not remarkable, probably because of the limited time they had to unfold the plot, so I was looking forward to the series adaption which could really get all the plot right. What a disappointment though. It's the classic ""the book ain't good enough, we can certainly do better"", syndrome. So why not write an original story instead of just borrowing character names ? Living in a cabin Deep in the Woods with his dog ? We can't have that. Lets give him a nice house and a Hallmark Family. Oh, and let's turn Nick Memphis into a sexy female FBI agent. Indeed let's forget all about the stupid book and do our own thing. Well Lord have mercy !! Can't believe Steven Hunter approved this.",/review/rw3614983/?ref_=tt_urv
13 March 2021,kosmasp,7," The whole package
","I really am curious if there ever will be the day, when people stop rating a whole show based on just either a couple of episodes or the very first season. The only show I rated before it ended (and I will update before you cry foul once it continues) is Cobra Kai. But as I've already stated, I will update my rating if necessary, but certainly edit and extend my review to it.",/review/rw3614983/?ref_=tt_urv
25 December 2020,cereyese,7," Alternative ending in my mind
","I watched the 3 seasons in under a week and got really hung on the series. I really liked it. The first 2 seasons are way better though, in the third one it seems they forgot bob lee's a sniper. No sniping from him. The ending however.... after everything, really?? Please un-shoot julie, it left me depressed. I created an alternative ending in my mind and will pretend this never happened.",/review/rw3614983/?ref_=tt_urv
12 October 2018,orkankurt,6," Can't wait for it to end.
","S1: First season was somewhat okay, they sure don't know much about shooting though. I guess i would recommend you to watch that for what it is. 6.5/10",/review/rw3614983/?ref_=tt_urv
19 June 2018,witster18,7," beware of the technicality dockers!
","Listen, I didn't serve, and I'm not a weapons expert, so I wouldn't know if there are technical issues with the series. That said, for a USA series this is surprisingly entertaining. Also, it's pretty hard to find any soldier-based actioner or science/dr piece without finding something to gripe about.",/review/rw3614983/?ref_=tt_urv
6 September 2020,Booster-Gold,8," A very decent show through and through.
",I don't believe I spoil any of the show in this review.,/review/rw3614983/?ref_=tt_urv
30 November 2016,Ivanero,10," A non fallacy review
","After three chapters, I don't think it really deserves a 10/10, more like a 8/10 or 9/10.",/review/rw3614983/?ref_=tt_urv
