Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 January 2023,Supermanfan-13,9," Good Sci-fi Series!
","Stranger Things absolutely lives up to all the hype! This worldwide phenomenon has been one of the most talked about shows since it came out back in 2016 and for good reason...it's terrific! It's an absolute blast to watch and will keep you entertained throughout the entire series. This has everything a show needs to be great...action, comedy, drama, suspense, even nostalgia with this show. You really come to care for these characters and what happens to them. Obviously, season 1 was the best but the others are not far off. All are absolutely worth watching and I can't wait for the new season! Season 5 of s going to be its last so hopefully it goes out as good as it started. I can't wait!",/review/rw7091918/?ref_=tt_urv
23 November 2016,planktonrules,10," Strange, that's for sure...but also very, very good.
","""Stranger Things"" is a very big surprise. After all, it's a made for Netflix series, so it's going to be cheap and suck...right?! Well, no...fortunately. Despite having mostly no-name actors and a modest budget, this show turned out to be a hit and one that promises to bring us more episodes. At the time I am writing this, the eighth episode has been aired and the series appears over...or so you think until the very end.",/review/rw7091918/?ref_=tt_urv
9 January 2018,Sleepin_Dragon,8," Never judge a book by its cover.
","I am one of those people that was put of by the thought that this was a kid's drama, from the advertising you'd swear this was aimed at a 4 o'clock after school transmission time, the reality is far from that. It's quite intense drama, thoroughly absorbing, the kind of show you can't help but binge watch. As someone that grew up in the Eighties, I can appreciate the detail that's gone into the production, it's like they slipped back and filmed it live, it is incredibly well made. I utterly love the music, it is so fitting, takes me back to wonderful eighties shows. Quality in both season one and two, I like the build up and tension that is abundant in the first. It's like the Goonies meets The Quatermass Experiment.",/review/rw7091918/?ref_=tt_urv
22 July 2016,cherold,9," Captures that '80s magic
","There is no reason, in terms of story, for Stranger Things to take place in the '80s. But the '80s atmosphere - the dial phones, the chain smoking, Winona Ryder - are there to clue you in on the inspiration for this movie, which is pretty much every supernatural movie from the 80s with a focus on kids. E.T., Poltergeist, that sort of thing.",/review/rw7091918/?ref_=tt_urv
11 January 2023,DiCaprioFan13,9," Lives up to all the hype!
","Stranger Things is absolutely as good as everyone says it is. When a show is as talked about about as much as this one has been it's hard to live up to expectations. Stranger Things has not only met those expectations but has surpassed them in every way. This is the show that our Netflix on the map as far as original shows go as this was not only one of their first but their biggest. As much as I love this show it's probably time for it for end and it is. This upcoming season is going to be the last. We have literally watched this cast grow up, they were children when this show first started and now they're all in their 20's. I can't wait for this last season and going to miss it when it's gone.",/review/rw7091918/?ref_=tt_urv
23 January 2023,dszabo-53136,10," Very good
","The series is set in the fictional town of Hawkins, Indiana in the 1980s and follows a group of friends as they uncover supernatural occurrences and government conspiracies.",/review/rw7091918/?ref_=tt_urv
23 January 2018,gogoschka-1,," A nostalgic callback to the stories from my youth - but also a beautifully shot supernatural tale with charming performances and great production values
","There were two dominating forces in the eighties that had a lasting effect on my cinematic taste for ever after and also resulted in my undying love for fantasy, sci-fi and horror stories: Steven Spielberg and Stephen King. I guess it isn't an overstatement to say ""The Two Steves"" probably influenced and shaped the imagination - the dreams AND the nightmares - of an entire generation.",/review/rw7091918/?ref_=tt_urv
22 June 2022,magnoliacream,10," Never fails to satisfy
","Season after season, this always leaves me feeling amazed, exhilarated and fully satisfied. There is an element of familiarity, even cliche, about the stories involving aliens, monsters, lab experiments, orphans and family relationships, yet the way they are presented is both nostalgic and magical.",/review/rw7091918/?ref_=tt_urv
13 January 2023,jasperMeulendijks7,10," This is something you must watch! (season 4 review)
","Review season 4
I still have a lot to say. There are almost no downsides to this series. Let me start with the fact that the characters are all fantastic and Eddie in particular is a really great addition to the cast. I think his character arc is phenomenal. I can say something positive about everyone. I'm watching this season for the 4th time now and it's still very good. In fact, now that I watch it for the 2nd time, I notice more and more details. What I also really like about the series is that everyone can compare themselves to a character. Furthermore, this is a bit of the season with the denouement of all your questions. The special effects look very good. What I actually like the most in terms of story is that this season really brings you back to the first season. This season also brings back several characters from seasons 1 and 2. I still have to say it, but argyle and murry are the funniest characters in the series. Almost everything they say is so funny! I laughed incredibly hard several times. I think that's really cool anyway if you don't just have to laugh in a series, but also cry and watch enthusiastically. I think that all emotions pass by at some point and that is really something that is great! Yes, I really shed some tears at the end of season 4. I really can't wait for the 5th season. Unfortunately that will take a while... I must also say that this feels a bit like a comfort series. This is truly something I could watch for hours. It never gets annoying. If you haven't seen it yet, what are you waiting for? Now fire up Netflix and go watch it.",/review/rw7091918/?ref_=tt_urv
4 January 2023,hjvergara,9," Season 4 Review - Best Season Yet!
","After watching the final two episodes of ""Stranger Things: Season 4"", I appreciate the decision to make them into longer episodes - I understood the importance of wrapping up two essential story arcs: that of Papa and El and then Vecna and...everyone else. Well...so to speak. When all is said and done, I can't help but think of Plato's Allegory of the Cave.",/review/rw7091918/?ref_=tt_urv
