Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 January 2019,ComedyFan2010,8," A positive movie
","Is this movie very original? Not at all. It follows the common formula of such self confidence movies. But it is lovely executed and I ended up enjoying every minute of it. It is very charming and positive. Positive not just in the main message (love yourself and be who you want to be) but also in the execution and how nice the characters are. Nobody is hateful and negative to others (except for that guy in the beginning who got what he deserved). There are no nasty jury who need to be proven something, no nasty contestants trying to sabotage you, actually no mean mothers. The only person one needs to prove something to is oneself. The rest of the women and girls are very nice to each other, which is so wonderful. And this is something that was kind of special in this movie.",/review/rw4499872/?ref_=tt_urv
9 December 2018,tbyrd-50088,9," Whatever Haters
","Is the movie an Oscar contender? No, but who cares. The movie has a great message and it's fun. I enjoyed the movie from beginning to end. All you naysayers and haters, get some joy in your life and be entertained without tearing down. It's a movie for teens to learn the value of understanding who you are and living your best you. Something us 40 somethings need to be remind of too!",/review/rw4499872/?ref_=tt_urv
20 July 2019,JoBloTheMovieCritic,7," Dumplin'
",7/10 - body positive YA book adaption lives up to the hype,/review/rw4499872/?ref_=tt_urv
8 December 2018,amcedelstein,8," warm and perfect
","""Find out who you are and do it on purpose"" - Dolly Parton",/review/rw4499872/?ref_=tt_urv
8 December 2018,zack_gideon,9," Feel Good Movie of the Year
","Not a Dolly Parton fan and wasn't familiar with the book, but this movie is just happy and uplifting. In today's negative news cycle of garbage, something like this is a ray of hope. This film spits in the face of stereotypes and hatred. It's all about LOVE. Thanks Netflix!",/review/rw4499872/?ref_=tt_urv
9 December 2018,senseofsight18,9," It you want warm feel good vibes this is perfect
","Full disclosure, I have not read the book so I saw the movie with virgin eyes and zero expectations. If you're looking for a deep, insightful comedy drama with a bunch of existential messages this is not the movie for you. If you're looking for warm and fuzzy feelings mixed with some sass and charm I recommend this movie. My belly didn't ache from laughing, but my mouth did hurt from smiling so much. If you watch enough movies and TV they all become predictable, but that doesn't have to take away from your enjoyment or the message of self love that this movie leans on. So found a comfy spot on the couch, grab some tea, and let the positive vibes flow.",/review/rw4499872/?ref_=tt_urv
8 December 2018,gatannahfiles,9," If you only watch this for how female friendships are portrayed...
","... that will be plenty. The young (and older) women in this film are supportive and kind to each other. Netflix has plenty of titles where women are enemies (or frenemies), undermine each other, try to get revenge, and are generally nasty in their own selfishness to be fulfilled. It is insulting to me as a women to be portrayed as though I feel like every other female is a competitor in some zero sum game where if they succeed, I lose something. So it's nice to see a film where women are not catty and petty.",/review/rw4499872/?ref_=tt_urv
7 December 2018,bef1991,5," Disappointed
",There was such hype about this movie and I love both Jennifer Aniston and Dolly Parton but I was so let down. The dialogue was very bland. I expected the story to be predictable but was hoping the actor's lines would inject life into it but sadly it didn't. Frankly the best part of the movie was Dolly Parton's music and little else.,/review/rw4499872/?ref_=tt_urv
7 December 2018,stasiakoroleva,10," Lovely film
","Really surprised at how much I enjoyed this film. Most Netflix movies are cheesy and predictable, but this one is truly heartwarming. The story is great and the dialogue feels natural. Dolly Partons songs are a real highlight as well, and the message is delivered organically in stead of being shoved down your throat. I would recommend this for a nice Friday film night.",/review/rw4499872/?ref_=tt_urv
23 September 2020,Warren-Watched-A-Movie,8," A great adaption of the young adult novel
",Jennifer Aniston was convincing as single mother Rosie Dickson who is still stuck in the accomplishments of her past. Whether intentional or not Rosie's daughter is left with the impression that in her mother's eyes she does not quite measure up. I was left with the impression though that from the perspective of Aniston's character she was just trying to protect her daughter but that was not what the daughter was understanding. She assumed her mother was ashamed when she was just wrapped up in her world and maybe at times emotionally neglectful.,/review/rw4499872/?ref_=tt_urv
