Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 January 2012,claudio_carvalho,7," Politically Incorrect, Brainless but Hilarious
","The gold digger Elizabeth Halsey (Cameron Diaz) quits her job as a teacher at the JAM High School expecting to marry her wealthy fiancé. However, he calls off their engagement and Elizabeth returns to the school. ",/review/rw2459025/?ref_=tt_urv
6 August 2011,darklydreamingrahu,7," Funnier than the reviews
","Bad Teacher is funny in ways it shouldn't be. Cameron Diaz owns the role of Elizabeth as the foul-mouthed, pot smoking, trashy blonde teacher with a twisted outlook on life. Obscenities and bizarre sexual innuendo roll off her tongue perfectly. Justin Timberlake is hilarious and awkward as Scott. His character is complex and....well he's just awkward....there's no other way to describe it. Lucy Punch is the perfect counterpart to both Diaz and Timberlake's characters as Amy Squirrel. Her over-the-top performance is one you will remember. Jason Segel steals every scene he's in as Russell the equally foul mouthed and dirty gym teacher. Phyllis Smith is an adorable and strange addition to the movie as the confused Lynn Davis, bringing her own brand of corkiness to the plot. All in all, the casting of Bad Teacher is flawless and is really where the movie shines. The punchlines are delivered with punch and the characters are decently developed and complex in their own ways. ",/review/rw2459025/?ref_=tt_urv
23 April 2020,pawanpunjabithewriter,7," Bad Teacher, Average Picture, Good review of the Picture
","Just watched it. It's just a timepass movie, watch if you have enough time. We are at a lockdown here, so yeah completely free. It has many funny moments, and a story as well. I went in not expecting one. Turned out to be quite decent. The movie picks up brilliantly and the cast have done great job. The two top teachers are remarkable. Students could have been better had they learn from a great classic movie Kindergarten Cop!
Average! Go for it if you have time!",/review/rw2459025/?ref_=tt_urv
24 June 2011,diac228,7," Let's hope they paid the actors more than the writers.....
","Bad Teacher is a great concept that resulted in a style of humor like most of the Adult Swim cartoons you see today: When the jokes hit they hit well, but when they miss, they miss quite badly. The cast was delightful, but could only go so far with the material. As a matter of fact, it was the cast that saved the movie from being a total disaster by providing their comedic chops, their charm, and their good comic timing that you don't see enough of nowadays. Despite all that however, Bad teacher is a shiny apple with a few rotten parts.",/review/rw2459025/?ref_=tt_urv
7 October 2011,RetroRick,," mildly amoral, refreshingly different.
","Am reviewing this to counter-balance the far too many negative reviews out there. This is a funny, not hilarious, but funny and sometimes cruel film about a bad teacher, who is funny because she is bad. Just like bad santa she isn't being held up an examplar for teaching or a role-model for young women (actually I'm not too sure about that). What she is is an anti-dote to the righteous, touchy-feely, moralising lesson preaching,heart-in-the-right-place films that normally dominate this genre, or at least do whenever there is a female in the lead. God knows the world would suffer if every film was like this, but a little bit of gentle cynicism is good thing in a world that is full of fraudulent fictional xmas cheer. Spoiler: As for the sensitive little boy not getting the girl, isn't about time that movies stopped lying to teenage boys that being nice & sensitive will get you laid.",/review/rw2459025/?ref_=tt_urv
5 March 2012,kosmasp,5," Bad Apple
","There is a certain energy in that movie. Especially at the beginning when Cameron Diaz seems invincible she has the time of her life (almost literally). There is a great sequence where she kinda falls down though which sets of the rest of the movie. Unfortunately even though it does make sense for her character, it does loose quite a bit of its pace from that point on.",/review/rw2459025/?ref_=tt_urv
12 December 2011,brando647,7," Meh...It's Good for a Few Laughs
","First Santa, now a middle school teacher. I feel as if we're on the verge of a new trend of bad *insert occupation here*. Bad toll booth operators, bad samurai deli clerkswhere will it end? Anyway, this is the latest from comedy director Jake Kasdan (WALK HARD) and a decently funny movie with some great moments but finds a major problem in its main character. 2011 hasn't been super strong with comedies; there have been some real good ones (BRIDESMAIDS) but most of them have been pretty forgettable (PAUL). This movie is pretty funny but it still ends on the low end of the spectrum. Cameron Diaz is Elizabeth Halsey, a gold-digging narcissist who has somehow made a career of being a middle school teacher. She believes she's found her way out with a rich fiancé to tend to her every need, but it falls apart when he finally realizes she's using him. Elizabeth is forced to return to her teaching job, where she proceeds to care even less than before. She fends off the advances of gym teacher Russell (Jason Segel) and focuses her attention on landing the new substitute teacher, Scott (Justin Timberlake). Elizabeth realizes that the only way she'll snag Scott's attention is a little self-improvement. Not becoming a decent person or anything, just a breast enhancement. From then on, she lies, cheats, and steals her way to the money she'll need for the surgery; and the only one who suffers is the good teacher (Lucy Punch) who just wants Elizabeth to do her job.",/review/rw2459025/?ref_=tt_urv
27 June 2011,george.schmidt,8," Diaz shows off her comic chops in this hit-and-miss raw comedy.
","BAD TEACHER (2011) *** Cameron Diaz, Justin Timberlake, Lucy Punch, Jason Segel, John Michael Higgins, Phyllis Smith, Thomas Lennon, Eric Stonestreet, Dave ""Gruber"" Allen. Off-putting, slatternly Diaz (never better with her comic chops and full-game here) faces uncertainty after being dumped by her rich fiancé and forced to return to her teaching gig but finds a possible way out in the unlikely goal of saving money for new breasts to woo over dorky new substitute teech (JT ably deconstructing his 'sexy back' image) despite goody-goody colleague Punch (who nearly steals the film) from gumming up the works. While director Jake Kasdan keeps things lively (including a laugh-out-loud seduction sequence involving dweeb testing administrating rep Lennon) the f-bomb dropping screenplay by Gene Stupnitsky and Lee Eisneberg is hit-and-miss and frankly could have been even dirtier/nastier and funnier. Not an A for effort but a nice try.",/review/rw2459025/?ref_=tt_urv
6 November 2011,xyz72,8," Not a perfect movie, but much better than some reviews suggest.
","Let's face it, the reason many people call Bad Teacher the ""worst movie ever shot"" is not rational, it doesn't have to do with the movie itself in any way. From the reviews I have read on here the main problem seems to be the moral values in this film leading many ""oh so shocked"" viewers to give bad reviews, question people's sanity for producing this movie and hate everything about it - whether they admit it's the reason they dislike it or pretend to hate everything about an objectively well crafted film. But this movie is not supposed to teach anyone life lessons, it's not supposed to have some big, moral message about how to live your life in a good way. This is a film for adults. And films for adults do not have to follow certain morals because an adult is expected to judge morals on their own without needing guidelines. An adult can enjoy movies with main characters doing things they would never find acceptable because it's not about agreeing with the character's actions.",/review/rw2459025/?ref_=tt_urv
4 May 2018,nogodnomasters,8," SERIOUSLY?!?!
","Cameron Diaz plays an extremely self-centered individual who is looking for a rich man to marry after her fiancee dumped her because she was a gold digger. (She claims she caught him with the dog and peanut butter.) Teaching junior high gets in her way as she ""needs"" augmentations to be able to compete with all those Barbie Dolls out there. She uses movies to babysit her class. The gym teacher is interested in Cameron (she don't date gym teachers). Cameron in turn has her eyes on a nerdy substitute teacher (Justin Timberlake) whose family comes from money. He however likes Amy Squirrel.",/review/rw2459025/?ref_=tt_urv
